sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
610396,Joël Drommel,Sparta R.,joel drommel,7.46,34,34,3060,0,0.03,0,0.37,1,0,1,0,0.0,967,1464,66.05,409,899,45.49,2,115,115,198,0,0,0.0,0,0,0.0,1855,508,0,346,0,7,87.5,8,0,100.0,15,93.75,0,0,0.0,0,26,0,0,2,0,0,1,6,1,0,139,0,38,11,62,93,45,52,10,7,18,18,29,0,3,2
837072,Jari De Busser,Go Ahead Eagles,jari de busser,7.4,34,34,3060,0,,0,0.12,0,0,0,0,0.0,793,1322,59.98,237,757,31.31,2,55,63,134,1,1,100.0,0,0,0.0,1719,535,0,318,0,11,84.62,12,0,100.0,23,92.0,0,0,0.0,1,36,0,0,2,5,2,0,13,0,0,149,1,27,9,53,106,43,48,5,19,7,7,29,0,3,0
1184054,Kodai Sano,NEC Nijmegen,kodai sano,7.11,34,34,3060,3,1.77,7,6.08,11,1,34,9,8.82,1352,1625,83.2,65,139,46.76,48,466,40,85,60,108,55.56,70,16,22.86,2388,505,21,212,46,167,49.55,38,36,51.35,205,49.88,71,44,61.97,47,93,8,8,1,3,38,45,36,3,0,0,0,0,5,53,0,0,46,7,0,0,0,0,0,0,0
1031721,Casper Widell,Excelsior,casper widell,6.91,34,34,3054,1,2.33,1,1.29,1,3,18,4,5.56,1459,1762,82.8,147,280,52.5,9,139,61,140,4,4,100.0,3,1,33.33,2247,321,0,99,4,46,52.87,106,58,64.63,152,60.56,33,22,66.67,32,248,5,32,0,1,16,24,9,2,0,0,0,0,6,56,0,0,49,7,0,0,0,0,0,0,0
1121401,Thijmen Blokzijl,Groningen,thijmen blokzijl,6.97,34,34,3047,1,0.78,1,1.12,3,0,11,1,9.09,1734,1955,88.7,77,146,52.74,8,195,38,67,3,7,42.86,8,3,37.5,2356,251,5,162,3,55,57.29,74,92,44.58,129,49.24,40,21,52.5,33,173,7,30,1,1,11,23,13,4,0,0,0,0,10,44,0,0,38,6,0,0,0,0,0,0,0
796943,Tobias Lauritsen,Sparta R.,tobias lauritsen,7.22,34,34,3042,12,10.82,5,3.47,9,6,73,27,16.44,435,742,58.63,8,15,53.33,49,205,19,25,9,20,45.0,4,0,0.0,1131,404,21,59,19,83,54.97,237,144,62.2,320,60.15,19,14,73.68,8,47,12,2,0,0,10,29,56,4,0,0,0,0,10,62,0,0,52,10,0,0,0,0,0,0,0
793742,Joris Kramer,Go Ahead Eagles,joris kramer,7.01,34,34,3015,1,1.9,3,2.32,4,1,16,5,6.25,1830,2095,87.35,129,260,49.62,16,236,81,150,9,15,60.0,27,7,25.93,2604,316,5,128,5,49,53.26,72,58,55.38,121,54.5,26,15,57.69,36,219,6,50,0,1,9,23,14,2,0,0,0,0,8,53,0,0,48,5,0,0,0,0,0,0,0
385300,Jeff Hardeveld,Telstar,jeff hardeveld,7.24,34,34,2979,6,3.63,7,8.74,24,2,27,13,22.22,827,1177,70.26,59,195,30.26,63,291,53,130,15,33,45.45,171,56,32.75,2051,578,7,117,9,103,52.02,35,41,46.05,138,50.36,79,49,62.03,34,123,4,21,0,2,38,30,10,1,0,0,0,0,5,53,0,0,47,6,0,0,0,0,0,0,0
1413536,Thom van Bergen,Groningen,thom van bergen,6.76,34,34,2977,9,17.17,4,3.07,8,17,102,37,8.82,550,746,73.73,12,19,63.16,29,258,6,16,28,76,36.84,15,1,6.67,1394,432,37,112,66,139,42.25,74,126,37.0,213,40.26,43,26,60.47,6,20,28,1,0,0,30,51,70,4,0,0,0,0,8,42,0,0,37,5,0,0,0,0,0,0,0
939460,Daniel Bielica,NAC Breda,daniel bielica,7.25,33,33,2970,0,,0,0.08,0,0,0,0,0.0,593,1023,57.97,266,689,38.61,0,41,52,75,2,2,100.0,0,0,0.0,1349,435,0,276,0,8,80.0,13,0,100.0,21,91.3,0,0,0.0,0,39,0,0,0,2,2,0,8,3,0,118,1,27,6,55,80,37,52,3,17,24,23,17,1,3,0
253875,Timon Wellenreuther,Feyenoord,timon wellenreuther,6.99,33,33,2970,0,,0,0.16,0,0,0,0,0.0,851,1231,69.13,244,612,39.87,1,64,84,143,1,1,100.0,0,0,0.0,1570,391,0,332,0,12,100.0,12,1,92.31,24,96.0,0,0,0.0,0,38,0,0,2,0,0,1,14,6,0,89,1,13,9,44,59,29,34,10,15,26,25,23,0,3,0
1648759,Marvin Young,Sparta R.,marvin young,6.94,33,33,2970,0,0.49,1,1.33,3,1,10,1,0.0,1576,1769,89.09,121,213,56.81,13,169,53,95,7,12,58.33,0,0,0.0,2283,230,1,139,8,96,59.26,59,44,57.28,155,58.49,73,35,47.95,49,209,3,25,1,5,18,36,17,7,0,0,0,0,11,61,0,0,51,10,0,0,0,0,0,0,0
1047396,Guus Offerhaus,Telstar,guus offerhaus,6.64,33,33,2969,1,1.47,3,2.11,5,0,18,3,5.56,1098,1316,83.43,75,181,41.44,33,170,45,87,7,15,46.67,102,27,26.47,1859,366,1,146,15,53,42.4,34,55,38.2,87,40.65,39,18,46.15,30,143,5,29,2,3,15,35,7,6,0,0,0,0,4,54,0,0,47,7,0,0,0,0,0,0,0
268701,Ronald Koeman Jr,Telstar,ronald koeman jr,7.53,33,33,2959,1,0.79,0,0.21,0,0,1,1,100.0,919,1388,66.21,380,835,45.51,0,104,191,278,2,2,100.0,0,0,0.0,1708,483,0,319,0,8,100.0,4,2,66.67,12,85.71,1,1,100.0,0,23,0,0,2,1,0,0,5,3,0,143,0,22,5,53,111,30,46,7,8,12,12,12,1,4,0
