sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
818244,Ousmane Dembélé,PSG,ousmane dembele,7.4181818181818,22,11,1062,10,6.5987,7,4.4976801,9,4,45,18,22.222222222222,619,745,83.087248322148,30,38,78.947368421053,41,332,28,37,24,39,61.538461538462,49,12,24.489795918367,940,205,10,25,12,34,50.746268656716,2,4,33.333333333333,36,49.315068493151,6,3,50.0,0,3,7,0,0,1,3,3,4,0,0,0,0,0,0,8,0,0,5,3,0,0,0,0,0,0,0
889259,Khvicha Kvaratskhelia,PSG,khvicha kvaratskhelia,7.1785714285714,28,18,1483,8,7.9126,4,4.73603997,9,7,65,29,12.307692307692,784,892,87.892376681614,25,43,58.139534883721,34,317,31,48,44,76,57.894736842105,42,10,23.809523809524,1278,251,15,55,22,94,52.808988764045,7,16,30.434782608696,101,50.248756218905,24,12,50.0,11,4,17,3,0,1,12,18,26,1,0,0,0,0,2,11,0,0,8,3,0,0,0,0,0,0,0
1154605,Désiré Doué,PSG,desire doue,7.1347826086957,23,16,1356,7,7.915,4,3.0427612,5,8,55,19,12.727272727273,729,849,85.865724381625,19,36,52.777777777778,29,295,22,34,32,72,44.444444444444,58,13,22.413793103448,1264,276,15,65,26,92,47.422680412371,1,5,16.666666666667,93,46.5,32,19,59.375,12,5,16,2,1,0,12,24,28,0,0,0,0,0,2,14,0,0,12,2,0,0,0,0,0,0,0
1590918,Ibrahim Mbaye,PSG,ibrahim mbaye,6.7913043478261,24,10,997,3,3.2762,2,2.13177075,2,4,24,10,12.5,493,570,86.491228070175,5,7,71.428571428571,20,218,4,9,21,55,38.181818181818,16,2,12.5,802,186,11,41,17,48,42.477876106195,5,9,35.714285714286,53,41.732283464567,14,8,57.142857142857,5,4,6,0,0,1,4,10,13,0,0,0,0,0,2,11,0,0,9,2,0,0,0,0,0,0,0
996952,Bradley Barcola,PSG,bradley barcola,7.2103448275862,29,21,1750,11,10.8299,1,4.50479174,11,15,67,31,16.417910447761,602,721,83.495145631068,12,14,85.714285714286,38,312,11,15,36,87,41.379310344828,25,5,20.0,1095,266,23,59,23,76,41.988950276243,10,11,47.619047619048,86,42.574257425743,30,17,56.666666666667,12,6,17,1,0,0,12,20,10,2,0,0,0,0,4,15,0,0,14,1,0,0,0,0,0,0,0
1861665,Quentin Ndjantou,PSG,quentin ndjantou,6.56,10,3,354,1,1.4943,1,0.34774611,0,2,9,3,11.111111111111,167,198,84.343434343434,4,4,100.0,5,60,3,6,6,10,60.0,4,0,0.0,252,46,1,13,1,10,38.461538461538,0,6,0.0,10,31.25,2,1,50.0,2,2,2,1,0,0,4,7,2,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0
902029,Vitinha,PSG,vitinha,7.5793103448276,29,24,2121,1,1.0551,7,3.74379735,8,0,34,10,2.9411764705882,2572,2743,93.76594969012,174,231,75.324675324675,34,629,135,197,13,18,72.222222222222,22,7,31.818181818182,2997,227,17,137,10,58,59.183673469388,4,3,57.142857142857,62,59.047619047619,24,18,75.0,27,22,10,5,0,2,14,14,21,2,0,0,0,0,10,19,0,0,14,5,0,0,0,0,0,0,0
1926085,Dro Fernández,PSG,dro fernandez,6.7166666666667,12,7,682,1,1.0074,0,0.75668087,0,1,9,3,11.111111111111,357,392,91.071428571429,3,5,60.0,8,101,3,9,6,13,46.153846153846,4,0,0.0,507,76,5,35,9,31,51.666666666667,4,3,57.142857142857,35,52.238805970149,13,6,46.153846153846,8,6,2,3,0,0,6,8,12,0,0,0,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0
1190933,João Neves,PSG,joao neves,7.1142857142857,21,13,1287,5,2.7954,1,2.07838534,4,1,27,6,18.518518518519,950,1039,91.434071222329,36,56,64.285714285714,14,237,26,42,8,14,57.142857142857,4,2,50.0,1254,139,9,75,6,47,55.952380952381,14,9,60.869565217391,61,57.009345794393,27,15,55.555555555556,7,6,8,5,0,2,13,13,13,0,0,0,0,0,2,14,0,0,10,4,0,0,0,0,0,0,0
917087,Kang-in Lee,PSG,kang-in lee,7.0185185185185,27,18,1522,3,2.657,4,5.50154456,12,1,37,15,8.1081081081081,951,1044,91.091954022989,57,89,64.044943820225,60,420,55,79,28,51,54.901960784314,113,45,39.823008849558,1399,242,10,63,21,63,47.014925373134,7,7,50.0,70,47.297297297297,17,9,52.941176470588,3,7,10,1,2,3,10,18,19,3,0,0,0,0,1,16,0,0,13,3,0,0,0,0,0,0,0
784655,Fabián Ruiz,PSG,fabian ruiz,7.085,20,13,1129,1,1.3687,4,2.1311276,3,3,19,4,5.2631578947368,1122,1212,92.574257425743,62,83,74.698795180723,19,373,53,76,2,11,18.181818181818,23,1,4.3478260869565,1379,151,6,49,6,22,47.826086956522,2,1,66.666666666667,24,48.979591836735,17,9,52.941176470588,14,7,6,0,0,1,8,2,3,2,0,0,0,0,2,12,0,0,9,3,0,0,0,0,0,0,0
1473491,Senny Mayulu,PSG,senny mayulu,6.8038461538462,26,21,1681,4,4.0875,4,3.07553928,7,6,35,11,11.428571428571,684,767,89.178617992177,21,30,70.0,39,252,21,30,16,41,39.024390243902,28,8,28.571428571429,1132,214,17,82,26,84,49.704142011834,8,15,34.782608695652,92,47.916666666667,48,29,60.416666666667,11,5,6,1,0,0,9,26,20,3,0,0,0,0,4,15,0,0,12,3,0,0,0,0,0,0,0
1142672,Warren Zaïre-Emery,PSG,warren zaire-emery,7.003125,32,27,2453,3,1.223,4,3.49584373,8,1,19,7,15.789473684211,1929,2059,93.686255463817,42,62,67.741935483871,42,566,40,57,30,48,62.5,15,2,13.333333333333,2485,236,15,149,32,95,48.469387755102,17,6,73.913043478261,112,51.141552511416,48,29,60.416666666667,12,22,7,7,1,0,19,33,17,3,0,0,0,0,9,23,0,0,17,6,0,0,0,0,0,0,0
814594,Achraf Hakimi,PSG,achraf hakimi,6.7722222222222,18,15,1374,2,2.4217,2,2.2882516,2,4,27,9,7.4074074074074,1160,1274,91.05180533752,28,44,63.636363636364,21,476,19,27,8,33,24.242424242424,43,10,23.255813953488,1600,216,11,70,15,43,40.952380952381,4,5,44.444444444444,47,41.228070175439,18,13,72.222222222222,11,12,7,1,0,0,13,9,17,3,1,0,0,0,6,15,0,0,12,3,0,0,0,0,0,0,0
989768,Nuno Mendes,PSG,nuno mendes,7.2421052631579,20,13,1251,4,4.3328,5,3.62934307,11,3,30,15,13.333333333333,856,957,89.44618599791,51,79,64.556962025316,30,273,24,39,25,51,49.019607843137,45,15,33.333333333333,1353,219,9,82,13,75,56.818181818182,8,8,50.0,83,56.081081081081,25,19,76.0,13,18,7,4,0,0,7,12,25,1,0,0,0,0,5,12,0,0,9,3,0,0,0,0,0,0,0
155995,Marquinhos,PSG,marquinhos,7.2714285714286,14,11,1049,0,0.1369,0,0.45137568,0,0,3,0,0.0,892,938,95.095948827292,58,83,69.879518072289,2,149,28,47,2,2,100.0,2,0,0.0,1042,53,0,43,2,19,65.51724137931,22,18,55.0,41,59.420289855072,15,12,80.0,8,35,2,4,0,1,1,8,2,0,0,0,0,0,6,6,0,0,5,1,0,0,0,0,0,0,0
979480,Willian Pacho,PSG,willian pacho,6.9739130434783,23,21,1915,0,0.9957,0,0.46105853,0,1,8,1,0.0,1609,1693,95.038393384525,34,63,53.968253968254,2,76,14,31,1,2,50.0,0,0,0.0,1923,101,2,110,5,47,70.149253731343,36,28,56.25,83,63.358778625954,40,26,65.0,24,66,2,10,0,1,8,6,7,0,0,0,0,0,8,22,0,0,17,5,0,0,0,0,0,0,0
1108441,Lucas Beraldo,PSG,lucas beraldo,7.2526315789474,20,18,1570,2,1.6596,1,1.20280128,3,0,14,4,14.285714285714,1337,1430,93.496503496503,45,76,59.210526315789,14,200,51,81,0,3,0.0,2,0,0.0,1641,116,2,84,5,38,52.777777777778,35,31,53.030303030303,73,52.898550724638,31,18,58.064516129032,21,65,3,8,0,1,12,15,7,2,0,0,0,0,8,15,0,0,13,2,0,0,0,0,0,0,0
1023567,Ilya Zabarnyi,PSG,ilya zabarnyi,7.1071428571429,28,26,2387,1,0.5021,0,0.45685111,0,1,4,3,25.0,2091,2212,94.529837251356,83,127,65.354330708661,4,247,47,78,3,6,50.0,1,0,0.0,2470,142,1,119,2,43,61.428571428571,34,28,54.838709677419,77,58.333333333333,32,21,65.625,20,89,1,12,0,3,4,18,8,6,0,0,0,0,14,25,0,0,19,6,0,0,0,0,0,0,0
352370,Lucas Hernández,PSG,lucas hernandez,7.04,25,20,1751,0,0.5166,3,0.74984149,1,1,11,3,0.0,1502,1636,91.809290953545,34,77,44.155844155844,15,290,26,57,3,8,37.5,15,2,13.333333333333,1986,173,5,82,6,45,52.941176470588,28,14,66.666666666667,73,57.48031496063,25,14,56.0,19,44,3,7,0,0,8,22,19,4,0,0,0,0,9,13,0,0,11,2,0,0,0,0,0,0,0
800749,Matvey Safonov,PSG,matvey safonov,7.2066666666667,15,15,1350,0,,0,0.00542324,0,0,0,0,0.0,297,363,81.818181818182,51,113,45.132743362832,2,3,16,25,0,0,0.0,0,0,0.0,493,70,0,91,0,1,100.0,4,0,100.0,5,100.0,0,0,0.0,0,14,0,0,1,1,0,0,1,0,0,41,0,7,8,14,25,16,11,3,6,13,12,10,0,1,1
996953,Lucas Chevalier,PSG,lucas chevalier,6.9529411764706,17,17,1530,0,,0,0.00273934,0,0,0,0,0.0,350,399,87.719298245614,30,76,39.473684210526,0,2,12,19,0,0,0.0,0,0,0.0,512,51,0,108,0,1,100.0,2,0,100.0,3,100.0,0,0,0.0,0,8,0,0,1,0,0,0,1,0,0,33,0,4,9,13,23,10,10,3,4,3,3,7,0,3,1
