sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
823984,Lautaro Martínez,Inter,lautaro martinez,7.09,30,27,2178,17,13.4956,6,2.70818706,12,16,92,39,18.478260869565,469,600,78.166666666667,19,29,65.51724137931,37,217,26,38,21,44,47.727272727273,17,2,11.764705882353,1024,274,25,54,34,91,45.959595959596,24,32,42.857142857143,115,45.275590551181,24,14,58.333333333333,7,18,23,0,0,1,9,47,47,4,0,0,0,0,0,21,0,0,17,4,0,0,0,0,0,0,0
791702,Marcus Thuram,Inter,marcus thuram,7.0379310344828,29,24,1913,13,9.4339,6,2.55819561,7,15,74,29,17.567567567568,363,480,75.625,4,6,66.666666666667,29,163,3,7,17,28,60.714285714286,21,6,28.571428571429,831,236,14,39,30,81,48.795180722892,49,43,53.260869565217,130,50.387596899225,24,12,50.0,1,10,18,2,0,1,10,43,41,2,0,0,0,0,0,18,0,0,15,3,0,0,0,0,0,0,0
1086223,Ange-Yoan Bonny,Inter,ange-yoan bonny,6.740625,33,10,1155,5,3.7935,4,1.90563136,7,3,22,9,22.727272727273,214,269,79.553903345725,5,6,83.333333333333,17,104,3,4,20,40,50.0,6,2,33.333333333333,512,158,9,33,41,61,43.262411347518,11,19,36.666666666667,72,42.105263157895,17,10,58.823529411765,1,5,5,0,0,0,3,17,24,1,0,0,0,0,0,11,0,0,10,1,0,0,0,0,0,0,0
1156616,Francesco Pio Esposito,Inter,francesco pio esposito,6.6685714285714,35,15,1572,7,7.3965,3,1.40478367,2,13,57,23,12.280701754386,267,365,73.150684931507,11,20,55.0,22,133,11,14,4,16,25.0,4,0,0.0,651,198,10,31,22,62,49.206349206349,42,38,52.5,104,50.485436893204,9,6,66.666666666667,5,13,14,2,0,0,6,29,50,1,0,0,0,0,2,18,0,0,16,2,0,0,0,0,0,0,0
1530727,Mattia Mosconi,Inter,mattia mosconi,6.3,2,0,25,0,0.0943,0,0.02487015,0,0,2,0,0.0,13,13,100.0,0,0,0.0,0,3,0,0,0,1,0.0,0,0,0.0,21,4,0,0,1,2,40.0,0,1,0.0,2,33.333333333333,0,0,0.0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1822931,Matteo Lavelli,Inter,matteo lavelli,6.4,1,0,12,0,,0,2.04e-05,0,0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0.0,5,3,0,0,0,0,0.0,0,2,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
135700,Hakan Çalhanoğlu,Inter,hakan calhanoglu,7.4954545454545,22,20,1649,9,5.6541,4,3.4953317,7,1,50,17,18.0,1261,1391,90.654205607477,65,111,58.558558558559,41,364,49,87,5,14,35.714285714286,86,33,38.372093023256,1710,228,8,102,6,50,49.019607843137,13,10,56.521739130435,63,50.4,34,18,52.941176470588,16,16,13,6,0,0,13,28,11,7,0,0,0,0,5,16,0,0,14,2,0,0,0,0,0,0,0
759520,Denzel Dumfries,Inter,denzel dumfries,6.635,20,15,1327,3,3.4447,1,0.91699007,1,5,23,5,13.04347826087,302,377,80.106100795756,3,12,25.0,13,104,1,11,6,18,33.333333333333,34,5,14.705882352941,658,171,7,35,7,35,45.454545454545,30,24,55.555555555556,65,49.618320610687,16,9,56.25,7,21,7,0,1,0,10,20,13,2,0,0,0,0,4,14,0,0,12,2,0,0,0,0,0,0,0
363856,Nicolò Barella,Inter,nicolo barella,7.1911764705882,34,31,2533,3,3.1596,8,6.61912156,14,3,35,5,8.5714285714286,1509,1760,85.738636363636,74,134,55.223880597015,72,554,85,161,25,50,50.0,102,37,36.274509803922,2201,406,24,166,20,101,51.269035532995,13,21,38.235294117647,114,49.350649350649,54,29,53.703703703704,9,10,12,3,0,2,23,33,22,7,0,0,0,0,5,25,0,0,22,3,0,0,0,0,0,0,0
138605,Piotr Zieliński,Inter,piotr zielinski,7.1088235294118,34,22,2055,6,2.4723,3,3.11058271,7,1,29,10,20.689655172414,1381,1496,92.312834224599,52,81,64.197530864198,29,436,41,62,18,27,66.666666666667,24,9,37.5,1732,172,10,113,9,66,59.459459459459,12,9,57.142857142857,78,59.090909090909,31,19,61.290322580645,5,25,12,3,0,1,12,18,18,3,0,0,0,0,3,26,0,0,23,3,0,0,0,0,0,0,0
284361,Federico Dimarco,Inter,federico dimarco,7.4257142857143,35,30,2704,7,5.2169,17,11.3408176,33,9,65,22,10.769230769231,1213,1457,83.253260123542,42,100,42.0,96,488,88,155,7,14,50.0,291,96,32.989690721649,2194,496,21,124,11,80,50.955414012739,2,12,14.285714285714,82,47.953216374269,50,32,64.0,31,28,19,4,0,1,20,41,23,3,0,0,0,0,11,27,0,0,24,3,0,0,0,0,0,0,0
1091303,Petar Sučić,Inter,petar sucic,6.8787878787879,34,21,1784,2,1.6618,2,3.18176831,6,2,22,6,9.0909090909091,1014,1135,89.339207048458,57,88,64.772727272727,29,353,35,58,15,35,42.857142857143,42,10,23.809523809524,1460,235,11,76,23,86,47.513812154696,12,9,57.142857142857,98,48.514851485149,46,25,54.347826086957,9,19,6,1,0,2,22,30,25,5,0,0,0,0,4,21,0,0,17,4,0,0,0,0,0,0,0
37151,Henrikh Mkhitaryan,Inter,henrikh mkhitaryan,6.9433333333333,30,16,1555,4,4.9235,1,3.0509333,5,7,43,14,9.3023255813953,878,997,88.064192577733,36,49,73.469387755102,23,358,24,40,12,29,41.379310344828,42,6,14.285714285714,1312,224,13,100,21,62,42.176870748299,12,10,54.545454545455,74,43.786982248521,33,25,75.757575757576,14,18,12,4,0,0,20,28,17,5,0,0,0,0,4,12,0,0,9,3,0,0,0,0,0,0,0
977679,Luís Henrique,Inter,luis henrique,6.8607142857143,30,18,1627,1,0.876,2,1.8151311,5,2,15,7,6.6666666666667,713,821,86.845310596833,23,43,53.488372093023,22,276,21,39,13,23,56.521739130435,41,11,26.829268292683,1030,174,7,98,6,33,60.0,5,1,83.333333333333,38,62.295081967213,20,15,75.0,6,15,4,1,0,0,2,5,0,1,0,0,0,0,4,14,0,0,13,1,0,0,0,0,0,0,0
996820,Kristjan Asllani,Inter,kristjan asllani,6.8533333333333,15,13,1135,0,1.3887,0,1.3121778,1,1,20,4,0.0,519,617,84.116693679092,68,125,54.4,15,99,52,90,3,6,50.0,52,13,25.0,792,160,4,63,4,37,59.677419354839,2,9,18.181818181818,39,53.424657534247,21,14,66.666666666667,12,10,7,1,1,1,11,7,14,3,0,0,0,0,1,20,0,0,16,4,0,0,0,0,0,0,0
835600,Davide Frattesi,Inter,davide frattesi,6.52,22,3,575,0,2.1718,0,0.15609373,1,4,16,4,0.0,94,121,77.685950413223,2,5,40.0,6,29,2,3,5,9,55.555555555556,2,0,0.0,220,52,0,16,8,31,55.357142857143,4,8,33.333333333333,35,51.470588235294,15,7,46.666666666667,3,4,3,1,0,0,4,9,11,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0
1048889,Andy Diouf,Inter,andy diouf,6.7111111111111,19,4,499,1,0.6,0,1.54426463,2,0,10,3,10.0,200,234,85.470085470085,2,4,50.0,12,82,2,6,12,24,50.0,6,1,16.666666666667,341,75,1,23,12,27,42.857142857143,6,4,60.0,33,45.205479452055,12,5,41.666666666667,1,5,4,0,0,1,7,5,3,1,0,0,0,0,1,5,0,0,4,1,0,0,0,0,0,0,0
1525367,Ebenezer Akinsanmiro,Inter,ebenezer akinsanmiro,6.8,24,16,1445,0,0.8633,1,1.29352226,3,2,13,3,0.0,436,509,85.65815324165,20,40,50.0,16,120,18,34,21,40,52.5,11,3,27.272727272727,806,164,11,107,22,88,53.658536585366,14,18,43.75,102,52.040816326531,39,24,61.538461538462,27,14,2,6,0,2,10,30,28,2,0,0,0,0,2,29,0,0,21,8,0,0,0,0,0,0,0
1086199,Franco Carboni,Inter,franco carboni,6.5,7,1,123,0,,0,0.00308917,0,0,0,0,0.0,24,30,80.0,2,3,66.666666666667,0,3,2,2,1,4,25.0,3,0,0.0,62,14,0,3,0,3,30.0,3,2,60.0,6,40.0,2,1,50.0,2,4,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0
383560,Manuel Akanji,Inter,manuel akanji,7.1121212121212,33,31,2820,2,2.0468,0,1.38788649,1,1,23,6,8.695652173913,1941,2107,92.121499762696,92,141,65.248226950355,7,303,47,85,1,2,50.0,3,2,66.666666666667,2489,192,2,129,4,66,61.682242990654,51,44,53.684210526316,117,57.920792079208,48,22,45.833333333333,37,105,4,13,0,2,10,26,18,4,0,0,0,0,15,26,0,0,24,2,0,0,0,0,0,0,0
826188,Alessandro Bastoni,Inter,alessandro bastoni,7.2714285714286,28,28,2249,1,1.3519,4,2.9504282,7,3,17,8,5.8823529411765,1618,1850,87.459459459459,110,217,50.691244239631,25,368,79,156,6,10,60.0,85,23,27.058823529412,2397,367,6,100,3,77,55.797101449275,52,29,64.197530864198,129,58.904109589041,51,39,76.470588235294,23,80,3,6,0,0,10,45,20,6,0,0,0,0,8,21,0,0,17,4,0,0,0,0,0,0,0
787505,Benjamin Pavard,Inter,benjamin pavard,7.4,1,1,90,0,0.0493,0,0.030293,0,0,1,1,0.0,80,84,95.238095238095,3,5,60.0,1,5,4,5,0,0,0.0,0,0,0.0,96,4,0,6,0,2,66.666666666667,0,1,0.0,2,50.0,2,1,50.0,2,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
929199,Carlos Augusto,Inter,carlos augusto,6.88125,34,18,1765,1,1.4566,1,1.53854798,1,2,20,6,5.0,1007,1131,89.036251105217,24,66,36.363636363636,11,195,15,37,6,13,46.153846153846,46,9,19.565217391304,1518,216,6,61,9,55,55.0,61,27,69.318181818182,116,61.702127659574,37,22,59.459459459459,18,61,4,9,0,2,7,26,13,6,0,0,0,0,5,19,0,0,16,3,0,0,0,0,0,0,0
906275,Yann Bisseck,Inter,yann bisseck,7.1130434782609,23,21,1922,3,2.5172,1,1.12418639,0,3,25,12,12.0,1202,1297,92.675404780262,26,57,45.614035087719,9,208,13,28,8,12,66.666666666667,13,2,15.384615384615,1645,144,2,70,7,50,56.818181818182,39,21,65.0,89,60.135135135135,27,19,70.37037037037,22,74,8,7,0,1,8,21,16,2,0,0,0,0,9,19,0,0,16,3,0,0,0,0,0,0,0
845291,Josep Martínez,Inter,josep martinez,6.76,5,5,450,0,,0,0.0014633,0,0,0,0,0.0,160,184,86.95652173913,16,37,43.243243243243,0,0,4,7,0,0,0.0,0,0,0.0,221,26,0,40,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,10,0,3,3,4,3,7,3,1,0,7,6,0,1,0,0
