season_id,season,squad,player,norm_key,pos,age,photo,status
2025,25/26,Arsenal,Ben White,ben white,Right-Back,27,https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1,carried
2025,25/26,Arsenal,Bukayo Saka,bukayo saka,Right Winger,23,https://img.a.transfermarkt.technology/portrait/medium/433177-1684155052.jpg?lm=1,carried
2025,25/26,Arsenal,David Raya,david raya,Goalkeeper,29,https://img.a.transfermarkt.technology/portrait/medium/262749-1780663789.jpg?lm=1,carried
2025,25/26,Arsenal,Declan Rice,declan rice,Central Midfield,26,https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1,carried
2025,25/26,Arsenal,Gabriel Jesus,gabriel jesus,Centre-Forward,28,https://img.a.transfermarkt.technology/portrait/medium/363205-1669711141.jpg?lm=1,carried
2025,25/26,Arsenal,Gabriel Magalhães,gabriel magalhaes,Centre-Back,27,https://img.a.transfermarkt.technology/portrait/medium/435338-1684162833.jpg?lm=1,carried
2025,25/26,Arsenal,Gabriel Martinelli,gabriel martinelli,Left Winger,24,https://img.a.transfermarkt.technology/portrait/medium/655488-1682689091.jpg?lm=1,carried
2025,25/26,Arsenal,Jurriën Timber,jurrien timber,Right-Back,24,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1,carried
2025,25/26,Arsenal,Kai Havertz,kai havertz,Centre-Forward,26,https://img.a.transfermarkt.technology/portrait/medium/309400-1683903902.jpg?lm=1,carried
2025,25/26,Arsenal,Leandro Trossard,leandro trossard,Left Winger,30,https://img.a.transfermarkt.technology/portrait/medium/144028-1702412939.jpg?lm=1,carried
2025,25/26,Arsenal,Martin Ødegaard,martin odegaard,Attacking Midfield,26,https://img.a.transfermarkt.technology/portrait/medium/316264-1678877651.jpg?lm=1,carried
2025,25/26,Arsenal,Mikel Merino,mikel merino,Central Midfield,29,https://img.a.transfermarkt.technology/portrait/medium/338424-1716803831.jpg?lm=1,carried
2025,25/26,Arsenal,Myles Lewis-Skelly,myles lewis-skelly,Central Midfield,18,https://img.a.transfermarkt.technology/portrait/medium/890721-1758053582.jpg?lm=1,carried
2025,25/26,Arsenal,Riccardo Calafiori,riccardo calafiori,Left-Back,23,https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1,carried
2025,25/26,Arsenal,William Saliba,william saliba,Centre-Back,24,https://img.a.transfermarkt.technology/portrait/medium/495666-1718697201.jpg?lm=1,carried
2025,25/26,Arsenal,Christian Nørgaard,christian norgaard,Defensive Midfield,31,https://img.a.transfermarkt.technology/portrait/medium/148367-1699799827.jpg?lm=1,new
2025,25/26,Arsenal,Cristhian Mosquera,cristhian mosquera,Centre-Back,21,https://img.a.transfermarkt.technology/portrait/medium/646750-1749739359.jpg?lm=1,new
2025,25/26,Arsenal,Eberechi Eze,eberechi eze,Attacking Midfield,27,https://img.a.transfermarkt.technology/portrait/medium/479999-1761083931.jpg?lm=1,new
2025,25/26,Arsenal,Kepa Arrizabalaga,kepa arrizabalaga,Goalkeeper,30,https://img.a.transfermarkt.technology/portrait/medium/192279-1661855851.jpg?lm=1,new
2025,25/26,Arsenal,Martín Zubimendi,martin zubimendi,Defensive Midfield,26,https://img.a.transfermarkt.technology/portrait/medium/423440-1684149419.jpg?lm=1,new
2025,25/26,Arsenal,Max Dowman,max dowman,Right Winger,15,https://img.a.transfermarkt.technology/portrait/medium/1187629-1773914587.jpg?lm=1,new
