squad,gw,date,home_away,opponent,gf,ga,score,result
Anderlecht,1,2025-07-27,H,Westerlo,5,2,5:2,W
Anderlecht,1,2026-04-06,A,Club Brugge,2,4,2:4,L
Anderlecht,2,2025-08-03,A,Cercle Brugge,2,0,2:0,W
Anderlecht,2,2026-04-12,H,Gent,3,1,3:1,W
Anderlecht,3,2025-08-10,H,Zulte Waregem,2,3,2:3,L
Anderlecht,3,2026-04-18,A,Mechelen,2,1,2:1,W
Anderlecht,4,2025-08-17,A,Dender,2,0,2:0,W
Anderlecht,4,2026-04-23,A,Sint-Truiden,0,2,0:2,L
Anderlecht,5,2025-09-23,H,Gent,1,0,1:0,W
Anderlecht,5,2026-04-26,H,Union SG,1,3,1:3,L
Anderlecht,6,2025-08-31,A,Union SG,0,2,0:2,L
Anderlecht,6,2026-05-03,H,Club Brugge,1,3,1:3,L
Anderlecht,7,2025-09-14,H,Genk,1,1,1:1,D
Anderlecht,7,2026-05-10,A,Gent,1,1,1:1,D
Anderlecht,8,2025-09-20,H,Antwerp,0,0,0:0,D
Anderlecht,8,2026-05-17,H,Mechelen,2,2,2:2,D
Anderlecht,9,2025-09-26,A,OH Leuven,1,1,1:1,D
Anderlecht,9,2026-05-21,H,Sint-Truiden,3,1,3:1,W
Anderlecht,10,2025-10-05,H,Standard Liège,1,0,1:0,W
Anderlecht,10,2026-05-24,A,Union SG,1,5,1:5,L
Anderlecht,11,2025-10-19,A,Sint-Truiden,2,2,2:2,D
Anderlecht,12,2025-10-24,A,Charleroi,0,1,0:1,L
Anderlecht,13,2025-11-01,H,Mechelen,3,1,3:1,W
Anderlecht,14,2025-11-09,H,Club Brugge,1,0,1:0,W
Anderlecht,15,2025-11-23,A,La Louvière,1,0,1:0,W
Anderlecht,16,2025-11-30,H,Union SG,1,0,1:0,W
Anderlecht,17,2025-12-07,A,Westerlo,0,4,0:4,L
Anderlecht,18,2025-12-13,H,Sint-Truiden,2,1,2:1,W
Anderlecht,19,2025-12-21,A,Antwerp,2,2,2:2,D
Anderlecht,20,2025-12-26,H,Charleroi,1,2,1:2,L
Anderlecht,21,2026-01-18,A,Gent,2,4,2:4,L
Anderlecht,22,2026-01-25,H,Dender,0,0,0:0,D
Anderlecht,23,2026-02-01,A,Standard Liège,0,2,0:2,L
Anderlecht,24,2026-02-08,A,Genk,0,2,0:2,L
Anderlecht,25,2026-02-15,H,La Louvière,0,0,0:0,D
Anderlecht,26,2026-02-22,A,Zulte Waregem,4,2,4:2,W
Anderlecht,27,2026-02-28,H,OH Leuven,5,1,5:1,W
Anderlecht,28,2026-03-08,A,Club Brugge,2,2,2:2,D
Anderlecht,29,2026-03-15,A,Mechelen,0,1,0:1,L
Anderlecht,30,2026-03-22,H,Cercle Brugge,2,3,2:3,L
Antwerp,1,2025-07-25,H,Union SG,1,1,1:1,D
Antwerp,1,2026-04-03,H,Genk,1,2,1:2,L
Antwerp,2,2025-08-03,A,Genk,1,1,1:1,D
Antwerp,2,2026-04-10,A,Charleroi,1,2,1:2,L
Antwerp,3,2025-08-10,H,OH Leuven,3,1,3:1,W
Antwerp,3,2026-04-18,H,OH Leuven,2,0,2:0,W
Antwerp,4,2025-08-17,A,Charleroi,1,1,1:1,D
Antwerp,4,2026-04-21,A,Standard Liège,2,1,2:1,W
Antwerp,5,2025-08-24,H,Mechelen,2,1,2:1,W
Antwerp,5,2026-04-25,A,Westerlo,4,2,4:2,W
Antwerp,6,2025-08-30,A,Westerlo,0,2,0:2,L
Antwerp,6,2026-05-03,H,Standard Liège,0,5,0:5,L
Antwerp,7,2025-09-14,H,Gent,1,2,1:2,L
Antwerp,7,2026-05-10,H,Charleroi,0,1,0:1,L
Antwerp,8,2025-09-20,A,Anderlecht,0,0,0:0,D
Antwerp,8,2026-05-15,A,OH Leuven,0,3,0:3,L
Antwerp,9,2025-09-27,A,Zulte Waregem,0,2,0:2,L
Antwerp,9,2026-05-19,A,Genk,0,0,0:0,D
Antwerp,10,2025-10-04,H,Cercle Brugge,1,1,1:1,D
Antwerp,10,2026-05-23,H,Westerlo,2,0,2:0,W
Antwerp,11,2025-10-20,A,Standard Liège,0,1,0:1,L
Antwerp,12,2025-10-26,H,Club Brugge,0,1,0:1,L
Antwerp,13,2025-11-02,A,Sint-Truiden,0,1,0:1,L
Antwerp,14,2025-11-08,H,La Louvière,3,1,3:1,W
Antwerp,15,2025-11-23,H,Dender,1,2,1:2,L
Antwerp,16,2025-11-30,A,Club Brugge,1,0,1:0,W
Antwerp,17,2025-12-07,H,Genk,3,0,3:0,W
Antwerp,18,2025-12-14,A,Gent,2,0,2:0,W
Antwerp,19,2025-12-21,H,Anderlecht,2,2,2:2,D
Antwerp,20,2025-12-27,H,Zulte Waregem,2,1,2:1,W
Antwerp,21,2026-01-18,A,Dender,0,1,0:1,L
Antwerp,22,2026-01-25,H,Charleroi,0,2,0:2,L
Antwerp,23,2026-01-31,A,Cercle Brugge,4,0,4:0,W
Antwerp,24,2026-02-08,A,Mechelen,0,2,0:2,L
Antwerp,25,2026-02-15,H,Westerlo,0,2,0:2,L
Antwerp,26,2026-02-21,A,Union SG,1,2,1:2,L
Antwerp,27,2026-02-28,H,Sint-Truiden,1,0,1:0,W
Antwerp,28,2026-03-06,A,La Louvière,0,0,0:0,D
Antwerp,29,2026-03-15,H,Standard Liège,1,1,1:1,D
Antwerp,30,2026-03-22,A,OH Leuven,0,1,0:1,L
Cercle Brugge,1,2025-07-26,A,Dender,0,0,0:0,D
Cercle Brugge,1,2026-04-04,A,Zulte Waregem,2,2,2:2,D
Cercle Brugge,2,2025-08-03,H,Anderlecht,0,2,0:2,L
Cercle Brugge,2,2026-04-11,H,La Louvière,3,0,3:0,W
Cercle Brugge,3,2025-08-09,A,Club Brugge,0,2,0:2,L
Cercle Brugge,3,2026-04-19,A,Dender,4,1,4:1,W
Cercle Brugge,4,2025-08-17,H,Westerlo,4,1,4:1,W
Cercle Brugge,4,2026-04-24,H,Dender,2,1,2:1,W
Cercle Brugge,5,2025-08-23,A,Standard Liège,3,0,3:0,W
Cercle Brugge,5,2026-05-01,H,Zulte Waregem,2,3,2:3,L
Cercle Brugge,6,2025-08-29,H,Sint-Truiden,1,1,1:1,D
Cercle Brugge,6,2026-05-09,A,La Louvière,1,4,1:4,L
Cercle Brugge,7,2025-09-14,H,Charleroi,2,3,2:3,L
Cercle Brugge,8,2025-09-21,A,Mechelen,0,0,0:0,D
Cercle Brugge,9,2025-09-28,H,Gent,2,4,2:4,L
Cercle Brugge,10,2025-10-04,A,Antwerp,1,1,1:1,D
Cercle Brugge,11,2025-10-19,H,Genk,2,2,2:2,D
Cercle Brugge,12,2025-10-26,H,Zulte Waregem,1,1,1:1,D
Cercle Brugge,13,2025-11-02,A,La Louvière,1,2,1:2,L
Cercle Brugge,14,2025-11-08,H,OH Leuven,1,2,1:2,L
Cercle Brugge,15,2025-11-22,A,Union SG,0,2,0:2,L
Cercle Brugge,16,2025-11-29,A,Zulte Waregem,1,1,1:1,D
Cercle Brugge,17,2025-12-06,H,Standard Liège,1,2,1:2,L
Cercle Brugge,18,2025-12-13,H,Mechelen,2,3,2:3,L
Cercle Brugge,19,2025-12-21,A,OH Leuven,2,0,2:0,W
Cercle Brugge,20,2025-12-26,H,Union SG,1,1,1:1,D
Cercle Brugge,21,2026-01-17,A,Westerlo,2,0,2:0,W
Cercle Brugge,22,2026-01-25,A,Genk,1,1,1:1,D
Cercle Brugge,23,2026-01-31,H,Antwerp,0,4,0:4,L
Cercle Brugge,24,2026-02-07,A,Charleroi,4,3,4:3,W
Cercle Brugge,25,2026-02-15,H,Club Brugge,1,2,1:2,L
Cercle Brugge,26,2026-02-20,A,Gent,1,0,1:0,W
