squad,gw,date,home_away,opponent,gf,ga,score,result
AVS Futebol,1,2025-08-09,A,Arouca,1,3,1:3,L
AVS Futebol,2,2025-08-15,H,Casa Pia,0,2,0:2,L
AVS Futebol,3,2025-08-24,A,Braga,2,2,2:2,D
AVS Futebol,4,2025-08-30,H,Famalicão,0,1,0:1,L
AVS Futebol,5,2025-09-13,A,Estoril,1,3,1:3,L
AVS Futebol,6,2025-09-20,H,Benfica,0,3,0:3,L
AVS Futebol,7,2025-09-27,A,Estrela,0,3,0:3,L
AVS Futebol,8,2025-10-04,H,Alverca,1,3,1:3,L
AVS Futebol,9,2025-10-25,A,Santa Clara,0,2,0:2,L
AVS Futebol,10,2025-11-02,H,Tondela,2,2,2:2,D
AVS Futebol,11,2025-11-09,H,Gil Vicente FC,1,1,1:1,D
AVS Futebol,12,2025-11-28,A,Vit. Guimarães,0,4,0:4,L
AVS Futebol,13,2025-12-06,H,Rio Ave,1,2,1:2,L
AVS Futebol,14,2025-12-13,A,Sporting CP,0,6,0:6,L
AVS Futebol,15,2025-12-21,H,Nacional,2,2,2:2,D
AVS Futebol,16,2025-12-29,A,Porto,0,2,0:2,L
AVS Futebol,17,2026-01-03,H,Moreirense,0,2,0:2,L
AVS Futebol,18,2026-01-17,H,Arouca,0,1,0:1,L
AVS Futebol,19,2026-01-23,A,Casa Pia,3,3,3:3,D
AVS Futebol,20,2026-02-02,H,Braga,0,4,0:4,L
AVS Futebol,21,2026-02-09,A,Famalicão,1,3,1:3,L
AVS Futebol,22,2026-02-15,H,Estoril,3,0,3:0,W
AVS Futebol,23,2026-02-21,A,Benfica,0,3,0:3,L
AVS Futebol,24,2026-02-28,H,Estrela,0,0,0:0,D
AVS Futebol,25,2026-03-07,A,Alverca,0,0,0:0,D
AVS Futebol,26,2026-03-15,H,Santa Clara,0,1,0:1,L
AVS Futebol,27,2026-03-21,A,Tondela,0,0,0:0,D
AVS Futebol,28,2026-04-03,A,Gil Vicente FC,0,3,0:3,L
AVS Futebol,29,2026-04-11,H,Vit. Guimarães,1,1,1:1,D
AVS Futebol,30,2026-04-17,A,Rio Ave,2,2,2:2,D
AVS Futebol,31,2026-04-26,H,Sporting CP,1,1,1:1,D
AVS Futebol,32,2026-05-02,A,Nacional,2,1,2:1,W
AVS Futebol,33,2026-05-10,H,Porto,3,1,3:1,W
AVS Futebol,34,2026-05-16,A,Moreirense,0,0,0:0,D
Alverca,1,2025-08-10,A,Moreirense,1,2,1:2,L
Alverca,2,2025-08-17,H,Braga,0,3,0:3,L
Alverca,3,2025-08-25,A,Estrela,2,2,2:2,D
Alverca,4,2025-08-31,H,Benfica,1,2,1:2,L
Alverca,5,2025-09-12,H,Tondela,1,0,1:0,W
Alverca,6,2025-09-20,A,Santa Clara,1,2,1:2,L
Alverca,7,2025-09-28,H,Vit. Guimarães,2,0,2:0,W
Alverca,8,2025-10-04,A,AVS Futebol,3,1,3:1,W
Alverca,9,2025-10-24,H,Gil Vicente FC,0,4,0:4,L
Alverca,10,2025-10-31,A,Sporting CP,0,2,0:2,L
Alverca,11,2025-11-08,H,Rio Ave,1,1,1:1,D
Alverca,12,2025-11-29,A,Casa Pia,2,0,2:0,W
Alverca,13,2025-12-07,H,Nacional,1,0,1:0,W
Alverca,14,2025-12-14,A,Arouca,0,1,0:1,L
Alverca,15,2025-12-22,H,Porto,0,3,0:3,L
Alverca,16,2025-12-27,A,Estoril,1,4,1:4,L
Alverca,17,2026-01-04,H,Famalicão,1,0,1:0,W
Alverca,18,2026-01-17,H,Moreirense,2,1,2:1,W
Alverca,19,2026-01-25,A,Braga,0,5,0:5,L
Alverca,20,2026-01-31,H,Estrela,1,1,1:1,D
Alverca,21,2026-02-08,A,Benfica,1,2,1:2,L
