squad,gw,date,home_away,opponent,gf,ga,score,result
Angers,1,2025-08-17,H,Paris FC,1,0,1:0,W
Angers,2,2025-08-22,A,PSG,0,1,0:1,L
Angers,3,2025-08-31,H,Rennes,1,1,1:1,D
Angers,4,2025-09-14,A,Metz,1,1,1:1,D
Angers,5,2025-09-19,A,Lyon,0,1,0:1,L
Angers,6,2025-09-28,H,Brest,0,2,0:2,L
Angers,7,2025-10-05,A,Strasbourg,0,5,0:5,L
Angers,8,2025-10-18,H,Monaco,1,1,1:1,D
Angers,9,2025-10-26,H,Lorient,2,0,2:0,W
Angers,10,2025-10-29,A,Marseille,2,2,2:2,D
Angers,11,2025-11-02,A,Lille,0,1,0:1,L
Angers,12,2025-11-09,H,Auxerre,2,0,2:0,W
Angers,13,2025-11-23,A,Toulouse,1,0,1:0,W
Angers,14,2025-11-30,H,Lens,1,2,1:2,L
Angers,15,2025-12-07,A,Nice,1,0,1:0,W
Angers,16,2025-12-12,H,Nantes,4,1,4:1,W
Angers,17,2026-01-04,A,Le Havre,1,2,1:2,L
Angers,18,2026-01-17,H,Marseille,2,5,2:5,L
Angers,19,2026-01-25,A,Paris FC,0,0,0:0,D
Angers,20,2026-02-01,H,Metz,1,0,1:0,W
Angers,21,2026-02-08,H,Toulouse,1,0,1:0,W
Angers,22,2026-02-15,A,Lorient,0,2,0:2,L
Angers,23,2026-02-22,H,Lille,0,1,0:1,L
Angers,24,2026-02-28,A,Monaco,0,2,0:2,L
Angers,25,2026-03-07,A,Nantes,1,0,1:0,W
Angers,26,2026-03-14,H,Nice,0,2,0:2,L
Angers,27,2026-03-20,A,Lens,1,5,1:5,L
Angers,28,2026-04-05,H,Lyon,0,0,0:0,D
Angers,29,2026-04-11,A,Rennes,1,2,1:2,L
Angers,30,2026-04-18,H,Le Havre,1,1,1:1,D
Angers,31,2026-04-25,H,PSG,0,3,0:3,L
Angers,32,2026-05-03,A,Auxerre,1,3,1:3,L
Angers,33,2026-05-10,H,Strasbourg,1,1,1:1,D
Angers,34,2026-05-17,A,Brest,1,1,1:1,D
Auxerre,1,2025-08-17,H,Lorient,1,0,1:0,W
Auxerre,2,2025-08-23,A,Nice,1,3,1:3,L
Auxerre,3,2025-08-30,A,Nantes,0,1,0:1,L
Auxerre,4,2025-09-13,H,Monaco,1,2,1:2,L
Auxerre,5,2025-09-21,H,Toulouse,1,0,1:0,W
Auxerre,6,2025-09-27,A,PSG,0,2,0:2,L
Auxerre,7,2025-10-04,H,Lens,1,2,1:2,L
Auxerre,8,2025-10-19,A,Rennes,2,2,2:2,D
Auxerre,9,2025-10-26,H,Le Havre,0,1,0:1,L
Auxerre,10,2025-10-29,A,Strasbourg,0,3,0:3,L
Auxerre,11,2025-11-01,H,Marseille,0,1,0:1,L
Auxerre,12,2025-11-09,A,Angers,0,2,0:2,L
Auxerre,13,2025-11-23,H,Lyon,0,0,0:0,D
Auxerre,14,2025-11-29,A,Paris FC,1,1,1:1,D
Auxerre,15,2025-12-07,H,Metz,3,1,3:1,W
Auxerre,16,2025-12-14,H,Lille,3,4,3:4,L
Auxerre,17,2026-01-04,A,Brest,0,2,0:2,L
Auxerre,18,2026-01-17,A,Lens,0,1,0:1,L
Auxerre,19,2026-01-23,H,PSG,0,1,0:1,L
Auxerre,20,2026-02-01,A,Toulouse,0,0,0:0,D
Auxerre,21,2026-02-08,H,Paris FC,0,0,0:0,D
Auxerre,22,2026-02-15,A,Metz,3,1,3:1,W
Auxerre,23,2026-02-22,H,Rennes,0,3,0:3,L
Auxerre,24,2026-03-01,A,Lorient,2,2,2:2,D
Auxerre,25,2026-03-07,H,Strasbourg,0,0,0:0,D
Auxerre,26,2026-03-13,A,Marseille,0,1,0:1,L
Auxerre,27,2026-03-21,H,Brest,3,0,3:0,W
Auxerre,28,2026-04-05,A,Le Havre,1,1,1:1,D
Auxerre,29,2026-04-11,H,Nantes,0,0,0:0,D
Auxerre,30,2026-04-19,A,Monaco,2,2,2:2,D
Auxerre,31,2026-04-25,A,Lyon,2,3,2:3,L
Auxerre,32,2026-05-03,H,Angers,3,1,3:1,W
Auxerre,33,2026-05-10,H,Nice,2,1,2:1,W
Auxerre,34,2026-05-17,A,Lille,2,0,2:0,W
Brest,1,2025-08-17,H,Lille,3,3,3:3,D
Brest,2,2025-08-24,A,Toulouse,0,2,0:2,L
Brest,3,2025-08-29,A,Lens,1,3,1:3,L
Brest,4,2025-09-14,H,Paris FC,1,2,1:2,L
Brest,5,2025-09-20,H,Nice,4,1,4:1,W
Brest,6,2025-09-28,A,Angers,2,0,2:0,W
Brest,7,2025-10-04,H,Nantes,0,0,0:0,D
Brest,8,2025-10-19,A,Lorient,3,3,3:3,D
Brest,9,2025-10-25,H,PSG,0,3,0:3,L
Brest,10,2025-10-29,A,Le Havre,0,1,0:1,L
Brest,11,2025-11-02,H,Lyon,0,0,0:0,D
Brest,12,2025-11-08,A,Marseille,0,3,0:3,L
Brest,13,2025-11-23,H,Metz,3,2,3:2,W
Brest,14,2025-11-30,A,Strasbourg,2,1,2:1,W
Brest,15,2025-12-05,H,Monaco,1,0,1:0,W
Brest,16,2025-12-13,A,Rennes,1,3,1:3,L
Brest,17,2026-01-04,H,Auxerre,2,0,2:0,W
Brest,18,2026-01-18,A,Lyon,1,2,1:2,L
Brest,19,2026-01-25,H,Toulouse,0,2,0:2,L
Brest,20,2026-02-01,A,Nice,2,2,2:2,D
Brest,21,2026-02-07,H,Lorient,2,0,2:0,W
Brest,22,2026-02-14,A,Lille,1,1,1:1,D
Brest,23,2026-02-20,H,Marseille,2,0,2:0,W
Brest,24,2026-03-01,A,Metz,1,0,1:0,W
Brest,25,2026-03-08,H,Le Havre,2,0,2:0,W
Brest,26,2026-03-14,A,Monaco,0,2,0:2,L
Brest,27,2026-03-21,A,Auxerre,0,3,0:3,L
Brest,28,2026-04-04,H,Rennes,3,4,3:4,L
Brest,29,2026-05-13,H,Strasbourg,1,2,1:2,L
Brest,30,2026-04-19,A,Nantes,1,1,1:1,D
Brest,31,2026-04-24,H,Lens,3,3,3:3,D
Brest,32,2026-05-03,A,Paris FC,0,4,0:4,L
Brest,33,2026-05-10,A,PSG,0,1,0:1,L
Brest,34,2026-05-17,H,Angers,1,1,1:1,D
Le Havre,1,2025-08-16,A,Monaco,1,3,1:3,L
Le Havre,2,2025-08-24,H,Lens,1,2,1:2,L
Le Havre,3,2025-08-31,H,Nice,3,1,3:1,W
Le Havre,4,2025-09-14,A,Strasbourg,0,1,0:1,L
Le Havre,5,2025-09-21,H,Lorient,1,1,1:1,D
Le Havre,6,2025-09-28,A,Metz,0,0,0:0,D
Le Havre,7,2025-10-05,H,Rennes,2,2,2:2,D
Le Havre,8,2025-10-18,A,Marseille,2,6,2:6,L
Le Havre,9,2025-10-26,A,Auxerre,1,0,1:0,W
Le Havre,10,2025-10-29,H,Brest,1,0,1:0,W
Le Havre,11,2025-11-02,A,Toulouse,0,0,0:0,D
Le Havre,12,2025-11-08,H,Nantes,1,1,1:1,D
Le Havre,13,2025-11-22,A,PSG,0,3,0:3,L
