squad,gw,date,home_away,opponent,gf,ga,score,result
Atalanta,1,2025-08-24,H,Pisa,1,1,1:1,D
Atalanta,2,2025-08-30,A,Parma,1,1,1:1,D
Atalanta,3,2025-09-14,H,Lecce,4,1,4:1,W
Atalanta,4,2025-09-21,A,Torino,3,0,3:0,W
Atalanta,5,2025-09-27,A,Juventus,1,1,1:1,D
Atalanta,6,2025-10-04,H,Como,1,1,1:1,D
Atalanta,7,2025-10-19,H,Lazio,0,0,0:0,D
Atalanta,8,2025-10-25,A,Cremonese,1,1,1:1,D
Atalanta,9,2025-10-28,H,Milan,1,1,1:1,D
Atalanta,10,2025-11-01,A,Udinese,0,1,0:1,L
Atalanta,11,2025-11-09,H,Sassuolo,0,3,0:3,L
Atalanta,12,2025-11-22,A,Napoli,1,3,1:3,L
Atalanta,13,2025-11-30,H,Fiorentina,2,0,2:0,W
Atalanta,14,2025-12-06,A,Hellas Verona,1,3,1:3,L
Atalanta,15,2025-12-13,H,Cagliari,2,1,2:1,W
Atalanta,16,2025-12-21,A,Genoa,1,0,1:0,W
Atalanta,17,2025-12-28,H,Inter,0,1,0:1,L
Atalanta,18,2026-01-03,H,Roma,1,0,1:0,W
Atalanta,19,2026-01-07,A,Bologna,2,0,2:0,W
Atalanta,20,2026-01-10,H,Torino,2,0,2:0,W
Atalanta,21,2026-01-16,A,Pisa,1,1,1:1,D
Atalanta,22,2026-01-25,H,Parma,4,0,4:0,W
Atalanta,23,2026-02-01,A,Como,0,0,0:0,D
Atalanta,24,2026-02-09,H,Cremonese,2,1,2:1,W
Atalanta,25,2026-02-14,A,Lazio,2,0,2:0,W
Atalanta,26,2026-02-22,H,Napoli,2,1,2:1,W
Atalanta,27,2026-03-01,A,Sassuolo,1,2,1:2,L
Atalanta,28,2026-03-07,H,Udinese,2,2,2:2,D
Atalanta,29,2026-03-14,A,Inter,1,1,1:1,D
Atalanta,30,2026-03-22,H,Hellas Verona,1,0,1:0,W
Atalanta,31,2026-04-06,A,Lecce,3,0,3:0,W
Atalanta,32,2026-04-11,H,Juventus,0,1,0:1,L
Atalanta,33,2026-04-18,A,Roma,1,1,1:1,D
Atalanta,34,2026-04-27,A,Cagliari,2,3,2:3,L
Atalanta,35,2026-05-02,H,Genoa,0,0,0:0,D
Atalanta,36,2026-05-10,A,Milan,3,2,3:2,W
Atalanta,37,2026-05-17,H,Bologna,0,1,0:1,L
Atalanta,38,2026-05-22,A,Fiorentina,1,1,1:1,D
Bologna,1,2025-08-23,A,Roma,0,1,0:1,L
Bologna,2,2025-08-30,H,Como,1,0,1:0,W
Bologna,3,2025-09-14,A,Milan,0,1,0:1,L
Bologna,4,2025-09-20,H,Genoa,2,1,2:1,W
Bologna,5,2025-09-28,A,Lecce,2,2,2:2,D
Bologna,6,2025-10-05,H,Pisa,4,0,4:0,W
Bologna,7,2025-10-19,A,Cagliari,2,0,2:0,W
Bologna,8,2025-10-26,A,Fiorentina,2,2,2:2,D
Bologna,9,2025-10-29,H,Torino,0,0,0:0,D
Bologna,10,2025-11-02,A,Parma,3,1,3:1,W
Bologna,11,2025-11-09,H,Napoli,2,0,2:0,W
Bologna,12,2025-11-22,A,Udinese,3,0,3:0,W
Bologna,13,2025-12-01,H,Cremonese,1,3,1:3,L
Bologna,14,2025-12-07,A,Lazio,1,1,1:1,D
Bologna,15,2025-12-14,H,Juventus,0,1,0:1,L
Bologna,16,2026-01-15,A,Hellas Verona,3,2,3:2,W
Bologna,17,2025-12-28,H,Sassuolo,1,1,1:1,D
Bologna,18,2026-01-04,A,Inter,1,3,1:3,L
Bologna,19,2026-01-07,H,Atalanta,0,2,0:2,L
Bologna,20,2026-01-10,A,Como,1,1,1:1,D
Bologna,21,2026-01-18,H,Fiorentina,1,2,1:2,L
Bologna,22,2026-01-25,A,Genoa,2,3,2:3,L
Bologna,23,2026-02-03,H,Milan,0,3,0:3,L
Bologna,24,2026-02-08,H,Parma,0,1,0:1,L
Bologna,25,2026-02-15,A,Torino,2,1,2:1,W
Bologna,26,2026-02-23,H,Udinese,1,0,1:0,W
Bologna,27,2026-03-02,A,Pisa,1,0,1:0,W
Bologna,28,2026-03-08,H,Hellas Verona,1,2,1:2,L
Bologna,29,2026-03-15,A,Sassuolo,1,0,1:0,W
Bologna,30,2026-03-22,H,Lazio,0,2,0:2,L
Bologna,31,2026-04-05,A,Cremonese,2,1,2:1,W
Bologna,32,2026-04-12,H,Lecce,2,0,2:0,W
Bologna,33,2026-04-19,A,Juventus,0,2,0:2,L
Bologna,34,2026-04-25,H,Roma,0,2,0:2,L
Bologna,35,2026-05-03,H,Cagliari,0,0,0:0,D
Bologna,36,2026-05-11,A,Napoli,3,2,3:2,W
Bologna,37,2026-05-17,A,Atalanta,1,0,1:0,W
