squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Anderlecht,리그,bel.1,2025-07-27,H,Westerlo,5,2,5-2,W,completed,742538
Anderlecht,리그,bel.1,2025-08-03,A,Cercle Brugge,2,0,2-0,W,completed,742547
Anderlecht,리그,bel.1,2025-08-10,H,Zulte Waregem,2,3,2-3,L,completed,742555
Anderlecht,리그,bel.1,2025-08-17,A,Dender,2,0,2-0,W,completed,742562
Anderlecht,리그,bel.1,2025-08-31,A,Union SG,0,2,0-2,L,completed,742580
Anderlecht,리그,bel.1,2025-09-14,H,Genk,1,1,1-1,D,completed,742588
Anderlecht,리그,bel.1,2025-09-20,H,Antwerp,0,0,0-0,D,completed,742592
Anderlecht,리그,bel.1,2025-09-23,H,Gent,1,0,1-0,W,completed,742571
Anderlecht,리그,bel.1,2025-09-26,A,OH Leuven,1,1,1-1,D,completed,742600
Anderlecht,리그,bel.1,2025-10-05,H,Standard Liège,1,0,1-0,W,completed,742608
Anderlecht,리그,bel.1,2025-10-19,A,Sint-Truiden,2,2,2-2,D,completed,742621
Anderlecht,리그,bel.1,2025-10-24,A,Charleroi,0,1,0-1,L,completed,742626
Anderlecht,리그,bel.1,2025-11-01,H,Mechelen,3,1,3-1,W,completed,742632
Anderlecht,리그,bel.1,2025-11-09,H,Club Brugge,1,0,1-0,W,completed,742640
Anderlecht,리그,bel.1,2025-11-23,A,La Louvière,1,0,1-0,W,completed,742651
Anderlecht,리그,bel.1,2025-11-30,H,Union SG,1,0,1-0,W,completed,742654
Anderlecht,리그,bel.1,2025-12-07,A,Westerlo,0,4,0-4,L,completed,742669
Anderlecht,리그,bel.1,2025-12-13,H,Sint-Truiden,2,1,2-1,W,completed,742676
Anderlecht,리그,bel.1,2025-12-21,A,Antwerp,2,2,2-2,D,completed,742678
Anderlecht,리그,bel.1,2025-12-26,H,Charleroi,1,2,1-2,L,completed,742686
Anderlecht,리그,bel.1,2026-01-18,A,Gent,2,4,2-4,L,completed,742696
Anderlecht,리그,bel.1,2026-01-25,H,Dender,0,0,0-0,D,completed,742704
Anderlecht,리그,bel.1,2026-02-01,A,Standard Liège,0,2,0-2,L,completed,742714
Anderlecht,리그,bel.1,2026-02-08,A,Genk,0,2,0-2,L,completed,742719
Anderlecht,리그,bel.1,2026-02-15,H,La Louvière,0,0,0-0,D,completed,742728
Anderlecht,리그,bel.1,2026-02-22,A,Zulte Waregem,4,2,4-2,W,completed,742738
Anderlecht,리그,bel.1,2026-02-28,H,OH Leuven,5,1,5-1,W,completed,742742
Anderlecht,리그,bel.1,2026-03-08,A,Club Brugge,2,2,2-2,D,completed,742750
Anderlecht,리그,bel.1,2026-03-15,A,Mechelen,0,1,0-1,L,completed,742763
Anderlecht,리그,bel.1,2026-03-22,H,Cercle Brugge,2,3,2-3,L,completed,742766
Anderlecht,리그,bel.1,2026-04-06,A,Club Brugge,2,4,2-4,L,completed,401866266
Anderlecht,리그,bel.1,2026-04-12,H,Gent,3,1,3-1,W,completed,401866275
Anderlecht,리그,bel.1,2026-04-18,A,Mechelen,2,1,2-1,W,completed,401866280
Anderlecht,리그,bel.1,2026-04-23,A,Sint-Truiden,0,2,0-2,L,completed,401866290
Anderlecht,리그,bel.1,2026-04-26,H,Union SG,1,3,1-3,L,completed,401866297
Anderlecht,리그,bel.1,2026-05-03,H,Club Brugge,1,3,1-3,L,completed,401866305
Anderlecht,리그,bel.1,2026-05-10,A,Gent,1,1,1-1,D,completed,401866311
Anderlecht,리그,bel.1,2026-05-17,H,Mechelen,2,2,2-2,D,completed,401866319
Anderlecht,리그,bel.1,2026-05-21,H,Sint-Truiden,3,1,3-1,W,completed,401866326
Anderlecht,리그,bel.1,2026-05-24,A,Union SG,1,5,1-5,L,completed,401866332
Antwerp,리그,bel.1,2025-07-25,H,Union SG,1,1,1-1,D,completed,742534
Antwerp,리그,bel.1,2025-08-03,A,Genk,1,1,1-1,D,completed,742546
Antwerp,리그,bel.1,2025-08-10,H,OH Leuven,3,1,3-1,W,completed,742557
Antwerp,리그,bel.1,2025-08-17,A,Charleroi,1,1,1-1,D,completed,742564
Antwerp,리그,bel.1,2025-08-24,H,Mechelen,2,1,2-1,W,completed,742570
Antwerp,리그,bel.1,2025-08-30,A,Westerlo,0,2,0-2,L,completed,742576
Antwerp,리그,bel.1,2025-09-14,H,Gent,1,2,1-2,L,completed,742586
Antwerp,리그,bel.1,2025-09-20,A,Anderlecht,0,0,0-0,D,completed,742592
Antwerp,리그,bel.1,2025-09-27,A,Zulte Waregem,0,2,0-2,L,completed,742605
Antwerp,리그,bel.1,2025-10-04,H,Cercle Brugge,1,1,1-1,D,completed,742607
Antwerp,리그,bel.1,2025-10-20,A,Standard Liège,0,1,0-1,L,completed,742620
Antwerp,리그,bel.1,2025-10-26,H,Club Brugge,0,1,0-1,L,completed,742622
Antwerp,리그,bel.1,2025-11-02,A,Sint-Truiden,0,1,0-1,L,completed,742634
