squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Augsburg,DFB-포칼,ger.dfb_pokal,2025-08-17,A,Hallescher FC,2,0,2-0,W,completed,739942
Augsburg,리그,ger.1,2025-08-23,A,Freiburg,3,1,3-1,W,completed,746726
Augsburg,리그,ger.1,2025-08-30,H,Bayern Munich,2,3,2-3,L,completed,746729
Augsburg,리그,ger.1,2025-09-14,A,St Pauli,1,2,1-2,L,completed,746742
Augsburg,리그,ger.1,2025-09-20,H,Mainz 05,1,4,1-4,L,completed,746748
Augsburg,리그,ger.1,2025-09-27,A,Heidenheim,1,2,1-2,L,completed,746754
Augsburg,리그,ger.1,2025-10-04,H,Wolfsburg,3,1,3-1,W,completed,746767
Augsburg,리그,ger.1,2025-10-18,A,Köln,1,1,1-1,D,completed,746780
Augsburg,리그,ger.1,2025-10-25,H,RB Leipzig,0,6,0-6,L,completed,746783
Augsburg,DFB-포칼,ger.dfb_pokal,2025-10-28,H,VfL Bochum,0,1,0-1,L,completed,758125
Augsburg,리그,ger.1,2025-10-31,H,Dortmund,0,1,0-1,L,completed,746791
Augsburg,리그,ger.1,2025-11-09,A,Stuttgart,2,3,2-3,L,completed,746802
Augsburg,리그,ger.1,2025-11-22,H,Hamburger SV,1,0,1-0,W,completed,746814
Augsburg,리그,ger.1,2025-11-29,A,Hoffenheim,0,3,0-3,L,completed,746821
Augsburg,리그,ger.1,2025-12-06,H,Leverkusen,2,0,2-0,W,completed,746834
Augsburg,리그,ger.1,2025-12-13,A,Frankfurt,0,1,0-1,L,completed,746841
Augsburg,리그,ger.1,2025-12-20,H,Werder Bremen,0,0,0-0,D,completed,746851
Augsburg,리그,ger.1,2026-01-11,A,Gladbach,0,4,0-4,L,completed,746860
Augsburg,리그,ger.1,2026-01-15,H,Union Berlin,1,1,1-1,D,completed,746867
Augsburg,리그,ger.1,2026-01-18,H,Freiburg,2,2,2-2,D,completed,746877
Augsburg,리그,ger.1,2026-01-24,A,Bayern Munich,2,1,2-1,W,completed,746880
Augsburg,리그,ger.1,2026-01-31,H,St Pauli,2,1,2-1,W,completed,746891
Augsburg,리그,ger.1,2026-02-07,A,Mainz 05,0,2,0-2,L,completed,746902
Augsburg,리그,ger.1,2026-02-15,H,Heidenheim,1,0,1-0,W,completed,746910
Augsburg,리그,ger.1,2026-02-21,A,Wolfsburg,3,2,3-2,W,completed,746924
Augsburg,리그,ger.1,2026-02-27,H,Köln,2,0,2-0,W,completed,746929
Augsburg,리그,ger.1,2026-03-07,A,RB Leipzig,1,2,1-2,L,completed,746942
Augsburg,리그,ger.1,2026-03-14,A,Dortmund,0,2,0-2,L,completed,746951
Augsburg,리그,ger.1,2026-03-22,H,Stuttgart,2,5,2-5,L,completed,746953
Augsburg,리그,ger.1,2026-04-04,A,Hamburger SV,1,1,1-1,D,completed,746969
Augsburg,리그,ger.1,2026-04-10,H,Hoffenheim,2,2,2-2,D,completed,746974
Augsburg,리그,ger.1,2026-04-18,A,Leverkusen,2,1,2-1,W,completed,746980
Augsburg,리그,ger.1,2026-04-25,H,Frankfurt,1,1,1-1,D,completed,746992
Augsburg,리그,ger.1,2026-05-02,A,Werder Bremen,3,1,3-1,W,completed,747004
Augsburg,리그,ger.1,2026-05-09,H,Gladbach,3,1,3-1,W,completed,747009
Augsburg,리그,ger.1,2026-05-16,A,Union Berlin,0,4,0-4,L,completed,747016
Bayern Munich,리그,ger.1,2025-08-22,H,RB Leipzig,6,0,6-0,W,completed,746718
Bayern Munich,DFB-포칼,ger.dfb_pokal,2025-08-27,A,SV Wehen Wiesbaden,3,2,3-2,W,completed,739954
Bayern Munich,리그,ger.1,2025-08-30,A,Augsburg,3,2,3-2,W,completed,746729
Bayern Munich,리그,ger.1,2025-09-13,H,Hamburger SV,5,0,5-0,W,completed,746741
Bayern Munich,챔피언스리그,uefa.champions,2025-09-17,H,Chelsea,3,1,3-1,W,completed,757663
Bayern Munich,리그,ger.1,2025-09-20,A,Hoffenheim,4,1,4-1,W,completed,746752
Bayern Munich,리그,ger.1,2025-09-26,H,Werder Bremen,4,0,4-0,W,completed,746759
Bayern Munich,챔피언스리그,uefa.champions,2025-09-30,A,Pafos,5,1,5-1,W,completed,757677
Bayern Munich,리그,ger.1,2025-10-04,A,Frankfurt,3,0,3-0,W,completed,746763
Bayern Munich,리그,ger.1,2025-10-18,H,Dortmund,2,1,2-1,W,completed,746776
Bayern Munich,챔피언스리그,uefa.champions,2025-10-22,H,Club Brugge,4,0,4-0,W,completed,757703
Bayern Munich,리그,ger.1,2025-10-25,A,Gladbach,3,0,3-0,W,completed,746785
Bayern Munich,DFB-포칼,ger.dfb_pokal,2025-10-29,A,Köln,4,1,4-1,W,completed,758124
Bayern Munich,리그,ger.1,2025-11-01,H,Leverkusen,3,0,3-0,W,completed,746792
Bayern Munich,챔피언스리그,uefa.champions,2025-11-04,A,Paris Saint-Germain,2,1,2-1,W,completed,757709
Bayern Munich,리그,ger.1,2025-11-08,A,Union Berlin,2,2,2-2,D,completed,746806
Bayern Munich,리그,ger.1,2025-11-22,H,Freiburg,6,2,6-2,W,completed,746813
Bayern Munich,챔피언스리그,uefa.champions,2025-11-26,A,Arsenal,1,3,1-3,L,completed,757742
Bayern Munich,리그,ger.1,2025-11-29,H,St Pauli,3,1,3-1,W,completed,746818
Bayern Munich,DFB-포칼,ger.dfb_pokal,2025-12-03,A,Union Berlin,3,2,3-2,W,completed,760550
Bayern Munich,리그,ger.1,2025-12-06,A,Stuttgart,5,0,5-0,W,completed,746828
Bayern Munich,챔피언스리그,uefa.champions,2025-12-09,H,Sporting CP,3,1,3-1,W,completed,757744
Bayern Munich,리그,ger.1,2025-12-14,H,Mainz 05,2,2,2-2,D,completed,746840
Bayern Munich,리그,ger.1,2025-12-21,A,Heidenheim,4,0,4-0,W,completed,746846
Bayern Munich,리그,ger.1,2026-01-11,H,Wolfsburg,8,1,8-1,W,completed,746858
Bayern Munich,리그,ger.1,2026-01-14,A,Köln,3,1,3-1,W,completed,746864
Bayern Munich,리그,ger.1,2026-01-17,A,RB Leipzig,5,1,5-1,W,completed,746875
Bayern Munich,챔피언스리그,uefa.champions,2026-01-21,H,Union Berlin,2,0,2-0,W,completed,757774
Bayern Munich,리그,ger.1,2026-01-24,H,Augsburg,1,2,1-2,L,completed,746880
Bayern Munich,챔피언스리그,uefa.champions,2026-01-28,A,PSV Eindhoven,2,1,2-1,W,completed,757793
Bayern Munich,리그,ger.1,2026-01-31,A,Hamburger SV,2,2,2-2,D,completed,746895
Bayern Munich,리그,ger.1,2026-02-08,H,Hoffenheim,5,1,5-1,W,completed,746903
Bayern Munich,DFB-포칼,ger.dfb_pokal,2026-02-11,H,RB Leipzig,2,0,2-0,W,completed,762467
Bayern Munich,리그,ger.1,2026-02-14,A,Werder Bremen,3,0,3-0,W,completed,746913
Bayern Munich,리그,ger.1,2026-02-21,H,Frankfurt,3,2,3-2,W,completed,746920
Bayern Munich,리그,ger.1,2026-02-28,A,Dortmund,3,2,3-2,W,completed,746926
Bayern Munich,리그,ger.1,2026-03-06,H,Gladbach,4,1,4-1,W,completed,746935
Bayern Munich,챔피언스리그,uefa.champions,2026-03-10,A,Atalanta,6,1,6-1,W,completed,401862641
Bayern Munich,리그,ger.1,2026-03-14,A,Leverkusen,1,1,1-1,D,completed,746950
Bayern Munich,챔피언스리그,uefa.champions,2026-03-18,H,Atalanta,4,1,4-1,W,completed,401862642
Bayern Munich,리그,ger.1,2026-03-21,H,Union Berlin,4,0,4-0,W,completed,746954
Bayern Munich,리그,ger.1,2026-04-04,A,Freiburg,3,2,3-2,W,completed,746966
Bayern Munich,챔피언스리그,uefa.champions,2026-04-07,A,Real Madrid,2,1,2-1,W,completed,401862886
Bayern Munich,리그,ger.1,2026-04-11,A,St Pauli,5,0,5-0,W,completed,746975
Bayern Munich,챔피언스리그,uefa.champions,2026-04-15,H,Real Madrid,4,3,4-3,W,completed,401862891
Bayern Munich,리그,ger.1,2026-04-19,H,Stuttgart,4,2,4-2,W,completed,746983
Bayern Munich,DFB-포칼,ger.dfb_pokal,2026-04-22,A,Leverkusen,2,0,2-0,W,completed,401862313
Bayern Munich,리그,ger.1,2026-04-25,A,Mainz 05,4,3,4-3,W,completed,746990
Bayern Munich,챔피언스리그,uefa.champions,2026-04-28,A,Paris Saint-Germain,4,5,4-5,L,completed,401862893
Bayern Munich,리그,ger.1,2026-05-02,H,Heidenheim,3,3,3-3,D,completed,747001
Bayern Munich,챔피언스리그,uefa.champions,2026-05-06,H,Paris Saint-Germain,1,1,1-1,D,completed,401862895
Bayern Munich,리그,ger.1,2026-05-09,A,Wolfsburg,1,0,1-0,W,completed,747014
Bayern Munich,리그,ger.1,2026-05-16,H,Köln,5,1,5-1,W,completed,747020
Bayern Munich,DFB-포칼,ger.dfb_pokal,2026-05-23,H,Stuttgart,3,0,3-0,W,completed,401862315
Dortmund,DFB-포칼,ger.dfb_pokal,2025-08-18,A,Rot-Weiss Essen,1,0,1-0,W,completed,739943
Dortmund,리그,ger.1,2025-08-23,A,St Pauli,3,3,3-3,D,completed,746725
Dortmund,리그,ger.1,2025-08-31,H,Union Berlin,3,0,3-0,W,completed,746728
Dortmund,리그,ger.1,2025-09-13,A,Heidenheim,2,0,2-0,W,completed,746736
