squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
AZ Alkmaar,리그,ned.1,2026-08-08,H,ADO Den Haag,0,0,0-0,,scheduled,401875651
AZ Alkmaar,리그,ned.1,2026-08-15,A,Utrecht,0,0,0-0,,scheduled,401875644
AZ Alkmaar,리그,ned.1,2026-08-22,A,Fortuna Sittard,0,0,0-0,,scheduled,401875637
AZ Alkmaar,리그,ned.1,2026-08-29,H,Go Ahead Eagles,0,0,0-0,,scheduled,401875628
AZ Alkmaar,리그,ned.1,2026-09-06,A,Heerenveen,0,0,0-0,,scheduled,401875615
AZ Alkmaar,리그,ned.1,2026-09-11,H,Willem II,0,0,0-0,,scheduled,401875611
AZ Alkmaar,리그,ned.1,2026-09-20,H,Telstar,0,0,0-0,,scheduled,401875595
AZ Alkmaar,리그,ned.1,2026-10-10,A,Feyenoord,0,0,0-0,,scheduled,401875591
AZ Alkmaar,리그,ned.1,2026-10-18,A,SC Cambuur,0,0,0-0,,scheduled,401875576
AZ Alkmaar,리그,ned.1,2026-10-25,H,Twente,0,0,0-0,,scheduled,401875566
AZ Alkmaar,리그,ned.1,2026-10-31,A,Ajax,0,0,0-0,,scheduled,401875562
AZ Alkmaar,리그,ned.1,2026-11-08,H,Groningen,0,0,0-0,,scheduled,401875548
AZ Alkmaar,리그,ned.1,2026-11-21,A,Sparta R.,0,0,0-0,,scheduled,401875540
AZ Alkmaar,리그,ned.1,2026-11-28,A,Zwolle,0,0,0-0,,scheduled,401875532
AZ Alkmaar,리그,ned.1,2026-12-05,H,PSV,0,0,0-0,,scheduled,401875527
AZ Alkmaar,리그,ned.1,2026-12-12,H,NEC Nijmegen,0,0,0-0,,scheduled,401875519
AZ Alkmaar,리그,ned.1,2026-12-19,A,Excelsior,0,0,0-0,,scheduled,401875511
AZ Alkmaar,리그,ned.1,2027-01-09,H,Heerenveen,0,0,0-0,,scheduled,401875498
AZ Alkmaar,리그,ned.1,2027-01-16,A,Go Ahead Eagles,0,0,0-0,,scheduled,401875488
AZ Alkmaar,리그,ned.1,2027-01-23,H,Utrecht,0,0,0-0,,scheduled,401875674
AZ Alkmaar,리그,ned.1,2027-01-30,H,Feyenoord,0,0,0-0,,scheduled,401875665
AZ Alkmaar,리그,ned.1,2027-02-13,A,Groningen,0,0,0-0,,scheduled,401875656
AZ Alkmaar,리그,ned.1,2027-02-20,H,Fortuna Sittard,0,0,0-0,,scheduled,401875701
AZ Alkmaar,리그,ned.1,2027-02-27,A,NEC Nijmegen,0,0,0-0,,scheduled,401875689
AZ Alkmaar,리그,ned.1,2027-03-06,A,Twente,0,0,0-0,,scheduled,401875682
AZ Alkmaar,리그,ned.1,2027-03-13,H,Sparta R.,0,0,0-0,,scheduled,401875712
AZ Alkmaar,리그,ned.1,2027-03-20,H,Excelsior,0,0,0-0,,scheduled,401875721
AZ Alkmaar,리그,ned.1,2027-04-03,A,PSV,0,0,0-0,,scheduled,401875733
AZ Alkmaar,리그,ned.1,2027-04-10,A,Willem II,0,0,0-0,,scheduled,401875745
AZ Alkmaar,리그,ned.1,2027-04-24,H,SC Cambuur,0,0,0-0,,scheduled,401875747
AZ Alkmaar,리그,ned.1,2027-05-01,A,Telstar,0,0,0-0,,scheduled,401875764
AZ Alkmaar,리그,ned.1,2027-05-08,H,Ajax,0,0,0-0,,scheduled,401875766
AZ Alkmaar,리그,ned.1,2027-05-16,H,Zwolle,0,0,0-0,,scheduled,401875775
AZ Alkmaar,리그,ned.1,2027-05-23,A,ADO Den Haag,0,0,0-0,,scheduled,401875783
Ajax,리그,ned.1,2026-08-09,A,Zwolle,0,0,0-0,,scheduled,401875648
Ajax,리그,ned.1,2026-08-16,H,Heerenveen,0,0,0-0,,scheduled,401875638
Ajax,리그,ned.1,2026-08-30,A,Telstar,0,0,0-0,,scheduled,401875623
Ajax,리그,ned.1,2026-09-05,H,PSV,0,0,0-0,,scheduled,401875618
Ajax,리그,ned.1,2026-09-12,A,Fortuna Sittard,0,0,0-0,,scheduled,401875608
Ajax,리그,ned.1,2026-09-15,H,Willem II,0,0,0-0,,scheduled,401875602
Ajax,리그,ned.1,2026-09-19,H,Excelsior,0,0,0-0,,scheduled,401875598
Ajax,리그,ned.1,2026-10-10,H,NEC Nijmegen,0,0,0-0,,scheduled,401875589
Ajax,리그,ned.1,2026-10-18,A,Groningen,0,0,0-0,,scheduled,401875575
Ajax,리그,ned.1,2026-10-25,A,Sparta R.,0,0,0-0,,scheduled,401875567
Ajax,리그,ned.1,2026-10-31,H,AZ Alkmaar,0,0,0-0,,scheduled,401875562
Ajax,리그,ned.1,2026-11-08,A,Twente,0,0,0-0,,scheduled,401875550
Ajax,리그,ned.1,2026-11-21,H,ADO Den Haag,0,0,0-0,,scheduled,401875547
Ajax,리그,ned.1,2026-11-28,A,Feyenoord,0,0,0-0,,scheduled,401875535
Ajax,리그,ned.1,2026-12-05,H,Utrecht,0,0,0-0,,scheduled,401875528
Ajax,리그,ned.1,2026-12-12,H,SC Cambuur,0,0,0-0,,scheduled,401875520
Ajax,리그,ned.1,2026-12-19,A,Go Ahead Eagles,0,0,0-0,,scheduled,401875507
Ajax,리그,ned.1,2027-01-09,A,Willem II,0,0,0-0,,scheduled,401875499
Ajax,리그,ned.1,2027-01-16,H,Groningen,0,0,0-0,,scheduled,401875492
Ajax,리그,ned.1,2027-01-23,H,Telstar,0,0,0-0,,scheduled,401875675
Ajax,리그,ned.1,2027-01-30,A,Heerenveen,0,0,0-0,,scheduled,401875660
Ajax,리그,ned.1,2027-02-13,A,Excelsior,0,0,0-0,,scheduled,401875657
Ajax,리그,ned.1,2027-02-20,H,Go Ahead Eagles,0,0,0-0,,scheduled,401875702
Ajax,리그,ned.1,2027-02-27,H,Feyenoord,0,0,0-0,,scheduled,401875692
Ajax,리그,ned.1,2027-03-06,A,ADO Den Haag,0,0,0-0,,scheduled,401875684
Ajax,리그,ned.1,2027-03-13,H,Zwolle,0,0,0-0,,scheduled,401875711
Ajax,리그,ned.1,2027-03-20,A,NEC Nijmegen,0,0,0-0,,scheduled,401875726
Ajax,리그,ned.1,2027-04-03,H,Twente,0,0,0-0,,scheduled,401875729
Ajax,리그,ned.1,2027-04-10,A,Utrecht,0,0,0-0,,scheduled,401875740
Ajax,리그,ned.1,2027-04-24,A,PSV,0,0,0-0,,scheduled,401875754
Ajax,리그,ned.1,2027-05-01,H,Fortuna Sittard,0,0,0-0,,scheduled,401875756
Ajax,리그,ned.1,2027-05-08,A,AZ Alkmaar,0,0,0-0,,scheduled,401875766
Ajax,리그,ned.1,2027-05-16,H,Sparta R.,0,0,0-0,,scheduled,401875774
Ajax,리그,ned.1,2027-05-23,A,SC Cambuur,0,0,0-0,,scheduled,401875787
Excelsior,리그,ned.1,2026-08-07,A,SC Cambuur,0,0,0-0,,scheduled,401875655
Excelsior,리그,ned.1,2026-08-15,H,PSV,0,0,0-0,,scheduled,401875643
