squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Alverca,리그,por.1,2026-08-09,A,Porto,0,0,0-0,,scheduled,401885487
Alverca,리그,por.1,2026-08-15,H,Estrela,0,0,0-0,,scheduled,401885482
Alverca,리그,por.1,2026-08-23,A,Sporting CP,0,0,0-0,,scheduled,401885467
Alverca,리그,por.1,2026-08-30,H,Santa Clara,0,0,0-0,,scheduled,401885464
Alverca,리그,por.1,2026-09-06,H,Braga,0,0,0-0,,scheduled,401885456
Alverca,리그,por.1,2026-09-13,A,Nacional,0,0,0-0,,scheduled,401885441
Alverca,리그,por.1,2026-09-20,H,Rio Ave,0,0,0-0,,scheduled,401885438
Alverca,리그,por.1,2026-10-11,A,Famalicão,0,0,0-0,,scheduled,401885425
Alverca,리그,por.1,2026-10-25,H,Arouca,0,0,0-0,,scheduled,401885420
Alverca,리그,por.1,2026-11-01,A,Benfica,0,0,0-0,,scheduled,401885403
Alverca,리그,por.1,2026-11-08,H,Casa Pia,0,0,0-0,,scheduled,401885402
Alverca,리그,por.1,2026-11-29,A,Académico de Viseu,0,0,0-0,,scheduled,401885393
Alverca,리그,por.1,2026-12-06,H,Moreirense,0,0,0-0,,scheduled,401885384
Alverca,리그,por.1,2026-12-13,A,Vit. Guimarães,0,0,0-0,,scheduled,401885367
Alverca,리그,por.1,2026-12-20,H,Gil Vicente FC,0,0,0-0,,scheduled,401885366
Alverca,리그,por.1,2026-12-27,A,Estoril,0,0,0-0,,scheduled,401885356
Alverca,리그,por.1,2027-01-10,H,Maritimo,0,0,0-0,,scheduled,401885347
Alverca,리그,por.1,2027-01-17,H,Porto,0,0,0-0,,scheduled,401885334
Alverca,리그,por.1,2027-01-24,A,Estrela,0,0,0-0,,scheduled,401885329
Alverca,리그,por.1,2027-01-31,H,Sporting CP,0,0,0-0,,scheduled,401885314
Alverca,리그,por.1,2027-02-07,A,Santa Clara,0,0,0-0,,scheduled,401885311
Alverca,리그,por.1,2027-02-14,A,Braga,0,0,0-0,,scheduled,401885303
Alverca,리그,por.1,2027-02-21,H,Nacional,0,0,0-0,,scheduled,401885288
Alverca,리그,por.1,2027-02-28,A,Rio Ave,0,0,0-0,,scheduled,401885285
Alverca,리그,por.1,2027-03-07,H,Famalicão,0,0,0-0,,scheduled,401885272
Alverca,리그,por.1,2027-03-14,A,Arouca,0,0,0-0,,scheduled,401885267
Alverca,리그,por.1,2027-03-21,H,Benfica,0,0,0-0,,scheduled,401885250
Alverca,리그,por.1,2027-04-04,A,Casa Pia,0,0,0-0,,scheduled,401885249
Alverca,리그,por.1,2027-04-11,H,Académico de Viseu,0,0,0-0,,scheduled,401885240
Alverca,리그,por.1,2027-04-18,A,Moreirense,0,0,0-0,,scheduled,401885231
Alverca,리그,por.1,2027-04-25,H,Vit. Guimarães,0,0,0-0,,scheduled,401884847
Alverca,리그,por.1,2027-05-02,A,Gil Vicente FC,0,0,0-0,,scheduled,401884846
Alverca,리그,por.1,2027-05-09,H,Estoril,0,0,0-0,,scheduled,401884836
Alverca,리그,por.1,2027-05-16,A,Maritimo,0,0,0-0,,scheduled,401884827
Arouca,리그,por.1,2026-08-08,A,Vit. Guimarães,0,0,0-0,,scheduled,401885484
Arouca,리그,por.1,2026-08-17,H,Moreirense,0,0,0-0,,scheduled,401885481
Arouca,리그,por.1,2026-08-23,A,Porto,0,0,0-0,,scheduled,401885469
Arouca,리그,por.1,2026-08-30,H,Maritimo,0,0,0-0,,scheduled,401885463
Arouca,리그,por.1,2026-09-06,A,Estoril,0,0,0-0,,scheduled,401885454
Arouca,리그,por.1,2026-09-13,H,Santa Clara,0,0,0-0,,scheduled,401885446
Arouca,리그,por.1,2026-09-20,A,Sporting CP,0,0,0-0,,scheduled,401885431
Arouca,리그,por.1,2026-10-11,H,Estrela,0,0,0-0,,scheduled,401885428
Arouca,리그,por.1,2026-10-25,A,Alverca,0,0,0-0,,scheduled,401885420
Arouca,리그,por.1,2026-11-01,H,Nacional,0,0,0-0,,scheduled,401885410
Arouca,리그,por.1,2026-11-08,A,Famalicão,0,0,0-0,,scheduled,401885399
