squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Angers,리그,fra.1,2026-08-23,H,Lille,0,0,0-0,,scheduled,401876493
Angers,리그,fra.1,2026-08-29,A,Auxerre,0,0,0-0,,scheduled,401876484
Angers,리그,fra.1,2026-09-05,H,Stade Rennais,0,0,0-0,,scheduled,401876475
Angers,리그,fra.1,2026-09-12,A,Le Havre,0,0,0-0,,scheduled,401876464
Angers,리그,fra.1,2026-09-19,H,Troyes,0,0,0-0,,scheduled,401876457
Angers,리그,fra.1,2026-10-10,A,Brest,0,0,0-0,,scheduled,401876448
Angers,리그,fra.1,2026-10-17,H,Marseille,0,0,0-0,,scheduled,401876439
Angers,리그,fra.1,2026-10-24,H,Lorient,0,0,0-0,,scheduled,401876430
Angers,리그,fra.1,2026-10-31,A,Lyon,0,0,0-0,,scheduled,401876418
Angers,리그,fra.1,2026-11-07,H,Nice,0,0,0-0,,scheduled,401876412
Angers,리그,fra.1,2026-11-21,A,Paris FC,0,0,0-0,,scheduled,401876397
Angers,리그,fra.1,2026-11-28,H,Lens,0,0,0-0,,scheduled,401876394
Angers,리그,fra.1,2026-12-05,A,Monaco,0,0,0-0,,scheduled,401876382
Angers,리그,fra.1,2026-12-12,H,Strasbourg,0,0,0-0,,scheduled,401876376
Angers,리그,fra.1,2027-01-02,A,Toulouse,0,0,0-0,,scheduled,401876361
Angers,리그,fra.1,2027-01-16,H,PSG,0,0,0-0,,scheduled,401876358
Angers,리그,fra.1,2027-01-23,A,Le Mans,0,0,0-0,,scheduled,401876348
Angers,리그,fra.1,2027-01-30,H,Le Havre,0,0,0-0,,scheduled,401876340
Angers,리그,fra.1,2027-02-06,A,Lens,0,0,0-0,,scheduled,401876329
Angers,리그,fra.1,2027-02-13,A,Marseille,0,0,0-0,,scheduled,401876316
Angers,리그,fra.1,2027-02-20,H,Paris FC,0,0,0-0,,scheduled,401876313
Angers,리그,fra.1,2027-02-27,A,Lorient,0,0,0-0,,scheduled,401876301
Angers,리그,fra.1,2027-03-06,H,Auxerre,0,0,0-0,,scheduled,401876295
Angers,리그,fra.1,2027-03-13,A,Strasbourg,0,0,0-0,,scheduled,401876278
Angers,리그,fra.1,2027-03-20,H,Le Mans,0,0,0-0,,scheduled,401876277
Angers,리그,fra.1,2027-04-03,H,Monaco,0,0,0-0,,scheduled,401876268
Angers,리그,fra.1,2027-04-10,A,Troyes,0,0,0-0,,scheduled,401876251
Angers,리그,fra.1,2027-04-17,H,Lyon,0,0,0-0,,scheduled,401876250
Angers,리그,fra.1,2027-04-24,A,Nice,0,0,0-0,,scheduled,401876236
Angers,리그,fra.1,2027-05-01,A,PSG,0,0,0-0,,scheduled,401876228
Angers,리그,fra.1,2027-05-08,H,Toulouse,0,0,0-0,,scheduled,401876223
Angers,리그,fra.1,2027-05-16,A,Lille,0,0,0-0,,scheduled,401876212
Angers,리그,fra.1,2027-05-22,H,Brest,0,0,0-0,,scheduled,401876205
Angers,리그,fra.1,2027-05-29,A,Stade Rennais,0,0,0-0,,scheduled,401876189
Auxerre,리그,fra.1,2026-08-22,A,Lens,0,0,0-0,,scheduled,401876490
Auxerre,리그,fra.1,2026-08-29,H,Angers,0,0,0-0,,scheduled,401876484
Auxerre,리그,fra.1,2026-09-05,A,Lyon,0,0,0-0,,scheduled,401876472
Auxerre,리그,fra.1,2026-09-12,H,Nice,0,0,0-0,,scheduled,401876466
Auxerre,리그,fra.1,2026-09-19,H,Brest,0,0,0-0,,scheduled,401876456
Auxerre,리그,fra.1,2026-10-10,A,Stade Rennais,0,0,0-0,,scheduled,401876441
Auxerre,리그,fra.1,2026-10-17,A,Le Havre,0,0,0-0,,scheduled,401876438
Auxerre,리그,fra.1,2026-10-24,H,Le Mans,0,0,0-0,,scheduled,401876429
Auxerre,리그,fra.1,2026-10-31,A,Strasbourg,0,0,0-0,,scheduled,401876414
Auxerre,리그,fra.1,2026-11-07,H,Paris FC,0,0,0-0,,scheduled,401876411
Auxerre,리그,fra.1,2026-11-21,A,Monaco,0,0,0-0,,scheduled,401876399
Auxerre,리그,fra.1,2026-11-28,H,Marseille,0,0,0-0,,scheduled,401876393
Auxerre,리그,fra.1,2026-12-05,A,Lille,0,0,0-0,,scheduled,401876384
Auxerre,리그,fra.1,2026-12-12,H,Toulouse,0,0,0-0,,scheduled,401876375
Auxerre,리그,fra.1,2027-01-02,A,Lorient,0,0,0-0,,scheduled,401876364
Auxerre,리그,fra.1,2027-01-16,H,Troyes,0,0,0-0,,scheduled,401876357
Auxerre,리그,fra.1,2027-01-23,A,PSG,0,0,0-0,,scheduled,401876344
Auxerre,리그,fra.1,2027-01-30,A,Paris FC,0,0,0-0,,scheduled,401876334
Auxerre,리그,fra.1,2027-02-06,H,Monaco,0,0,0-0,,scheduled,401876331
Auxerre,리그,fra.1,2027-02-13,H,Strasbourg,0,0,0-0,,scheduled,401876322
Auxerre,리그,fra.1,2027-02-20,A,Nice,0,0,0-0,,scheduled,401876308
Auxerre,리그,fra.1,2027-02-27,H,Lille,0,0,0-0,,scheduled,401876304
Auxerre,리그,fra.1,2027-03-06,A,Angers,0,0,0-0,,scheduled,401876295
Auxerre,리그,fra.1,2027-03-13,H,PSG,0,0,0-0,,scheduled,401876286
Auxerre,리그,fra.1,2027-03-20,A,Troyes,0,0,0-0,,scheduled,401876270
Auxerre,리그,fra.1,2027-04-03,H,Lens,0,0,0-0,,scheduled,401876267
Auxerre,리그,fra.1,2027-04-10,A,Le Mans,0,0,0-0,,scheduled,401876259
Auxerre,리그,fra.1,2027-04-17,H,Lorient,0,0,0-0,,scheduled,401876249
Auxerre,리그,fra.1,2027-04-24,A,Marseille,0,0,0-0,,scheduled,401876237
Auxerre,리그,fra.1,2027-05-01,H,Lyon,0,0,0-0,,scheduled,401876232
Auxerre,리그,fra.1,2027-05-08,A,Brest,0,0,0-0,,scheduled,401876222
Auxerre,리그,fra.1,2027-05-16,H,Stade Rennais,0,0,0-0,,scheduled,401876214
Auxerre,리그,fra.1,2027-05-22,A,Toulouse,0,0,0-0,,scheduled,401876198
Auxerre,리그,fra.1,2027-05-29,H,Le Havre,0,0,0-0,,scheduled,401876196
Brest,리그,fra.1,2026-08-22,A,Le Mans,0,0,0-0,,scheduled,401876491
Brest,리그,fra.1,2026-08-29,H,Toulouse,0,0,0-0,,scheduled,401876483
Brest,리그,fra.1,2026-09-05,A,Le Havre,0,0,0-0,,scheduled,401876474
Brest,리그,fra.1,2026-09-12,H,PSG,0,0,0-0,,scheduled,401876465
Brest,리그,fra.1,2026-09-19,A,Auxerre,0,0,0-0,,scheduled,401876456
Brest,리그,fra.1,2026-10-10,H,Angers,0,0,0-0,,scheduled,401876448
Brest,리그,fra.1,2026-10-17,A,Lille,0,0,0-0,,scheduled,401876436
Brest,리그,fra.1,2026-10-24,H,Nice,0,0,0-0,,scheduled,401876428
Brest,리그,fra.1,2026-10-31,A,Lorient,0,0,0-0,,scheduled,401876419
Brest,리그,fra.1,2026-11-07,H,Lyon,0,0,0-0,,scheduled,401876410
Brest,리그,fra.1,2026-11-21,A,Strasbourg,0,0,0-0,,scheduled,401876396
Brest,리그,fra.1,2026-11-28,H,Paris FC,0,0,0-0,,scheduled,401876392
Brest,리그,fra.1,2026-12-05,A,Stade Rennais,0,0,0-0,,scheduled,401876380
Brest,리그,fra.1,2026-12-12,H,Troyes,0,0,0-0,,scheduled,401876374
Brest,리그,fra.1,2027-01-02,H,Marseille,0,0,0-0,,scheduled,401876367
Brest,리그,fra.1,2027-01-16,A,Monaco,0,0,0-0,,scheduled,401876354
Brest,리그,fra.1,2027-01-23,A,Lens,0,0,0-0,,scheduled,401876347
Brest,리그,fra.1,2027-01-30,H,Strasbourg,0,0,0-0,,scheduled,401876339
Brest,리그,fra.1,2027-02-06,A,Nice,0,0,0-0,,scheduled,401876327
Brest,리그,fra.1,2027-02-13,H,Stade Rennais,0,0,0-0,,scheduled,401876321
Brest,리그,fra.1,2027-02-20,A,PSG,0,0,0-0,,scheduled,401876307
Brest,리그,fra.1,2027-02-27,H,Monaco,0,0,0-0,,scheduled,401876303
Brest,리그,fra.1,2027-03-06,A,Paris FC,0,0,0-0,,scheduled,401876290
Brest,리그,fra.1,2027-03-13,H,Lille,0,0,0-0,,scheduled,401876285
Brest,리그,fra.1,2027-03-20,A,Toulouse,0,0,0-0,,scheduled,401876271
Brest,리그,fra.1,2027-04-03,H,Lorient,0,0,0-0,,scheduled,401876266
Brest,리그,fra.1,2027-04-10,A,Marseille,0,0,0-0,,scheduled,401876255
