squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Atalanta,리그,ita.1,2026-08-23,H,Sassuolo,0,0,0-0,,scheduled,401874748
Atalanta,리그,ita.1,2026-08-31,H,Bologna,0,0,0-0,,scheduled,401874970
Atalanta,리그,ita.1,2026-09-05,A,Roma,0,0,0-0,,scheduled,401874781
Atalanta,리그,ita.1,2026-09-12,H,Cagliari,0,0,0-0,,scheduled,401874979
Atalanta,리그,ita.1,2026-09-20,A,Juventus,0,0,0-0,,scheduled,401874757
Atalanta,리그,ita.1,2026-10-11,H,Venezia,0,0,0-0,,scheduled,401875005
Atalanta,리그,ita.1,2026-10-17,A,Milan,0,0,0-0,,scheduled,401874978
Atalanta,리그,ita.1,2026-10-25,H,Frosinone,0,0,0-0,,scheduled,401874972
Atalanta,리그,ita.1,2026-10-28,A,Fiorentina,0,0,0-0,,scheduled,401874969
Atalanta,리그,ita.1,2026-11-01,H,Parma,0,0,0-0,,scheduled,401874971
Atalanta,리그,ita.1,2026-11-08,A,Monza,0,0,0-0,,scheduled,401874800
Atalanta,리그,ita.1,2026-11-22,H,Inter,0,0,0-0,,scheduled,401875001
Atalanta,리그,ita.1,2026-11-29,A,Lecce,0,0,0-0,,scheduled,401875095
Atalanta,리그,ita.1,2026-12-06,A,Lazio,0,0,0-0,,scheduled,401875029
Atalanta,리그,ita.1,2026-12-13,H,Genoa,0,0,0-0,,scheduled,401875032
Atalanta,리그,ita.1,2026-12-20,H,Napoli,0,0,0-0,,scheduled,401874777
Atalanta,리그,ita.1,2027-01-03,A,Udinese,0,0,0-0,,scheduled,401874770
Atalanta,리그,ita.1,2027-01-06,H,Como,0,0,0-0,,scheduled,401874843
Atalanta,리그,ita.1,2027-01-10,A,Torino,0,0,0-0,,scheduled,401875015
Atalanta,리그,ita.1,2027-01-17,H,Roma,0,0,0-0,,scheduled,401875030
Atalanta,리그,ita.1,2027-01-24,A,Bologna,0,0,0-0,,scheduled,401875024
Atalanta,리그,ita.1,2027-01-31,H,Fiorentina,0,0,0-0,,scheduled,401875109
Atalanta,리그,ita.1,2027-02-07,H,Lazio,0,0,0-0,,scheduled,401875054
Atalanta,리그,ita.1,2027-02-14,A,Genoa,0,0,0-0,,scheduled,401875125
Atalanta,리그,ita.1,2027-02-21,H,Monza,0,0,0-0,,scheduled,401874819
Atalanta,리그,ita.1,2027-02-28,A,Inter,0,0,0-0,,scheduled,401874839
Atalanta,리그,ita.1,2027-03-07,H,Torino,0,0,0-0,,scheduled,401874855
Atalanta,리그,ita.1,2027-03-14,A,Venezia,0,0,0-0,,scheduled,401875060
Atalanta,리그,ita.1,2027-03-21,H,Milan,0,0,0-0,,scheduled,401875142
Atalanta,리그,ita.1,2027-04-04,A,Sassuolo,0,0,0-0,,scheduled,401875094
Atalanta,리그,ita.1,2027-04-11,A,Cagliari,0,0,0-0,,scheduled,401875114
Atalanta,리그,ita.1,2027-04-18,H,Udinese,0,0,0-0,,scheduled,401875096
Atalanta,리그,ita.1,2027-04-25,A,Parma,0,0,0-0,,scheduled,401875124
Atalanta,리그,ita.1,2027-05-02,H,Juventus,0,0,0-0,,scheduled,401875085
Atalanta,리그,ita.1,2027-05-09,A,Frosinone,0,0,0-0,,scheduled,401874875
Atalanta,리그,ita.1,2027-05-16,A,Como,0,0,0-0,,scheduled,401875130
Atalanta,리그,ita.1,2027-05-23,H,Lecce,0,0,0-0,,scheduled,401875134
Atalanta,리그,ita.1,2027-05-30,A,Napoli,0,0,0-0,,scheduled,401874850
Bologna,리그,ita.1,2026-08-24,H,Lazio,0,0,0-0,,scheduled,401874927
Bologna,리그,ita.1,2026-08-31,A,Atalanta,0,0,0-0,,scheduled,401874970
Bologna,리그,ita.1,2026-09-06,H,Sassuolo,0,0,0-0,,scheduled,401874751
Bologna,리그,ita.1,2026-09-13,A,Napoli,0,0,0-0,,scheduled,401874792
Bologna,리그,ita.1,2026-09-19,H,Torino,0,0,0-0,,scheduled,401874767
Bologna,리그,ita.1,2026-10-11,A,Lecce,0,0,0-0,,scheduled,401874776
Bologna,리그,ita.1,2026-10-17,H,Inter,0,0,0-0,,scheduled,401874953
Bologna,리그,ita.1,2026-10-25,A,Cagliari,0,0,0-0,,scheduled,401874958
Bologna,리그,ita.1,2026-10-28,A,Milan,0,0,0-0,,scheduled,401874993
Bologna,리그,ita.1,2026-11-01,H,Monza,0,0,0-0,,scheduled,401874798
Bologna,리그,ita.1,2026-11-08,A,Parma,0,0,0-0,,scheduled,401874974
Bologna,리그,ita.1,2026-11-22,H,Udinese,0,0,0-0,,scheduled,401875047
Bologna,리그,ita.1,2026-11-29,A,Venezia,0,0,0-0,,scheduled,401875004
Bologna,리그,ita.1,2026-12-06,H,Roma,0,0,0-0,,scheduled,401874984
Bologna,리그,ita.1,2026-12-13,A,Como,0,0,0-0,,scheduled,401874821
Bologna,리그,ita.1,2026-12-20,A,Fiorentina,0,0,0-0,,scheduled,401874836
Bologna,리그,ita.1,2027-01-03,H,Juventus,0,0,0-0,,scheduled,401875000
