rank,squad,played,won,drawn,lost,gf,ga,gd,points
1,Club Brugge,40,28,4,8,91,45,46,88
2,Union SG,40,25,11,4,66,27,39,86
3,Sint-Truiden,40,22,5,13,61,46,15,71
4,Genk,40,15,14,11,57,53,4,59
5,Standard Liège,40,16,9,15,44,46,-2,57
6,Anderlecht,40,15,10,15,59,62,-3,55
7,Westerlo,40,14,10,16,50,57,-7,52
8,Charleroi,40,14,9,17,50,50,0,51
9,Gent,40,13,12,15,53,57,-4,51
10,Mechelen,40,13,12,15,48,61,-13,51
11,Zulte Waregem,36,13,9,14,53,53,0,48
12,Antwerp,40,13,9,18,43,48,-5,48
13,Cercle Brugge,36,10,11,15,53,58,-5,41
14,OH Leuven,40,10,10,20,41,60,-19,40
15,La Louvière,36,7,13,16,35,50,-15,34
16,Dender,36,5,10,21,31,62,-31,25
