rank,squad,played,won,drawn,lost,gf,ga,gd,points
1,Bayern Munich,34,28,5,1,122,36,86,89
2,Dortmund,34,22,7,5,70,34,36,73
3,RB Leipzig,34,20,5,9,66,47,19,65
4,Stuttgart,34,18,8,8,71,49,22,62
5,Hoffenheim,34,18,7,9,65,52,13,61
6,Leverkusen,34,17,8,9,68,47,21,59
7,Freiburg,34,13,8,13,51,57,-6,47
8,Frankfurt,34,11,11,12,61,65,-4,44
9,Augsburg,34,12,7,15,45,61,-16,43
10,Mainz 05,34,10,10,14,44,53,-9,40
11,Union Berlin,34,10,9,15,44,58,-14,39
12,Gladbach,34,9,11,14,42,53,-11,38
13,Hamburger SV,34,9,11,14,40,54,-14,38
14,Köln,34,7,11,16,49,63,-14,32
15,Werder Bremen,34,8,8,18,37,60,-23,32
16,Wolfsburg,34,7,8,19,45,69,-24,29
17,Heidenheim,34,6,8,20,41,72,-31,26
18,St Pauli,34,6,8,20,29,60,-31,26
