rank,squad,played,won,drawn,lost,gf,ga,gd,points
1,Porto,34,28,4,2,66,18,48,88
2,Sporting CP,34,25,7,2,89,24,65,82
3,Benfica,34,23,11,0,74,25,49,80
4,Braga,34,16,11,7,64,36,28,59
5,Famalicão,34,15,11,8,42,29,13,56
6,Gil Vicente FC,34,13,11,10,47,38,9,50
7,Moreirense,34,12,7,15,37,49,-12,43
8,Vit. Guimarães,34,12,6,16,39,51,-12,42
9,Arouca,34,12,6,16,47,64,-17,42
10,Estoril,34,10,9,15,54,57,-3,39
11,Alverca,34,10,9,15,35,52,-17,39
12,Santa Clara,34,9,9,16,32,41,-9,36
13,Rio Ave,34,8,12,14,35,57,-22,36
14,Nacional,34,9,7,18,37,45,-8,34
15,Estrela,34,6,12,16,38,56,-18,30
16,Casa Pia,34,6,12,16,31,57,-26,30
17,Tondela,34,6,10,18,27,55,-28,28
18,AVS Futebol,34,3,12,19,27,67,-40,21
