squad,player,penalties_taken,home,away,scored,missed,saved
Brentford,Igor Thiago,9,5,4,8,0,1
Manchester Utd,Bruno Fernandes,6,2,4,4,1,1
Chelsea,Cole Palmer,6,4,2,5,0,1
Leeds United,Dominic Calvert-Lewin,5,2,3,4,1,0
Fulham,Raul Jimenez,5,3,2,5,0,0
Crystal Palace,Jean Philippe Mateta,4,3,1,4,0,0
Sunderland,Enzo Le Fee,4,3,1,3,0,1
Manchester City,Erling Haaland,4,2,2,3,0,1
Arsenal,Viktor Gyokeres,3,2,1,3,0,0
Leeds United,Lukas Nmecha,3,1,2,2,0,1
Crystal Palace,Ismaila Sarr,3,0,3,3,0,0
Newcastle United,Anthony Gordon,3,3,0,3,0,0
Brighton,Danny Welbeck,3,0,3,1,1,1
Bournemouth,Antoine Semenyo,2,1,1,1,0,1
Burnley,Zian Flemming,2,0,2,2,0,0
West Ham United,Lucas Paqueta,2,1,1,2,0,0
Newcastle United,Bruno Guimaraes,2,2,0,2,0,0
Bournemouth,Eli Junior Kroupi,2,2,0,2,0,0
Bournemouth,Marcus Tavernier,2,1,1,2,0,0
Chelsea,Enzo Fernandez,2,1,1,2,0,0
Wolves,Jorgen Strand Larsen,2,2,0,1,0,1
Everton,Iliman Ndiaye,2,2,0,2,0,0
Sunderland,Habib Diarra,1,0,1,1,0,0
Wolves,Toluwalase Arokodare,1,0,1,0,0,1
Brighton,James Milner,1,1,0,1,0,0
Arsenal,Bukayo Saka,1,1,0,1,0,0
Nottingham Forest,Igor Jesus,1,0,1,1,0,0
Wolves,Adam Armstrong,1,0,1,1,0,0
Fulham,Antonee Robinson,1,0,1,1,0,0
West Ham United,Jarrod Bowen,1,1,0,1,0,0
Liverpool,Dominik Szoboszlai,1,1,0,0,1,0
Liverpool,Mohamed Salah,1,0,1,1,0,0
Crystal Palace,Justin Devenny,1,0,1,1,0,0
Brentford,Kevin Schade,1,0,1,0,0,1
Newcastle United,Nick Woltemade,1,1,0,1,0,0
Wolves,Hee-Chan Hwang,1,1,0,1,0,0
Brighton,Matt O'Riley,1,1,0,1,0,0
Nottingham Forest,Morgan Gibbs-White,1,0,1,1,0,0
Nottingham Forest,Elliot Anderson,1,1,0,1,0,0
