squad,player,penalties_taken,home,away,scored,missed,saved
Real Madrid,Kylian Mbappe,9,6,3,8,0,1
Mallorca,Vedat Muriqi,6,5,1,5,0,1
Real Madrid,Vinicius Junior,4,4,0,3,0,1
Osasuna,Ante Budimir,4,3,1,3,0,1
Real Sociedad,Mikel Oyarzabal,4,2,2,4,0,0
Girona FC,Cristhian Stuani,4,2,2,3,0,1
CD Alaves,Carlos Vicente,3,3,0,3,0,0
Barcelona,Robert Lewandowski,3,1,2,1,2,0
Valencia,Pepelu,3,1,2,1,1,1
Girona FC,Vladslav Vanat,3,0,3,3,0,0
Barcelona,Lamine Yamal,3,0,3,2,1,0
Atletico Madrid,Julian Alvarez,3,2,1,2,0,1
Celta Vigo,Borja Iglesias,3,3,0,3,0,0
Rayo Vallecano,Isi Palazon,2,1,1,2,0,0
Villarreal,Gerard no,2,0,2,2,0,0
Athletic Club,Nico Williams,2,1,1,1,0,1
Athletic Club,Oihan Sancet,2,1,1,2,0,0
Espanyol,Javi Puado,2,1,1,1,0,1
Sevilla,Akor Adams,2,1,1,2,0,0
Getafe,Mauro Arambarri,1,0,1,1,0,0
Sevilla,Isaac Romero,1,1,0,0,0,1
Getafe,Borja Mayoral,1,0,1,0,1,0
Barcelona,Raphinha,1,0,1,1,0,0
Levante,Adrian de la Fuente,1,1,0,1,0,0
Valencia,Largie Ramazani,1,1,0,1,0,0
Celta Vigo,Marcos Alonso,1,0,1,1,0,0
Real Sociedad,Brais Mendez,1,1,0,1,0,0
Real Betis,Chimy Avila,1,1,0,1,0,0
Celta Vigo,Bryan Zaragoza,1,1,0,1,0,0
Oviedo,Federico Vinas,1,0,1,1,0,0
Elche,Rafa Mir,1,1,0,0,0,1
Valencia,Arnaut Danjuma,1,1,0,0,0,1
Espanyol,Kike,1,1,0,1,0,0
Levante,Jose Luis Morales,1,1,0,1,0,0
Oviedo,Salomon Rondon,1,0,1,0,0,1
Athletic Club,Inaki Williams,1,1,0,1,0,0
Sevilla,Alexis Sanchez,1,1,0,1,0,0
CD Alaves,Lucas Boye,1,1,0,1,0,0
Real Betis,Cucho Hernandez,1,1,0,1,0,0
Celta Vigo,Iago Aspas,1,0,1,1,0,0
Sevilla,Ruben Vargas,1,1,0,1,0,0
Levante,Etta Eyong,1,1,0,0,1,0
Espanyol,Roberto Fernandez,1,1,0,1,0,0
