squad,goals_statbunker,open_play_goals,cross_goals,free_kick_goals,direct_free_kick_goals,throw_in_goals,penalty_goals_type,corner_goals,other_goals,penalties_for,penalties_for_home,penalties_for_away,penalties_scored_for,penalties_missed_for,penalties_saved_for,penalties_against,penalties_against_home,penalties_against_away,penalties_scored_against,penalties_missed_against,penalties_saved_against,matches_statbunker,yellow_cards,second_yellow_reds,red_cards,yellow_cards_per_match,first_half_yellows,second_half_yellows,home_yellows,away_yellows,wins_with_cards,draws_with_cards,losses_with_cards,non_penalty_set_piece_goals,dead_ball_goals_including_pens
Athletic Club,28,18,2,2,0,0,4,2,0,5,3,2,4,0,1,3,0,3,2,0,1,25,53,1,5,2.12,19,34,25,28,9,4,12,4,8
Atletico Madrid,34,21,6,1,2,0,2,2,0,3,2,1,2,0,1,2,0,2,1,1,0,24,44,1,1,1.83,17,27,23,21,13,6,5,5,7
Barcelona,71,50,7,0,0,0,4,10,0,7,1,6,4,3,0,4,0,4,3,0,1,27,38,2,0,1.41,13,25,12,26,21,1,5,10,14
CD Alaves,19,8,1,2,1,0,4,3,0,4,4,0,4,0,0,3,2,1,3,0,0,23,50,2,0,2.17,19,31,22,28,7,4,12,6,10
Celta Vigo,32,21,0,0,0,0,6,5,0,6,4,2,6,0,0,8,3,5,3,2,3,24,45,1,0,1.88,11,34,21,24,8,10,6,5,11
Elche,30,27,1,0,1,0,0,1,0,1,1,0,0,0,1,4,2,2,4,0,0,24,48,2,2,2.0,16,32,25,23,5,10,9,2,2
Espanyol,28,11,6,3,0,0,3,5,0,4,3,1,3,0,1,4,3,1,4,0,0,24,48,1,1,2.0,15,33,28,20,10,5,9,8,11
Getafe,18,7,2,4,0,0,1,4,0,2,0,2,1,1,0,1,1,0,1,0,0,23,59,1,2,2.57,25,34,26,33,7,5,11,8,9
Girona FC,24,13,3,1,0,0,6,1,0,7,2,5,6,0,1,6,4,2,5,1,0,24,52,2,5,2.17,10,42,23,29,7,8,9,2,8
Levante,26,13,3,2,1,0,2,5,0,3,3,0,2,1,0,3,1,2,2,0,1,24,52,1,2,2.17,18,34,25,27,4,6,14,8,10
Mallorca,29,15,7,1,0,0,5,1,0,6,5,1,5,0,1,5,2,3,4,0,1,24,49,2,1,2.04,23,26,25,24,6,6,12,2,7
Osasuna,27,9,5,4,2,0,3,4,0,4,3,1,3,0,1,5,1,4,5,0,0,24,58,1,3,2.42,17,41,24,34,8,6,10,10,13
Oviedo,13,8,0,0,0,0,1,4,0,2,0,2,1,0,1,4,1,3,3,0,1,23,48,4,4,2.09,15,33,23,25,3,7,13,4,5
Rayo Vallecano,21,13,1,0,0,0,2,5,0,2,1,1,2,0,0,5,1,4,5,0,0,23,62,2,5,2.7,20,42,24,38,6,7,10,5,7
Real Betis,38,27,4,2,0,0,2,3,0,2,2,0,2,0,0,4,3,1,1,1,2,24,43,0,1,1.79,13,30,18,25,11,8,5,5,7
Real Madrid,57,35,2,4,0,0,11,5,0,13,10,3,11,0,2,3,1,2,3,0,0,25,40,1,3,1.6,12,28,26,14,20,3,2,9,20
Real Sociedad,34,23,2,0,1,0,5,3,0,5,3,2,5,0,0,5,1,4,5,0,0,24,49,0,3,2.04,22,27,22,27,8,7,9,4,9
Sevilla,27,20,2,1,0,0,4,0,0,5,4,1,4,0,1,9,3,6,7,1,1,23,69,1,1,3.0,17,52,36,33,7,4,12,1,5
Valencia,28,17,4,0,0,0,2,5,0,5,3,2,2,1,2,5,1,4,4,0,1,25,49,0,2,1.96,9,40,25,24,7,8,10,5,7
Villarreal,43,36,1,0,0,0,2,4,0,2,0,2,2,0,0,5,4,1,4,0,1,23,52,1,2,2.26,16,36,19,33,14,3,6,4,6
