squad,goals_statbunker,open_play_goals,cross_goals,free_kick_goals,direct_free_kick_goals,throw_in_goals,penalty_goals_type,corner_goals,other_goals,penalties_for,penalties_for_home,penalties_for_away,penalties_scored_for,penalties_missed_for,penalties_saved_for,matches_statbunker,yellow_cards,second_yellow_reds,red_cards,yellow_cards_per_match,first_half_yellows,second_half_yellows,home_yellows,away_yellows,wins_with_cards,draws_with_cards,losses_with_cards,non_penalty_set_piece_goals,dead_ball_goals_including_pens,penalties_against,penalties_against_home,penalties_against_away,penalties_scored_against,penalties_missed_against,penalties_saved_against
Atalanta,8,6,0,0,0,0,1,1,0,1,1,0,1,0,0,4,4,0,0,1.0,1,3,2,2,2,2,0,1,2,,,,,,
Bologna,2,1,0,1,0,0,0,0,0,,,,,,,3,5,0,1,1.67,0,5,0,5,0,0,3,1,1,,,,,,
Cagliari,2,2,0,0,0,0,0,0,0,,,,,,,2,4,0,0,2.0,1,3,2,2,0,1,1,0,0,,,,,,
Como,11,8,0,0,0,0,2,1,0,2,1,1,2,0,0,3,4,0,0,1.33,2,2,2,2,3,0,0,1,3,1,0,1,0,0,1
Cremonese,2,2,0,0,0,0,0,0,0,,,,,,,4,8,0,0,2.0,3,5,4,4,0,1,3,0,0,,,,,,
Fiorentina,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,5,0,0,5.0,2,3,0,5,0,1,0,0,1,1,0,1,1,0,0
Genoa,5,3,0,1,1,0,0,0,0,1,0,1,0,1,0,3,4,0,0,1.33,0,4,2,2,1,1,1,2,2,,,,,,
Hellas Verona,3,1,1,0,0,0,1,0,0,1,0,1,1,0,0,3,6,0,0,2.0,2,4,2,4,0,1,2,0,1,1,0,1,1,0,0
Inter,10,4,2,0,0,0,1,3,0,1,1,0,1,0,0,3,6,0,0,2.0,3,3,5,1,3,0,0,3,4,,,,,,
Juventus,3,3,0,0,0,0,0,0,0,,,,,,,1,1,0,0,1.0,0,1,1,0,1,0,0,0,0,,,,,,
Lazio,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,2,3,0,0,1.5,1,2,3,0,0,2,0,0,1,1,1,0,1,0,0
Lecce,,,,,,,,,,1,1,0,0,0,1,1,2,0,0,2.0,0,2,2,0,0,0,1,0,0,,,,,,
Milan,7,1,1,0,0,0,1,4,0,1,1,0,1,0,0,5,12,0,0,2.4,1,11,4,8,2,3,0,4,5,2,1,1,1,1,0
Napoli,5,2,1,1,0,0,0,1,0,,,,,,,6,6,0,0,1.0,4,2,1,5,2,3,1,2,2,2,1,1,1,0,1
Parma,,,,,,,,,,,,,,,,2,3,0,0,1.5,0,3,0,3,0,1,1,0,0,1,0,1,1,0,0
Pisa,4,1,2,0,0,0,0,1,0,1,1,0,0,0,1,4,10,0,0,2.5,3,7,7,3,1,1,2,1,1,2,1,1,2,0,0
Roma,4,3,0,0,0,0,1,0,0,1,1,0,1,0,0,3,0,0,0,0.0,0,0,0,0,1,2,0,0,1,,,,,,
Sassuolo,1,1,0,0,0,0,0,0,0,,,,,,,2,2,0,0,1.0,1,1,1,1,1,0,1,0,0,,,,,,
Torino,,,,,,,,,,,,,,,,2,1,0,0,0.5,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
Udinese,3,2,0,1,0,0,0,0,0,,,,,,,2,0,0,0,0.0,0,0,0,0,1,0,1,1,1,,,,,,
