squad,league_played,league_games_sched,euro_games,domestic_cup_games,other_games,extra_games,total_fl,total_games_approx
Arsenal,38,38,15,7,0,22,68,60
Aston Villa,38,38,15,5,0,20,59,58
Bournemouth,38,38,0,1,0,1,40,39
Brentford,38,38,0,3,0,3,45,41
Brighton,38,38,0,5,0,5,50,43
Burnley,38,38,0,2,0,2,46,40
Chelsea,38,38,13,9,0,22,66,60
Crystal Palace,38,38,0,4,0,4,63,42
Everton,38,38,0,4,0,4,48,42
Fulham,38,38,0,6,0,6,52,44
Leeds United,38,38,0,8,0,8,51,46
Liverpool,38,38,12,7,0,19,60,57
Manchester City,38,38,10,9,0,19,63,57
Manchester Utd,38,38,0,4,0,4,48,42
Newcastle United,38,38,12,6,0,18,65,56
Nottingham Forest,38,38,16,4,0,20,64,58
Sunderland,38,38,0,3,0,3,46,41
Tottenham Hotspur,38,38,10,4,0,14,56,52
West Ham United,38,38,0,9,0,9,55,47
Wolves,38,38,0,6,0,6,51,44
