squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Arsenal,38,71,27,1.868421052631579,0.7105263157894737,1.0,0.8800000000000001
Manchester City,38,77,35,2.026315789473684,0.9210526315789473,0.8333333333333334,1.0
Brighton,38,52,46,1.368421052631579,1.2105263157894737,0.6041666666666666,0.5000000000000001
Sunderland,38,42,48,1.105263157894737,1.263157894736842,0.5625,0.3000000000000001
Aston Villa,38,56,49,1.4736842105263157,1.2894736842105263,0.5416666666666666,0.58
Manchester Utd,38,69,50,1.8157894736842106,1.3157894736842106,0.5208333333333333,0.8400000000000002
Everton,38,47,50,1.236842105263158,1.3157894736842106,0.5208333333333333,0.4000000000000001
Fulham,38,47,51,1.236842105263158,1.3421052631578947,0.5,0.4000000000000001
Crystal Palace,38,41,51,1.0789473684210527,1.3421052631578947,0.5,0.28
Nottingham Forest,38,48,51,1.263157894736842,1.3421052631578947,0.5,0.42
Brentford,38,55,52,1.4473684210526316,1.368421052631579,0.4791666666666666,0.56
Chelsea,38,58,52,1.5263157894736843,1.368421052631579,0.4791666666666666,0.6200000000000001
Liverpool,38,63,53,1.6578947368421053,1.394736842105263,0.45833333333333337,0.7200000000000001
Bournemouth,38,58,54,1.5263157894736843,1.4210526315789473,0.4375,0.6200000000000001
Newcastle United,38,53,55,1.394736842105263,1.4473684210526316,0.4166666666666666,0.52
Leeds United,38,49,56,1.2894736842105263,1.4736842105263157,0.39583333333333337,0.44000000000000006
Tottenham Hotspur,38,48,57,1.263157894736842,1.5,0.37499999999999994,0.42
West Ham United,38,46,65,1.2105263157894737,1.7105263157894737,0.2083333333333333,0.38000000000000006
Wolves,38,27,68,0.7105263157894737,1.7894736842105263,0.14583333333333326,0.0
Burnley,38,38,75,1.0,1.9736842105263157,0.0,0.22000000000000003
