squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Union SG,40,66,27,1.65,0.675,1.0,0.5579567779960707
Club Brugge,40,91,45,2.275,1.125,0.570291777188329,1.0
Sint-Truiden,40,61,46,1.525,1.15,0.5464190981432362,0.4695481335952848
Standard Liège,40,44,46,1.1,1.15,0.5464190981432362,0.168958742632613
Antwerp,40,43,48,1.075,1.2,0.4986737400530505,0.15127701375245575
Charleroi,40,50,50,1.25,1.25,0.4509283819628648,0.27504911591355596
La Louvière,36,35,50,0.9722222222222222,1.3888888888888888,0.3183023872679046,0.0785854616895874
Genk,40,57,53,1.425,1.325,0.3793103448275863,0.3988212180746562
Zulte Waregem,36,53,53,1.4722222222222223,1.4722222222222223,0.23872679045092837,0.4322200392927309
Westerlo,40,50,57,1.25,1.425,0.2838196286472149,0.27504911591355596
Gent,40,53,57,1.325,1.425,0.2838196286472149,0.3280943025540275
Cercle Brugge,36,53,58,1.4722222222222223,1.6111111111111112,0.10610079575596822,0.4322200392927309
OH Leuven,40,41,60,1.025,1.5,0.21220159151193643,0.11591355599214137
Mechelen,40,48,61,1.2,1.525,0.18832891246684366,0.2396856581532416
Anderlecht,40,59,62,1.475,1.55,0.1644562334217507,0.4341846758349706
Dender,36,31,62,0.8611111111111112,1.7222222222222223,0.0,0.0
