squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Dortmund,34,70,34,2.0588235294117645,1.0,1.0,0.4408602150537633
Bayern Munich,34,122,36,3.588235294117647,1.0588235294117647,0.9473684210526315,1.0
RB Leipzig,34,66,47,1.9411764705882353,1.3823529411764706,0.6578947368421053,0.39784946236559143
Leverkusen,34,68,47,2.0,1.3823529411764706,0.6578947368421053,0.4193548387096774
Stuttgart,34,71,49,2.088235294117647,1.4411764705882353,0.6052631578947368,0.45161290322580644
Hoffenheim,34,65,52,1.911764705882353,1.5294117647058822,0.5263157894736843,0.3870967741935485
Gladbach,34,42,53,1.2352941176470589,1.5588235294117647,0.5,0.13978494623655915
Mainz 05,34,44,53,1.2941176470588236,1.5588235294117647,0.5,0.16129032258064518
Hamburger SV,34,40,54,1.1764705882352942,1.588235294117647,0.4736842105263159,0.11827956989247314
Freiburg,34,51,57,1.5,1.6764705882352942,0.39473684210526316,0.23655913978494625
Union Berlin,34,44,58,1.2941176470588236,1.7058823529411764,0.36842105263157904,0.16129032258064518
Werder Bremen,34,37,60,1.088235294117647,1.7647058823529411,0.31578947368421056,0.08602150537634407
St Pauli,34,29,60,0.8529411764705882,1.7647058823529411,0.31578947368421056,0.0
Augsburg,34,45,61,1.3235294117647058,1.7941176470588236,0.28947368421052627,0.17204301075268816
Köln,34,49,63,1.4411764705882353,1.8529411764705883,0.23684210526315785,0.21505376344086022
Frankfurt,34,61,65,1.7941176470588236,1.911764705882353,0.1842105263157894,0.34408602150537637
Wolfsburg,34,45,69,1.3235294117647058,2.0294117647058822,0.07894736842105275,0.17204301075268816
Heidenheim,34,41,72,1.2058823529411764,2.1176470588235294,0.0,0.12903225806451613
