squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Twente,34,59,40,1.7352941176470589,1.1764705882352942,1.0,0.3636363636363637
Ajax,34,62,41,1.8235294117647058,1.2058823529411764,0.9777777777777779,0.40909090909090906
Utrecht,34,55,42,1.6176470588235294,1.2352941176470589,0.9555555555555555,0.30303030303030304
Feyenoord,34,70,44,2.0588235294117645,1.2941176470588236,0.9111111111111111,0.5303030303030302
PSV,34,101,45,2.9705882352941178,1.3235294117647058,0.888888888888889,1.0
Groningen,34,49,45,1.4411764705882353,1.3235294117647058,0.888888888888889,0.21212121212121215
AZ Alkmaar,34,58,51,1.7058823529411764,1.5,0.7555555555555555,0.34848484848484845
NEC Nijmegen,34,77,53,2.264705882352941,1.5588235294117647,0.7111111111111111,0.6363636363636364
Heerenveen,34,57,53,1.6764705882352942,1.5588235294117647,0.7111111111111111,0.33333333333333337
Go Ahead Eagles,34,54,53,1.588235294117647,1.5588235294117647,0.7111111111111111,0.28787878787878785
Volendam,34,35,55,1.0294117647058822,1.6176470588235294,0.6666666666666666,0.0
Telstar,34,49,55,1.4411764705882353,1.6176470588235294,0.6666666666666666,0.21212121212121215
Excelsior,34,43,56,1.2647058823529411,1.6470588235294117,0.6444444444444445,0.12121212121212123
NAC Breda,34,35,58,1.0294117647058822,1.7058823529411764,0.6000000000000001,0.0
Sparta R.,34,40,62,1.1764705882352942,1.8235294117647058,0.5111111111111112,0.07575757575757583
Fortuna Sittard,34,49,63,1.4411764705882353,1.8529411764705883,0.4888888888888888,0.21212121212121215
Zwolle,34,44,71,1.2941176470588236,2.088235294117647,0.311111111111111,0.13636363636363644
Heracles Almelo,34,35,85,1.0294117647058822,2.5,0.0,0.0
