squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Real Madrid,38,77,35,2.026315789473684,0.9210526315789473,1.0,0.7391304347826086
Barcelona,38,95,36,2.5,0.9473684210526315,0.9615384615384616,1.0
Getafe,38,32,38,0.8421052631578947,1.0,0.8846153846153846,0.08695652173913039
Atlético Madrid,38,62,44,1.631578947368421,1.1578947368421053,0.6538461538461539,0.5217391304347826
Rayo Vallecano,38,41,44,1.0789473684210527,1.1578947368421053,0.6538461538461539,0.21739130434782608
Villarreal,38,72,46,1.894736842105263,1.2105263157894737,0.576923076923077,0.6666666666666665
Celta Vigo,38,53,48,1.394736842105263,1.263157894736842,0.5000000000000001,0.39130434782608686
Real Betis,38,59,48,1.5526315789473684,1.263157894736842,0.5000000000000001,0.47826086956521735
Osasuna,38,44,50,1.1578947368421053,1.3157894736842106,0.423076923076923,0.2608695652173913
Valencia,38,46,55,1.2105263157894737,1.4473684210526316,0.23076923076923078,0.28985507246376807
Espanyol,38,43,55,1.131578947368421,1.4473684210526316,0.23076923076923078,0.24637681159420285
Girona,38,39,55,1.0263157894736843,1.4473684210526316,0.23076923076923078,0.1884057971014493
Alavés,38,44,56,1.1578947368421053,1.4736842105263157,0.19230769230769254,0.2608695652173913
Elche,38,49,57,1.2894736842105263,1.5,0.15384615384615397,0.3333333333333333
Mallorca,38,47,57,1.236842105263158,1.5,0.15384615384615397,0.30434782608695654
Athletic Club,38,43,58,1.131578947368421,1.5263157894736843,0.11538461538461539,0.24637681159420285
Oviedo,38,26,60,0.6842105263157895,1.5789473684210527,0.038461538461538575,0.0
Sevilla,38,46,60,1.2105263157894737,1.5789473684210527,0.038461538461538575,0.28985507246376807
Real Sociedad,38,59,61,1.5526315789473684,1.605263157894737,0.0,0.47826086956521735
Levante,38,47,61,1.236842105263158,1.605263157894737,0.0,0.30434782608695654
