squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Porto,34,66,18,1.9411764705882353,0.5294117647058824,1.0,0.629032258064516
Sporting CP,34,89,24,2.6176470588235294,0.7058823529411765,0.8775510204081631,1.0
Benfica,34,74,25,2.176470588235294,0.7352941176470589,0.8571428571428571,0.7580645161290321
Famalicão,34,42,29,1.2352941176470589,0.8529411764705882,0.7755102040816325,0.24193548387096778
Braga,34,64,36,1.8823529411764706,1.0588235294117647,0.6326530612244897,0.5967741935483871
Gil Vicente FC,34,47,38,1.3823529411764706,1.1176470588235294,0.5918367346938775,0.3225806451612903
Santa Clara,34,32,41,0.9411764705882353,1.2058823529411764,0.5306122448979592,0.08064516129032259
Nacional,34,37,45,1.088235294117647,1.3235294117647058,0.44897959183673475,0.16129032258064513
Moreirense,34,37,49,1.088235294117647,1.4411764705882353,0.3673469387755102,0.16129032258064513
Vit. Guimarães,34,39,51,1.1470588235294117,1.5,0.326530612244898,0.19354838709677416
Alverca,34,35,52,1.0294117647058822,1.5294117647058822,0.30612244897959195,0.1290322580645161
Tondela,34,27,55,0.7941176470588235,1.6176470588235294,0.2448979591836735,0.0
Estrela,34,38,56,1.1176470588235294,1.6470588235294117,0.22448979591836743,0.1774193548387097
Rio Ave,34,35,57,1.0294117647058822,1.6764705882352942,0.20408163265306123,0.1290322580645161
Casa Pia,34,31,57,0.9117647058823529,1.6764705882352942,0.20408163265306123,0.06451612903225808
Estoril,34,54,57,1.588235294117647,1.6764705882352942,0.20408163265306123,0.4354838709677419
Arouca,34,47,64,1.3823529411764706,1.8823529411764706,0.06122448979591845,0.3225806451612903
AVS Futebol,34,27,67,0.7941176470588235,1.9705882352941178,0.0,0.0
