squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
PSG,34,74,29,2.176470588235294,0.8529411764705882,1.0,1.0
Lens,34,66,35,1.9411764705882353,1.0294117647058822,0.872340425531915,0.8222222222222225
Lille,34,52,37,1.5294117647058822,1.088235294117647,0.8297872340425533,0.5111111111111112
Lyon,34,53,40,1.5588235294117647,1.1764705882352942,0.7659574468085106,0.5333333333333334
Le Havre,34,32,44,0.9411764705882353,1.2941176470588236,0.6808510638297872,0.0666666666666667
Auxerre,34,34,44,1.0,1.2941176470588236,0.6808510638297872,0.11111111111111116
Marseille,34,63,45,1.8529411764705883,1.3235294117647058,0.6595744680851064,0.7555555555555558
Toulouse,34,47,46,1.3823529411764706,1.3529411764705883,0.6382978723404256,0.4000000000000001
Strasbourg,34,58,47,1.7058823529411764,1.3823529411764706,0.6170212765957448,0.6444444444444446
Angers,34,29,48,0.8529411764705882,1.411764705882353,0.5957446808510638,0.0
Paris FC,34,47,50,1.3823529411764706,1.4705882352941178,0.5531914893617021,0.4000000000000001
Rennes,34,59,50,1.7352941176470589,1.4705882352941178,0.5531914893617021,0.6666666666666669
Lorient,34,48,51,1.411764705882353,1.5,0.5319148936170214,0.4222222222222224
Nantes,34,29,52,0.8529411764705882,1.5294117647058822,0.5106382978723405,0.0
Monaco,34,60,54,1.7647058823529411,1.588235294117647,0.46808510638297884,0.688888888888889
Brest,34,43,55,1.2647058823529411,1.6176470588235294,0.4468085106382979,0.31111111111111117
Nice,34,37,60,1.088235294117647,1.7647058823529411,0.3404255319148937,0.17777777777777776
Metz,34,32,76,0.9411764705882353,2.235294117647059,0.0,0.0666666666666667
