squad,games_played,goals_for,goals_against,goals_for_per_game,goals_against_per_game,defense_score,attack_score
Como,38,65,29,1.7105263157894737,0.7631578947368421,1.0,0.625
Roma,38,59,31,1.5526315789473684,0.8157894736842105,0.9523809523809527,0.53125
Juventus,38,61,34,1.605263157894737,0.8947368421052632,0.880952380952381,0.5625000000000001
Inter,38,89,35,2.3421052631578947,0.9210526315789473,0.8571428571428573,1.0
Milan,38,53,35,1.394736842105263,0.9210526315789473,0.8571428571428573,0.43749999999999994
Napoli,38,58,36,1.5263157894736843,0.9473684210526315,0.8333333333333335,0.515625
Atalanta,38,51,36,1.3421052631578947,0.9473684210526315,0.8333333333333335,0.40624999999999994
Lazio,38,41,40,1.0789473684210527,1.0526315789473684,0.7380952380952382,0.25
Bologna,38,49,46,1.2894736842105263,1.2105263157894737,0.5952380952380953,0.375
Parma,38,28,46,0.7368421052631579,1.2105263157894737,0.5952380952380953,0.04687499999999995
Udinese,38,45,48,1.1842105263157894,1.263157894736842,0.5476190476190478,0.31249999999999994
Sassuolo,38,46,50,1.2105263157894737,1.3157894736842106,0.5,0.328125
Fiorentina,38,41,50,1.0789473684210527,1.3157894736842106,0.5,0.25
Lecce,38,28,50,0.7368421052631579,1.3157894736842106,0.5,0.04687499999999995
Genoa,38,41,51,1.0789473684210527,1.3421052631578947,0.47619047619047633,0.25
Cagliari,38,40,53,1.0526315789473684,1.394736842105263,0.42857142857142877,0.23437499999999994
Cremonese,38,32,57,0.8421052631578947,1.5,0.3333333333333334,0.10937499999999994
Hellas Verona,38,25,61,0.6578947368421053,1.605263157894737,0.23809523809523805,0.0
Torino,38,44,63,1.1578947368421053,1.6578947368421053,0.1904761904761905,0.296875
Pisa,38,26,71,0.6842105263157895,1.868421052631579,0.0,0.015624999999999983
