team,season,image_url,primary,secondary,accent,pattern,source_url,checked_at
Arsenal,2025/26,,#EF0107,#FFFFFF,#EF0107,sleeves,https://www.footballkitarchive.com/arsenal-2025-26-home-kit/,2026-06-19
Aston Villa,2025/26,,#670E36,#95BFE5,#F7D117,sleeves,https://www.footballkitarchive.com/aston-villa-2025-26-home-kit/,2026-06-19
Bournemouth,2025/26,,#DA291C,#111111,#DA291C,stripes,https://www.footballkitarchive.com/afc-bournemouth-2025-26-home-kit/,2026-06-19
Brentford,2025/26,,#E30613,#FFFFFF,#111111,stripes,https://www.footballkitarchive.com/brentford-2025-26-home-kit/,2026-06-19
Brighton,2025/26,,#0057B8,#FFFFFF,#FFD100,stripes,https://www.footballkitarchive.com/brighton-hove-albion-2025-26-home-kit/,2026-06-19
Burnley,2025/26,,#6C1D45,#99D6EA,#F6C343,sleeves,https://www.footballkitarchive.com/burnley-2025-26-home-kit/,2026-06-19
Chelsea,2025/26,,#034694,#FFFFFF,#DBA111,solid,https://www.footballkitarchive.com/chelsea-2025-26-home-kit/,2026-06-19
Crystal Palace,2025/26,,#1B458F,#C4122E,#FFFFFF,stripes,https://www.footballkitarchive.com/crystal-palace-2025-26-home-kit/,2026-06-19
Everton,2025/26,,#003399,#FFFFFF,#003399,solid,https://www.footballkitarchive.com/everton-2025-26-home-kit/,2026-06-19
Fulham,2025/26,,#FFFFFF,#111111,#D71920,sleeves,https://www.footballkitarchive.com/fulham-2025-26-home-kit/,2026-06-19
Leeds United,2025/26,,#FFFFFF,#1D428A,#FFCD00,solid,https://www.footballkitarchive.com/leeds-united-2025-26-home-kit/,2026-06-19
Liverpool,2025/26,,#C8102E,#FFFFFF,#00A398,solid,https://www.footballkitarchive.com/liverpool-2025-26-home-kit/,2026-06-19
Manchester City,2025/26,,#6CABDD,#FFFFFF,#1C2C5B,solid,https://www.footballkitarchive.com/manchester-city-2025-26-home-kit/,2026-06-19
Manchester Utd,2025/26,,#DA291C,#111111,#FBE122,solid,https://www.footballkitarchive.com/manchester-united-2025-26-home-kit/,2026-06-19
Newcastle United,2025/26,,#FFFFFF,#111111,#41B6E6,stripes,https://www.footballkitarchive.com/newcastle-united-2025-26-home-kit/,2026-06-19
Nottingham Forest,2025/26,,#DD0000,#FFFFFF,#DD0000,solid,https://www.footballkitarchive.com/nottingham-forest-2025-26-home-kit/,2026-06-19
Sunderland,2025/26,,#EB172B,#FFFFFF,#111111,stripes,https://www.footballkitarchive.com/sunderland-2025-26-home-kit/,2026-06-19
Tottenham Hotspur,2025/26,,#FFFFFF,#132257,#132257,solid,https://www.footballkitarchive.com/tottenham-hotspur-2025-26-home-kit/,2026-06-19
West Ham United,2025/26,,#7A263A,#1BB1E7,#F3C300,sleeves,https://www.footballkitarchive.com/west-ham-united-2025-26-home-kit/,2026-06-19
Wolves,2025/26,,#FDB913,#111111,#FDB913,solid,https://www.footballkitarchive.com/wolverhampton-wanderers-2025-26-home-kit/,2026-06-19
