squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Arsenal,94,83,78,83,68,51,95,36,89,49,67,83,97,24,80,99,15,7,22,60
Aston Villa,84,71,75,64,70,82,84,99,65,43,44,55,63,23,55,90,15,5,20,58
Bournemouth,68,68,71,63,60,48,51,59,60,72,85,45,40,85,27,42,0,1,1,39
Brentford,58,49,49,49,30,14,10,57,37,48,41,40,40,46,37,45,0,3,3,41
Brighton,63,62,60,67,36,33,51,44,45,65,78,71,82,56,58,43,0,5,5,43
Burnley,6,18,13,28,23,33,3,7,20,33,24,12,1,49,7,39,0,2,2,40
Chelsea,73,71,80,71,77,94,72,93,84,33,24,50,48,44,64,31,13,9,22,60
Crystal Palace,27,36,28,50,22,7,33,56,35,38,42,52,58,46,42,34,0,4,4,42
Everton,53,32,37,34,46,30,27,36,43,83,84,74,75,69,86,42,0,4,4,42
Fulham,42,38,38,46,56,79,44,68,56,8,5,52,52,43,67,53,0,6,6,44
Leeds United,22,31,29,19,44,49,52,58,17,71,69,26,20,60,8,59,0,8,8,46
Liverpool,78,88,88,93,57,58,73,28,87,30,44,50,53,30,39,73,12,7,19,57
Manchester City,99,93,99,99,91,95,43,56,99,67,87,86,95,50,88,76,10,9,19,57
Manchester Utd,89,70,84,51,78,82,85,60,72,58,49,74,73,65,89,59,0,4,4,42
Newcastle United,47,64,65,64,58,67,64,55,64,36,51,49,41,47,71,50,12,6,18,56
Nottingham Forest,32,46,40,61,68,68,36,23,71,65,62,56,53,68,56,56,16,4,20,58
Sunderland,37,22,16,28,22,20,19,63,26,18,14,58,68,27,63,44,0,3,3,41
Tottenham Hotspur,16,35,26,22,39,45,80,77,15,78,76,28,24,56,14,25,10,4,14,52
West Ham United,11,21,24,7,37,27,63,15,15,54,29,24,11,63,33,29,0,9,9,47
Wolves,1,3,1,2,18,17,16,43,2,51,25,16,6,51,15,27,0,6,6,44
