squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Anderlecht,66,67,82,58,55,56,99,0,69,52,58,27,17,49,36,99,0,0,0,0
Antwerp,40,36,32,35,47,48,92,0,24,46,34,73,75,62,74,92,0,0,0,0
Cercle Brugge,27,50,69,28,27,14,86,0,29,61,86,56,47,80,53,86,0,0,0,0
Charleroi,73,40,29,51,69,82,79,0,63,42,31,49,55,42,41,79,0,0,0,0
Club Brugge,99,98,96,99,83,99,73,0,99,18,33,79,91,26,88,73,0,0,0,0
Dender,1,16,25,14,32,28,66,0,15,90,91,20,3,69,37,66,0,0,0,0
Genk,79,78,76,87,78,81,60,0,91,48,43,50,57,48,24,60,0,0,0,0
Gent,53,63,63,64,56,60,53,0,58,49,48,40,38,47,39,53,0,0,0,0
La Louvière,8,16,19,10,20,3,47,0,2,82,72,44,46,64,29,47,0,0,0,0
Mechelen,21,26,31,24,40,33,40,0,37,43,19,22,10,48,43,40,0,0,0,0
OH Leuven,14,31,26,39,21,14,34,0,24,32,25,23,21,41,13,34,0,0,0,0
Sint-Truiden,86,70,54,80,75,84,27,0,82,59,74,69,82,55,41,27,0,0,0,0
Standard Liège,60,16,15,15,22,21,21,0,24,21,12,65,72,33,75,21,0,0,0,0
Union SG,92,88,95,80,79,79,14,0,78,70,83,93,99,65,99,14,0,0,0,0
Westerlo,47,49,49,51,56,49,8,0,55,67,66,47,42,42,73,8,0,0,0,0
Zulte Waregem,34,57,39,66,40,49,1,0,50,19,26,41,47,28,35,1,0,0,0,0
