squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Augsburg,47,64,68,65,34,20,99,0,49,60,65,42,31,53,66,99,0,0,0,0
Bayern Munich,99,96,99,95,91,99,93,0,99,57,75,82,93,53,66,93,0,0,0,0
Dortmund,93,66,80,50,71,74,87,0,70,53,68,86,99,47,71,87,0,0,0,0
Frankfurt,53,46,49,41,51,53,82,0,57,33,33,32,26,52,19,82,0,0,0,0
Freiburg,64,66,66,59,41,57,76,0,32,35,16,36,38,26,39,76,0,0,0,0
Gladbach,41,21,16,21,31,32,70,0,20,55,32,57,57,58,57,70,0,0,0,0
Hamburger SV,36,28,13,43,38,51,64,0,29,17,8,50,56,33,34,64,0,0,0,0
Heidenheim,7,17,21,9,20,22,59,0,5,37,21,14,4,46,17,59,0,0,0,0
Hoffenheim,70,65,57,76,71,76,53,0,78,63,93,70,70,52,87,53,0,0,0,0
Köln,18,39,37,33,36,39,47,0,38,13,25,24,23,33,14,47,0,0,0,0
Leverkusen,87,69,74,64,88,93,41,0,84,66,63,78,86,44,83,41,0,0,0,0
Mainz 05,59,47,43,56,59,44,36,0,59,70,62,52,50,82,40,36,0,0,0,0
RB Leipzig,76,51,63,34,80,87,30,0,56,77,72,73,83,72,34,30,0,0,0,0
St Pauli,1,2,1,8,20,1,24,0,20,67,59,36,27,66,49,24,0,0,0,0
Stuttgart,82,69,67,64,72,74,18,0,80,43,67,68,76,29,76,18,0,0,0,0
Union Berlin,24,47,53,40,12,7,13,0,14,31,30,41,36,35,70,13,0,0,0,0
Werder Bremen,30,48,43,74,54,50,7,0,68,76,75,47,37,75,57,7,0,0,0,0
Wolfsburg,13,60,49,69,32,20,1,0,45,46,34,14,5,44,20,1,0,0,0,0
