squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
AZ Alkmaar,70,71,70,72,75,82,99,0,70,73,73,61,66,66,31,99,0,0,0,0
Ajax,87,79,66,90,85,97,93,0,93,43,47,83,95,62,56,93,0,0,0,0
Excelsior,24,13,16,6,29,50,87,0,5,30,22,36,28,45,57,87,0,0,0,0
Feyenoord,93,87,85,88,85,84,82,0,87,81,87,79,82,60,85,82,0,0,0,0
Fortuna Sittard,47,54,52,54,36,22,76,0,42,61,46,28,13,72,40,76,0,0,0,0
Go Ahead Eagles,41,43,40,41,17,11,70,0,39,9,17,60,64,26,75,70,0,0,0,0
Groningen,53,48,52,52,51,59,64,0,55,46,65,57,71,26,35,64,0,0,0,0
Heerenveen,59,65,77,58,49,43,59,0,64,33,54,53,53,44,63,59,0,0,0,0
Heracles Almelo,1,26,31,26,20,20,53,0,19,28,14,9,1,22,22,53,0,0,0,0
NAC Breda,13,17,20,25,38,53,47,0,38,41,33,29,26,27,42,47,0,0,0,0
NEC Nijmegen,82,85,91,78,69,64,41,0,77,62,74,45,47,42,44,41,0,0,0,0
PSV,99,98,99,97,87,95,36,0,99,46,71,72,77,61,60,36,0,0,0,0
Sparta R.,30,35,18,44,20,8,30,0,20,44,41,40,25,63,70,30,0,0,0,0
Telstar,36,27,54,6,44,37,24,0,24,66,64,38,40,55,16,24,0,0,0,0
Twente,76,68,60,74,65,49,18,0,78,79,93,84,96,76,52,18,0,0,0,0
Utrecht,64,47,46,43,59,58,13,0,45,58,47,74,81,42,87,13,0,0,0,0
Volendam,18,16,6,30,43,51,7,0,32,35,13,37,30,53,50,7,0,0,0,0
Zwolle,7,21,17,17,31,18,1,0,13,65,37,16,7,59,14,1,0,0,0,0
