squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Alavés,27,37,44,33,33,29,42,0,36,62,30,31,28,58,20,99,0,0,0,0
Athletic Club,37,45,43,60,37,16,38,83,58,72,91,37,25,61,57,46,0,0,0,0
Atlético Madrid,89,84,81,88,80,78,37,0,87,76,73,78,85,62,63,94,0,0,0,0
Barcelona,99,96,97,95,90,95,89,85,99,58,71,86,94,45,94,84,0,0,0,0
Celta Vigo,73,57,54,57,55,65,67,51,67,18,8,61,68,11,77,59,0,0,0,0
Elche,47,46,72,29,55,67,20,31,48,33,15,48,44,59,38,56,0,0,0,0
Espanyol,42,39,22,45,18,8,83,56,24,45,36,53,51,53,55,64,0,0,0,0
Getafe,58,15,4,10,12,3,71,62,3,48,49,56,69,52,32,51,0,0,0,0
Girona,6,13,11,28,67,81,22,0,64,37,28,44,46,40,40,89,0,0,0,0
Levante,11,52,72,23,29,23,74,60,19,36,32,14,5,46,15,53,0,0,0,0
Mallorca,16,52,62,46,27,26,17,64,28,22,16,34,35,16,40,48,0,0,0,0
Osasuna,32,43,37,39,39,35,81,41,40,40,57,41,48,34,35,26,0,0,0,0
Oviedo,1,5,3,3,34,52,32,39,8,39,31,34,23,40,63,35,0,0,0,0
Rayo Vallecano,63,36,21,49,32,35,54,25,35,33,46,65,78,66,32,14,0,0,0,0
Real Betis,78,70,64,80,86,85,46,30,84,88,92,66,63,70,69,73,0,0,0,0
Real Madrid,94,94,96,95,92,97,82,91,94,79,85,85,99,47,71,66,0,0,0,0
Real Sociedad,68,70,71,76,59,54,31,49,70,46,52,25,6,55,62,39,0,0,0,0
Sevilla,22,39,40,43,39,43,8,35,37,56,51,37,25,66,49,20,0,0,0,0
Valencia,53,35,31,34,56,63,43,40,39,48,67,37,33,40,53,53,0,0,0,0
Villarreal,84,71,75,68,59,45,22,10,60,65,70,68,76,80,35,24,0,0,0,0
