squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
AVS Futebol,1,15,9,16,8,1,99,0,3,36,22,22,6,71,28,99,0,0,0,0
Alverca,41,34,32,35,50,46,93,0,37,52,27,37,31,46,53,93,0,0,0,0
Arouca,36,39,49,19,28,28,87,0,23,38,29,12,8,28,8,87,0,0,0,0
Benfica,93,91,93,89,82,77,82,0,89,70,83,81,91,57,65,82,0,0,0,0
Braga,82,55,48,62,81,91,76,0,87,40,64,62,76,17,52,76,0,0,0,0
Casa Pia,13,10,7,9,15,10,70,0,8,28,16,26,17,22,66,70,0,0,0,0
Estoril,64,76,73,79,72,74,64,0,78,74,80,31,20,57,47,64,0,0,0,0
Estrela,18,38,45,25,42,45,59,0,19,65,42,54,42,78,70,59,0,0,0,0
Famalicão,76,63,61,69,71,68,53,0,72,70,71,70,82,57,40,53,0,0,0,0
Gil Vicente FC,70,70,70,70,51,53,47,0,60,40,37,57,63,35,56,47,0,0,0,0
Moreirense,59,40,44,39,41,64,41,0,42,21,21,47,53,32,36,41,0,0,0,0
Nacional,47,56,59,57,38,26,36,0,46,61,71,65,60,75,73,36,0,0,0,0
Porto,87,87,85,86,68,72,30,0,77,57,60,90,96,70,94,30,0,0,0,0
Rio Ave,30,46,37,52,44,34,24,0,36,44,35,36,21,70,55,24,0,0,0,0
Santa Clara,24,29,23,38,34,24,18,0,37,50,52,54,63,31,43,18,0,0,0,0
Sporting CP,99,99,99,99,92,99,13,0,99,62,87,78,93,54,48,13,0,0,0,0
Tondela,7,4,9,9,27,31,7,0,28,32,37,35,34,62,14,7,0,0,0,0
Vit. Guimarães,53,48,55,46,56,55,1,0,58,58,63,43,44,38,52,1,0,0,0,0
