squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Angers,18,11,17,8,13,13,99,0,6,34,16,35,37,51,18,99,0,0,0,0
Auxerre,36,25,29,28,46,44,93,0,38,68,53,65,66,62,71,93,0,0,0,0
Brest,30,37,23,44,39,26,87,0,32,84,82,28,18,72,19,87,0,0,0,0
Le Havre,24,26,29,23,21,14,82,0,15,47,37,65,67,45,79,82,0,0,0,0
Lens,93,93,91,92,68,52,76,0,81,79,84,88,93,80,79,76,0,0,0,0
Lille,87,68,66,76,72,82,70,0,81,53,59,73,86,47,52,70,0,0,0,0
Lorient,47,41,61,20,28,21,64,0,25,19,14,37,35,9,64,64,0,0,0,0
Lyon,76,66,77,58,60,70,59,0,60,21,21,65,78,25,52,59,0,0,0,0
Marseille,82,89,85,89,63,64,53,0,77,24,37,58,64,31,61,53,0,0,0,0
Metz,1,10,7,18,26,42,47,0,27,8,4,14,3,34,33,47,0,0,0,0
Monaco,70,70,71,69,80,82,41,0,78,87,95,56,39,94,74,41,0,0,0,0
Nantes,13,21,9,31,19,8,36,0,11,53,44,32,28,54,26,36,0,0,0,0
Nice,7,16,22,8,23,24,30,0,18,30,30,20,12,55,13,30,0,0,0,0
PSG,99,82,99,65,92,99,24,0,89,64,83,85,99,53,64,24,0,0,0,0
Paris FC,41,53,37,71,53,63,18,0,65,29,42,30,29,22,49,18,0,0,0,0
Rennes,64,67,63,70,65,65,13,0,79,62,59,54,48,77,49,13,0,0,0,0
Strasbourg,59,73,62,79,77,85,7,0,70,60,60,36,43,44,17,7,0,0,0,0
Toulouse,53,47,52,48,57,45,1,0,51,79,80,59,57,46,82,1,0,0,0,0
