squad,overall_index,attack_index,attack_output_index,attack_creation_index,midfield_index,midfield_control_index,set_piece_attack_index,penalty_control_index,midfield_creativity_index,midfield_ball_winning_index,pressing_index,defense_index,defense_output_index,defense_disruption_index,defense_box_aerial_index,discipline_index,european_games,domestic_cup_games,extra_games,total_games_approx
Atalanta,68,79,82,85,68,72,81,89,86,43,50,68,67,65,76,90,0,0,0,0
Bologna,58,50,49,43,49,47,73,0,51,40,44,52,55,40,59,25,0,0,0,0
Cagliari,22,38,38,36,19,8,56,0,27,41,27,30,28,46,12,61,0,0,0,0
Como,94,76,61,82,78,80,73,99,80,67,72,86,97,47,83,81,0,0,0,0
Cremonese,11,24,12,22,8,8,49,0,7,19,12,22,13,33,40,54,0,0,0,0
Fiorentina,42,53,61,57,53,52,46,83,63,31,32,36,41,38,20,50,0,0,0,0
Genoa,27,32,39,8,35,25,74,70,9,79,83,41,38,59,26,64,0,0,0,0
Hellas Verona,6,18,33,8,18,3,39,66,10,65,46,33,13,78,65,53,0,0,0,0
Inter,99,97,94,99,89,97,87,50,98,60,84,73,88,54,43,39,0,0,0,0
Juventus,84,74,77,84,90,92,31,0,95,73,88,79,89,67,58,70,0,0,0,0
Lazio,63,51,48,63,50,63,27,50,57,13,13,53,64,16,39,55,0,0,0,0
Lecce,16,19,12,26,38,32,23,30,29,73,72,43,36,52,67,30,0,0,0,0
Milan,73,60,66,41,83,92,88,23,62,72,69,70,80,38,73,25,0,0,0,0
Napoli,78,69,60,71,70,82,81,13,75,37,61,62,71,30,60,44,0,0,0,0
Parma,37,13,11,13,33,48,17,50,18,24,7,42,43,40,45,44,0,0,0,0
Pisa,1,21,11,24,33,26,57,6,23,57,49,20,1,65,57,11,0,0,0,0
Roma,89,74,88,75,70,59,13,1,80,73,84,82,88,64,81,66,0,0,0,0
Sassuolo,47,49,44,56,50,58,6,0,48,41,20,31,26,45,35,46,0,0,0,0
Torino,32,54,61,60,32,27,1,38,44,47,40,25,12,62,25,50,0,0,0,0
Udinese,53,51,50,47,34,28,44,0,38,46,48,51,51,61,37,56,0,0,0,0
