squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
Augsburg,Jeffrey Gouweleeuw,106405,25/26,22,3,176,Knee bruise · Inner ligament injury · Inner knee ligament tear,"[{""injury"": ""Knee bruise"", ""from"": ""16/04/2026"", ""until"": ""17/04/2026"", ""games"": 0}, {""injury"": ""Inner ligament injury"", ""from"": ""10/11/2025"", ""until"": ""17/03/2026"", ""games"": 16}, {""injury"": ""Inner knee ligament tear"", ""from"": ""21/09/2025"", ""until"": ""05/11/2025"", ""games"": 6}]",2026-07-03
Augsburg,Yannik Keitel,342039,25/26,16,4,115,Fitness · Knee problems · muscular problems · Muscle injury,"[{""injury"": ""Fitness"", ""from"": ""08/04/2026"", ""until"": ""24/04/2026"", ""games"": 2}, {""injury"": ""Knee problems"", ""from"": ""03/03/2026"", ""until"": ""07/04/2026"", ""games"": 4}, {""injury"": ""muscular problems"", ""from"": ""07/02/2026"", ""until"": ""13/02/2026"", ""games"": 1}, {""injury"": ""Muscle injury"", ""from"": ""07/11/2025"", ""until"": ""31/12/2025"", ""games"": 9}]",2026-07-03
Augsburg,Chrislain Matsima,569383,25/26,15,2,102,Fitness · Tendon tear,"[{""injury"": ""Fitness"", ""from"": ""08/04/2026"", ""until"": ""20/04/2026"", ""games"": 2}, {""injury"": ""Tendon tear"", ""from"": ""09/01/2026"", ""until"": ""07/04/2026"", ""games"": 13}]",2026-07-03
Augsburg,Dimitris Giannoulis,295630,25/26,10,6,105,unknown injury · Hamstring injury · Achilles heel problems · Torn muscle fiber · Muscle injury,"[{""injury"": ""unknown injury"", ""from"": ""03/06/2026"", ""until"": """", ""games"": 0}, {""injury"": ""Hamstring injury"", ""from"": ""10/05/2026"", ""until"": ""31/05/2026"", ""games"": 1}, {""injury"": ""Achilles heel problems"", ""from"": ""27/02/2026"", ""until"": ""05/03/2026"", ""games"": 1}, {""injury"": ""Torn muscle fiber"", ""from"": ""30/01/2026"", ""until"": ""12/02/2026"", ""games"": 2}, {""injury"": ""Muscle injury"", ""from"": ""14/11/2025"", ""until"": ""20/11/2025"", ""games"": 2}, {""injury"": ""Hamstring injury"", ""from"": ""30/08/2025"", ""until"": ""22/09/2025"", ""games"": 4}]",2026-07-03
Augsburg,Anton Kade,654234,25/26,5,2,52,Knock · Ankle problems,"[{""injury"": ""Knock"", ""from"": ""14/12/2025"", ""until"": ""09/01/2026"", ""games"": 1}, {""injury"": ""Ankle problems"", ""from"": ""05/09/2025"", ""until"": ""29/09/2025"", ""games"": 4}]",2026-07-03
Augsburg,Arthur Chaves,875332,25/26,5,2,23,Knee injury · Facial injury,"[{""injury"": ""Knee injury"", ""from"": ""09/05/2026"", ""until"": ""18/05/2026"", ""games"": 2}, {""injury"": ""Facial injury"", ""from"": ""24/10/2025"", ""until"": ""05/11/2025"", ""games"": 3}]",2026-07-03
Augsburg,Alexis Claude-Maurice,384593,25/26,4,2,95,Ankle problems · Ankle injury,"[{""injury"": ""Ankle problems"", ""from"": ""10/05/2026"", ""until"": """", ""games"": 1}, {""injury"": ""Ankle injury"", ""from"": ""01/08/2025"", ""until"": ""09/09/2025"", ""games"": 3}]",2026-07-03
Augsburg,Kristijan Jakić,374954,25/26,4,3,33,Knock · muscle stiffness,"[{""injury"": ""Knock"", ""from"": ""02/04/2026"", ""until"": ""08/04/2026"", ""games"": 1}, {""injury"": ""muscle stiffness"", ""from"": ""19/01/2026"", ""until"": ""05/02/2026"", ""games"": 2}, {""injury"": ""Knock"", ""from"": ""20/11/2025"", ""until"": ""27/11/2025"", ""games"": 1}]",2026-07-03
Augsburg,Uchenna Ogundu,1309324,25/26,3,2,28,Ankle injury · Hamstring injury,"[{""injury"": ""Ankle injury"", ""from"": ""05/03/2026"", ""until"": ""17/03/2026"", ""games"": 2}, {""injury"": ""Hamstring injury"", ""from"": ""30/09/2025"", ""until"": ""14/10/2025"", ""games"": 1}]",2026-07-03
Augsburg,Aiman Dardari,904723,25/26,2,2,11,inflammation · Stomach flu,"[{""injury"": ""inflammation"", ""from"": ""02/06/2026"", ""until"": ""05/06/2026"", ""games"": 1}, {""injury"": ""Stomach flu"", ""from"": ""03/03/2026"", ""until"": ""09/03/2026"", ""games"": 1}]",2026-07-03
