squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
AZ Alkmaar,Seiya Maikuma,733438,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Jordy Clasie,104223,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Denso Kasius,577394,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Mexx Meerdink,678546,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Rome-Jayden Owusu-Oduro,704772,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Mateo Chávez,1066953,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Jizz Hornkamp,185817,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Kees Smit,859035,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Troy Parrott,552655,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Zico Buurmeester,595940,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Dave Kwakman,747017,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Sven Mijnans,578804,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Peer Koopmeiners,361074,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Maxim Dekker,646704,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Ernest Poku,718303,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Ibrahim Sadiq,543501,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Matej Sin,724025,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Mees de Wit,315254,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Ro-Zangelo Daal,800995,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Wouter Goes,646707,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Alexandre Penetra,479643,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Ayoub Oufkir,1078350,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Bendegúz Kovács,1129402,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Billy van Duijl,1008564,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Elijah Dijkstra,957241,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Hobie Verhulst,116471,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Isak Jensen,801886,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Jeroen Zoet,79045,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Kasper Boogaard,988406,25/26,0,0,0,,[],2026-08-24
AZ Alkmaar,Lequincio Zeefuik,728864,25/26,0,0,0,,[],2026-08-24
