squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
Alavés,Moussa Diarra,694509,25/26,0,0,0,,[],2026-07-20
Alavés,Lucas Boyé,334222,25/26,0,0,0,,[],2026-07-20
Alavés,Abde Rebbach,718034,25/26,0,0,0,,[],2026-07-20
Alavés,Ander Guevara,465967,25/26,0,0,0,,[],2026-07-20
Alavés,Antonio Blanco,495621,25/26,0,0,0,,[],2026-07-20
Alavés,Antonio Sivera,298197,25/26,0,0,0,,[],2026-07-20
Alavés,Calebe,798114,25/26,0,0,0,,[],2026-07-20
Alavés,Carles Aleñá,284854,25/26,0,0,0,,[],2026-07-20
Alavés,Carlos Ballestero,945760,25/26,0,0,0,,[],2026-07-20
Alavés,Carlos Vicente,540536,25/26,0,0,0,,[],2026-07-20
Alavés,Denis Suárez,165007,25/26,0,0,0,,[],2026-07-20
Alavés,Facundo Garcés,533354,25/26,0,0,0,,[],2026-07-20
Alavés,Ibrahim Diabaté,620696,25/26,0,0,0,,[],2026-07-20
Alavés,Jon Guridi,289257,25/26,0,0,0,,[],2026-07-20
Alavés,Jon Pacheco,580560,25/26,0,0,0,,[],2026-07-20
Alavés,Lander Pinillos,895591,25/26,0,0,0,,[],2026-07-20
Alavés,Nahuel Tenaglia,533568,25/26,0,0,0,,[],2026-07-20
Alavés,Pablo Ibáñez,785353,25/26,0,0,0,,[],2026-07-20
Alavés,Toni Martínez,302371,25/26,0,0,0,,[],2026-07-20
Alavés,Victor Parada,591957,25/26,0,0,0,,[],2026-07-20
Alavés,Ville Koski,581326,25/26,0,0,0,,[],2026-07-20
Alavés,Ángel Pérez,1124136,25/26,0,0,0,,[],2026-07-20
Athletic Club,Beñat Prados,625047,25/26,0,0,0,,[],2026-07-20
Athletic Club,Maroan Sannadi,1054934,25/26,0,0,0,,[],2026-07-20
Athletic Club,Nico Williams,709187,25/26,0,0,0,,[],2026-07-20
Athletic Club,Iñaki Williams,255508,25/26,0,0,0,,[],2026-07-20
Athletic Club,Aymeric Laporte,176553,25/26,0,0,0,,[],2026-07-20
Athletic Club,Oihan Sancet,571020,25/26,0,0,0,,[],2026-07-20
Athletic Club,Daniel Vivian,524000,25/26,0,0,0,,[],2026-07-20
Athletic Club,Álex Berenguer,338425,25/26,0,0,0,,[],2026-07-20
Athletic Club,Roberto Navarro,563137,25/26,0,0,0,,[],2026-07-20
Athletic Club,Yuri Berchiche,61812,25/26,0,0,0,,[],2026-07-20
Athletic Club,Mikel Jauregizar,938729,25/26,0,0,0,,[],2026-07-20
Athletic Club,Adama Boiro,710671,25/26,0,0,0,,[],2026-07-20
Athletic Club,Aitor Paredes,591916,25/26,0,0,0,,[],2026-07-20
Athletic Club,Alejandro Rego,834491,25/26,0,0,0,,[],2026-07-20
Athletic Club,Alex Padilla,834483,25/26,0,0,0,,[],2026-07-20
Athletic Club,Andoni Gorosabel,289255,25/26,0,0,0,,[],2026-07-20
Athletic Club,Asier Hierro,1056970,25/26,0,0,0,,[],2026-07-20
Athletic Club,Eder García,979324,25/26,0,0,0,,[],2026-07-20
Athletic Club,Gorka Guruzeta,340205,25/26,0,0,0,,[],2026-07-20
Athletic Club,Iñigo Lekue,255501,25/26,0,0,0,,[],2026-07-20
Athletic Club,Iñigo Ruiz de Galarreta,126751,25/26,0,0,0,,[],2026-07-20
Athletic Club,Jesús Areso,488626,25/26,0,0,0,,[],2026-07-20
Athletic Club,Mikel Vesga,300168,25/26,0,0,0,,[],2026-07-20
Athletic Club,Nicolás Serrano,668183,25/26,0,0,0,,[],2026-07-20
Athletic Club,Selton Sánchez,1312698,25/26,0,0,0,,[],2026-07-20
Athletic Club,Unai Gómez,834752,25/26,0,0,0,,[],2026-07-20
Athletic Club,Unai Simón,262396,25/26,0,0,0,,[],2026-07-20
Athletic Club,Urko Izeta,610622,25/26,0,0,0,,[],2026-07-20
Athletic Club,Yeray Álvarez,255488,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Pablo Barrios,775605,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Johnny Cardoso,689505,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Nicolás González,486031,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,José María Giménez,250845,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Álex Baena,548111,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Giacomo Raspadori,405885,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Jan Oblak,121483,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Thiago Almada,576028,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Clément Lenglet,182904,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Marcos Llorente,282411,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Julián Álvarez,576024,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Dávid Hancko,404418,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Robin Le Normand,351809,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Rodrigo Mendoza,961297,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Antoine Griezmann,125781,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Ademola Lookman,406040,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Conor Gallagher,488362,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Giuliano Simeone,742201,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Alexander Sørloth,238407,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Daniel Martinez,945763,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Iker Luque,1179482,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Jano Monserrate,1209287,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Javi Galán,448628,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Javi Morcillo,1250522,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Javier Boñar,741253,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Juan Musso,242359,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Julio Diaz,945753,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Koke,74229,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Marc Pubill,844637,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Matteo Ruggeri,616631,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Miguel Cubo,1453065,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Nahuel Molina,424042,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Obed Vargas,889435,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Rayane Belaid,945500,25/26,0,0,0,,[],2026-07-20
Atlético Madrid,Taufik Seidu,1114187,25/26,0,0,0,,[],2026-07-20
Barcelona,Gavi,646740,25/26,0,0,0,,[],2026-07-20
Barcelona,Andreas Christensen,196948,25/26,0,0,0,,[],2026-07-20
Barcelona,Xavi Espart,1018912,25/26,0,0,0,,[],2026-07-20
Barcelona,Jofre Torrents,1009765,25/26,0,0,0,,[],2026-07-20
Barcelona,Raphinha,411295,25/26,0,0,0,,[],2026-07-20
Barcelona,Lamine Yamal,937958,25/26,0,0,0,,[],2026-07-20
Barcelona,Frenkie de Jong,326330,25/26,0,0,0,,[],2026-07-20
Barcelona,Pedri,683840,25/26,0,0,0,,[],2026-07-20
Barcelona,Toni Fernández,1066206,25/26,0,0,0,,[],2026-07-20
Barcelona,Alejandro Balde,636688,25/26,0,0,0,,[],2026-07-20
Barcelona,Dani Olmo,293385,25/26,0,0,0,,[],2026-07-20
Barcelona,João Cancelo,182712,25/26,0,0,0,,[],2026-07-20
Barcelona,Ronald Araújo,480267,25/26,0,0,0,,[],2026-07-20
Barcelona,Fermin López,636703,25/26,0,0,0,,[],2026-07-20
Barcelona,Joan García,561613,25/26,0,0,0,,[],2026-07-20
Barcelona,Marc Bernal,1018920,25/26,0,0,0,,[],2026-07-20
Barcelona,Jules Koundé,411975,25/26,0,0,0,,[],2026-07-20
Barcelona,Dro Fernández,1071596,25/26,0,0,0,,[],2026-07-20
Barcelona,Ferrán Torres,398184,25/26,0,0,0,,[],2026-07-20
Barcelona,Robert Lewandowski,38253,25/26,0,0,0,,[],2026-07-20
Barcelona,Marcus Rashford,258923,25/26,0,0,0,,[],2026-07-20
Barcelona,Wojciech Szczęsny,44058,25/26,0,0,0,,[],2026-07-20
Barcelona,Alvaro Cortes,924610,25/26,0,0,0,,[],2026-07-20
Barcelona,Eric García,466794,25/26,0,0,0,,[],2026-07-20
Barcelona,Gerard Martín,705395,25/26,0,0,0,,[],2026-07-20
Barcelona,Marc Casado,636695,25/26,0,0,0,,[],2026-07-20
Barcelona,Pau Cubarsí,962110,25/26,0,0,0,,[],2026-07-20
Barcelona,Roony Bardghji,792331,25/26,0,0,0,,[],2026-07-20
Barcelona,Tomas Marques,938156,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Miguel Román,892932,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Matías Vecino,143812,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Pablo Durán,905997,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Carl Starfelt,258987,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Carlos Dominguez,636093,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Javi Rueda,652331,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Bryan Zaragoza,713644,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Joseph Aidoo,358250,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Mihailo Ristić,271455,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Borja Iglesias,278359,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Hugo Sotelo,892221,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Damián Rodríguez,715628,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Fer López,1064471,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Ferran Jutglà,599231,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Fran Beltrán,423444,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Hugo González,707279,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Hugo Álvarez,892929,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Iago Aspas,72047,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Ilaix Moriba,617074,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Ionuț Radu,303657,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Javi Rodríguez,1076815,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Jones El-Abdellaoui,960571,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Manu Fernández,638124,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Marcos Alonso,112515,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Sergio Carreira,545647,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Williot Swedberg,764859,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Yoel Lago,939374,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Álvaro Núñez,626953,25/26,0,0,0,,[],2026-07-20
Celta Vigo,Óscar Mingueza,331505,25/26,0,0,0,,[],2026-07-20
Elche,Héctor Fort,937955,25/26,0,0,0,,[],2026-07-20
Elche,Rafa Mir,361254,25/26,0,0,0,,[],2026-07-20
Elche,Tete Morente,339816,25/26,0,0,0,,[],2026-07-20
Elche,Jairo Izquierdo,337946,25/26,0,0,0,,[],2026-07-20
Elche,Rodrigo Mendoza,961297,25/26,0,0,0,,[],2026-07-20
Elche,Grady Diangana,342048,25/26,0,0,0,,[],2026-07-20
Elche,André Silva,198008,25/26,0,0,0,,[],2026-07-20
Elche,Germán Valera,548188,25/26,0,0,0,,[],2026-07-20
Elche,Pedro Bigas,203043,25/26,0,0,0,,[],2026-07-20
Elche,Adrià Pedrosa,501418,25/26,0,0,0,,[],2026-07-20
Elche,Aleix Febas,217144,25/26,0,0,0,,[],2026-07-20
Elche,Bambo Diaby,435493,25/26,0,0,0,,[],2026-07-20
Elche,Buba Sangaré,962125,25/26,0,0,0,,[],2026-07-20
