squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
AVS Futebol,Guillem Molina,602156,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Kobamelo Kodisang,390478,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Budiga Roni,725049,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Carlos Ponck,341516,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Gustavo Assuncao,461629,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Aderlan Santos,159142,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Adriel,808445,25/26,0,0,0,,[],2026-08-03
AVS Futebol,André Green,309841,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Babatunde Akinsola,924447,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Bruno Lourenço,314942,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Christian Neiva Afonso,1065761,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Daniel Rivas,690124,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Diego Duarte,661243,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Diogo Spencer,858252,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Gustavo Mendonça,637788,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Jaume Grau,340864,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Jordi Escobar,568155,25/26,0,0,0,,[],2026-08-03
AVS Futebol,João Gonçalves,685805,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Mateus Pivô,978615,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Nenê,45717,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Paulo Vitor,979625,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Pedro Lima,816135,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Pedro Trigueira,91949,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Rafael Barbosa,225151,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Rúben Semedo,197602,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Sidi Bane,1000828,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Simão Bertelli,538253,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Tomané,139393,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Ángel Algobia,638589,25/26,0,0,0,,[],2026-08-03
AVS Futebol,Óscar Perea,1015624,25/26,0,0,0,,[],2026-08-03
Alverca,Chiquinho,695454,25/26,0,0,0,,[],2026-08-03
Alverca,Figueiredo,703324,25/26,0,0,0,,[],2026-08-03
Alverca,Mathis Clairicia,969153,25/26,0,0,0,,[],2026-08-03
Alverca,Amorim,1082774,25/26,0,0,0,,[],2026-08-03
Alverca,André Gomes,670710,25/26,0,0,0,,[],2026-08-03
Alverca,Bastien Meupiyou,955253,25/26,0,0,0,,[],2026-08-03
Alverca,Cedric Nuozzi,859923,25/26,0,0,0,,[],2026-08-03
Alverca,Davy Gui,1321322,25/26,0,0,0,,[],2026-08-03
Alverca,Diogo Martins,548332,25/26,0,0,0,,[],2026-08-03
Alverca,Diogo Spencer,858252,25/26,0,0,0,,[],2026-08-03
Alverca,Fabrício Garcia,1070645,25/26,0,0,0,,[],2026-08-03
Alverca,Felipe Lima,923299,25/26,0,0,0,,[],2026-08-03
Alverca,Francisco Chissumba,898721,25/26,0,0,0,,[],2026-08-03
Alverca,Gian Cabezas,873528,25/26,0,0,0,,[],2026-08-03
Alverca,Gonçalo Esteves,726721,25/26,0,0,0,,[],2026-08-03
Alverca,Isaac James,746642,25/26,0,0,0,,[],2026-08-03
Alverca,Julián Martínez,1105188,25/26,0,0,0,,[],2026-08-03
Alverca,Kaiky Naves,964591,25/26,0,0,0,,[],2026-08-03
Alverca,Lincoln,351738,25/26,0,0,0,,[],2026-08-03
Alverca,Marko Milovanović,845568,25/26,0,0,0,,[],2026-08-03
Alverca,Matheus Mendes,629077,25/26,0,0,0,,[],2026-08-03
Alverca,Nabil Touaizi,487180,25/26,0,0,0,,[],2026-08-03
Alverca,Rhaldney,638269,25/26,0,0,0,,[],2026-08-03
Alverca,Sabit Abdulai,648812,25/26,0,0,0,,[],2026-08-03
