squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
Angers,Jim Allevinah,646733,25/26,14,3,90,Fitness · unknown injury · Calf injury,"[{""injury"": ""Fitness"", ""from"": ""21/04/2026"", ""until"": ""04/05/2026"", ""games"": 2}, {""injury"": ""unknown injury"", ""from"": ""08/04/2026"", ""until"": ""21/04/2026"", ""games"": 2}, {""injury"": ""Calf injury"", ""from"": ""01/09/2025"", ""until"": ""01/11/2025"", ""games"": 10}]",2026-07-06
Angers,Himad Abdelli,592979,25/26,9,2,36,Back injury · Dead leg,"[{""injury"": ""Back injury"", ""from"": ""14/08/2025"", ""until"": ""01/09/2025"", ""games"": 6}, {""injury"": ""Dead leg"", ""from"": ""16/03/2025"", ""until"": ""01/04/2025"", ""games"": 3}]",2026-07-06
Angers,Emmanuel Biumla,1071956,25/26,8,3,48,Knock · Dead leg,"[{""injury"": ""Knock"", ""from"": ""03/04/2026"", ""until"": ""07/04/2026"", ""games"": 1}, {""injury"": ""Dead leg"", ""from"": ""23/10/2025"", ""until"": ""30/11/2025"", ""games"": 6}, {""injury"": ""Dead leg"", ""from"": ""16/10/2025"", ""until"": ""19/10/2025"", ""games"": 1}]",2026-07-06
Angers,Carlens Arcus,371686,25/26,7,1,44,Adductor pain,"[{""injury"": ""Adductor pain"", ""from"": ""15/03/2026"", ""until"": ""27/04/2026"", ""games"": 7}]",2026-07-06
Angers,Marius Courcoul,1075575,25/26,6,1,40,Knee injury,"[{""injury"": ""Knee injury"", ""from"": ""09/04/2026"", ""until"": ""18/05/2026"", ""games"": 6}]",2026-07-06
Angers,Yassin Belkhdim,807688,25/26,6,2,92,Arm injury · Bruised ribs,"[{""injury"": ""Arm injury"", ""from"": ""11/04/2026"", ""until"": """", ""games"": 6}, {""injury"": ""Bruised ribs"", ""from"": ""08/03/2026"", ""until"": ""12/03/2026"", ""games"": 0}]",2026-07-06
Angers,Jacques Ekomie,970279,25/26,4,1,20,Dead leg,"[{""injury"": ""Dead leg"", ""from"": ""12/03/2026"", ""until"": ""31/03/2026"", ""games"": 4}]",2026-07-06
Angers,Prosper Peter,1103958,25/26,3,3,66,Hamstring injury · Dead leg,"[{""injury"": ""Hamstring injury"", ""from"": ""11/05/2026"", ""until"": """", ""games"": 1}, {""injury"": ""Dead leg"", ""from"": ""07/03/2026"", ""until"": ""11/03/2026"", ""games"": 1}, {""injury"": ""Dead leg"", ""from"": ""27/10/2025"", ""until"": ""30/10/2025"", ""games"": 1}]",2026-07-06
Angers,Sidiki Cherif,986288,25/26,3,2,34,Injury to the ankle · Ankle sprain,"[{""injury"": ""Injury to the ankle"", ""from"": ""12/05/2026"", ""until"": ""30/05/2026"", ""games"": 1}, {""injury"": ""Ankle sprain"", ""from"": ""25/01/2026"", ""until"": ""08/02/2026"", ""games"": 2}]",2026-07-06
Angers,Abdoulaye Bamba,62351,25/26,2,1,11,Dead leg,"[{""injury"": ""Dead leg"", ""from"": ""03/04/2026"", ""until"": ""13/04/2026"", ""games"": 2}]",2026-07-06
