source,title_en,title_ko,tier,link,published
BBC,Tottenham to bid for Kroupi - Tuesday gossip,"토트넘, 크루피 영입에 나설 예정 - 화요일 가십",rumor,https://www.bbc.co.uk/sport/football/articles/c3wyy0evxn2o?at_medium=RSS&at_campaign=rss,2026-07-07 06:08
Guardian,Sandro Tonali seals £92.5m move to Tottenham on back of ‘magic’ sales pitch,산드로 토날리(Sandro Tonali)는 '마법의' 판매 홍보에 힘입어 £92.5m에 토트넘으로 이적했습니다.,rumor,https://www.theguardian.com/football/2026/jul/06/sandro-tonali-seals-move-to-tottenham-newcastle-transfer-window,2026-07-06 11:46
BBC,Real Madrid plot £188m Olise deal,레알 마드리드는 £188m의 올리세 딜을 계획하고 있습니다.,rumor,https://www.bbc.co.uk/sport/football/articles/cgjxx6ngdggo?at_medium=RSS&at_campaign=rss,2026-07-05 21:15
Guardian,‘A high ceiling’: Newcastle confirm £43m signing of Hoffenheim winger Touré,'높은 천장': 뉴캐슬은 호펜하임 윙어 투레의 £43m 영입을 확정했습니다.,agreed,https://www.theguardian.com/football/2026/jul/05/newcastle-confirm-43m-signing-of-hoffenheim-winger-toure,2026-07-05 19:17
Guardian,Manchester United target Andrey Santos but Chelsea value midfielder at £50m,맨체스터 유나이티드는 안드레이 산토스를 노리고 있지만 첼시는 이 미드필더를 £50m에 평가합니다.,rumor,https://www.theguardian.com/football/2026/jul/05/andrey-santos-manchester-united-chelsea-transfer,2026-07-05 09:13
BBC,Premier League quartet want Scott,프리미어리그 4인조는 스콧을 원한다,rumor,https://www.bbc.co.uk/sport/football/articles/c0ey2rrvld4o?at_medium=RSS&at_campaign=rss,2026-07-04 21:52
BBC,Liverpool open to Van Dijk offers,리버풀은 반다이크의 제안을 받아들인다,rumor,https://www.bbc.co.uk/sport/football/articles/czx59xrgnppo?at_medium=RSS&at_campaign=rss,2026-07-03 21:01
Guardian,Fulham make move for Crysencio Summerville while Granit Xhaka stays at Sunderland,풀럼은 크리센시오 서머빌로 이적하고 그라니트 자카는 선더랜드에 남습니다.,rumor,https://www.theguardian.com/football/2026/jul/03/fulham-move-for-west-ham-crysencio-summerville,2026-07-03 17:18
BBC,Man Utd ready for Baleba move - Friday gossip,"맨유, 발레바 이적 준비 완료 - 금요일 가십",rumor,https://www.bbc.co.uk/sport/football/articles/cx23644x506o?at_medium=RSS&at_campaign=rss,2026-07-03 09:07
Guardian,"Transfer roundup: Everton clinch Hackney signing, Spurs announce Fernandes",이적 요약: Everton은 Hackney 영입을 확정했고 Spurs는 Fernandes를 발표했습니다.,agreed,https://www.theguardian.com/football/2026/jul/02/transfer-latest-premier-league-everton-tottenham,2026-07-02 09:44
