source,title_en,title_ko,tier,link,published
Record,<![CDATA[ Samuel Soares confiante anima bancada ]]>,<![CDATA[사무엘 소아레스의 자신감 넘치는 벤치 응원 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/benfica/detalhe/samuel-soares-confiante-anima-bancada,2026-07-18 06:42
Record,<![CDATA[ Oportunidade aos portugueses no Estoril Open ]]>,<![CDATA[ Estoril Open에서 포르투갈 선수를 위한 기회 ]]>,rumor,https://www.record.pt/modalidades/tenis/estoril-open/detalhe/oportunidade-aos-portugueses-no-estoril-open,2026-07-18 06:41
Record,<![CDATA[ Hwang no Dragão: Eustáquio perde espaço e até pode 'pagar' o sul-coreano ]]>,<![CDATA[ Hwang no Dragão: Eustáquio는 공간을 잃었고 심지어 한국에게 '지불'할 수도 있습니다 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/fc-porto/detalhe/hwang-no-dragao-eustaquio-perde-espaco-e-ate-pode-pagar-o-sul-coreano,2026-07-18 05:39
Record,<![CDATA[ Marco Silva inconformado junto ao banco ]]>,<![CDATA[ Marco Silva가 은행에 만족하지 않음 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/benfica/detalhe/marco-silva-inconformado-junto-ao-banco,2026-07-18 05:12
Record,<![CDATA[ Gil Vicente revelou o equipamento alternativo: «Não são as paredes que fazem uma casa» ]]>,<![CDATA[ Gil Vicente가 대체 장비를 공개했습니다: «집을 만드는 것은 벽이 아닙니다» ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/gil-vicente/detalhe/gil-vicente-revelou-o-equipamento-alternativo-nao-sao-as-paredes-que-fazem-uma-casa,2026-07-18 04:37
Record,<![CDATA[ Sporting vai acelerar processo de renovação de Maxi Araújo ]]>,<![CDATA[ Sporting은 Maxi Araújo의 갱신 과정을 가속화할 것입니다 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/sporting/detalhe/sporting-vai-acelerar-processo-de-renovacao-de-maxi-araujo,2026-07-18 04:19
Record,<![CDATA[ Mortimer e o regresso do Académico Viseu à 1.ª Liga: «Vejo a equipa preparadíssima para o salto de qualidade» ]]>,<![CDATA[ 모티머와 Académico Viseu의 1부 리그 복귀: «팀이 질적 도약을 위해 매우 준비가 되어 있는 것으로 보입니다.» ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/ac--viseu/detalhe/mortimer-e-o-regresso-do-academico-viseu-a-1-liga-vejo-a-equipa-preparadissima-para-o-salto-de-qualidade,2026-07-18 03:44
Record,<![CDATA[ Vítor Magalhães vai continuar na liderança do Moreirense ]]>,<![CDATA[ Vítor Magalhães가 계속해서 Moreirense를 이끌겠습니다 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/moreirense/detalhe/vitor-magalhaes-vai-continuar-na-lideranca-do-moreirense,2026-07-18 02:33
Record,<![CDATA[ Zalazar acelera na posição 10: o primeiro dia de trabalho do novo leão ]]>,<![CDATA[ Zalazar가 10위로 가속합니다: 새로운 사자의 첫 출근일 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/sporting/detalhe/zalazar-acelera-na-posicao-10-o-primeiro-dia-de-trabalho-do-novo-leao,2026-07-18 02:03
Record,<![CDATA[ Silaidopoulos avalia jovens talentos da formação do Rio Ave ]]>,<![CDATA[ Silaidopoulos가 Rio Grande do Sul 기지의 젊은 재능을 평가함 ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/rio-ave/detalhe/silaidopoulos-avalia-jovens-talentos-da-formacao-do-rio-ave,2026-07-18 01:33
Record,<![CDATA[ Diogo Travassos impressiona e aponta ao onze ]]>,<![CDATA[ 디오고 트라바소스(Diogo Travassos)가 인상적인 모습을 보이며 11위를 목표로 하고 있습니다. ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/sp--braga/detalhe/diogo-travassos-impressiona-e-aponta-ao-onze,2026-07-18 00:47
Record,<![CDATA[ Sócios do FC Porto esgotam bilhetes para particular com o Gil Vicente em poucas horas ]]>,<![CDATA[ FC Porto 회원은 Gil Vicente의 개인 티켓을 몇 시간 만에 매진했습니다. ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/fc-porto/detalhe/socios-do-fc-porto-esgotam-bilhetes-para-particular-com-o-gil-vicente-em-poucas-horas,2026-07-17 23:44
Record,<![CDATA[ DS Nº 7: requinte num SUV com mais de 700 km eléctricos ]]>,<![CDATA[ DS N° 7: 전기 주행거리 700km가 넘는 SUV의 정교함 ]]>,rumor,https://www.record.pt/modalidades/motores/record-auto/detalhe/ds-n-7-requinte-num-suv-com-mais-de-700-km-electricos,2026-07-17 23:37
Record,"<![CDATA[ A crónica do Benfica-Villarreal, 2-0: de tirar o chapéu aos homens da casa ]]>","<![CDATA[ Benfica-Villarreal의 연대기, 2 대 0: 집안의 남자들에게 경의를 표합니다 ]]>",rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/benfica/detalhe/a-cronica-do-benfica-villarreal-2-0-de-tirar-o-chapeu-aos-homens-da-casa,2026-07-17 23:22
Record,<![CDATA[ Xamãs peruanos apoiam Argentina ]]>,<![CDATA[ 페루 무당들이 아르헨티나를 지원함 ]]>,rumor,https://www.record.pt/multimedia/fotogalerias/olhar-record/detalhe/xamas-peruanos-apoiam-argentina,2026-07-17 23:00
Record,<![CDATA[ Laporte: «Temos visto coisas muito estranhas nos últimos jogos... Sobretudo com a Argentina» ]]>,<![CDATA[ 라포르테: «우리는 지난 몇 경기에서 매우 이상한 일들을 목격했습니다... 특히 아르헨티나에서는» ]]>,rumor,https://www.record.pt/internacional/competicoes-de-selecoes/mundial/mundial-2026/detalhe/laporte-temos-visto-coisas-muito-estranhas-nos-ultimos-jogos-sobretudo-com-a-argentina,2026-07-17 22:58
Record,<![CDATA[ Racing Power garante mais dois reforços para a nova época ]]>,<![CDATA[ Racing Power는 새 시즌에 두 명의 추가 지원군을 보장합니다. ]]>,rumor,https://www.record.pt/futebol/futebol-feminino/detalhe/racing-power-garante-mais-dois-reforcos-para-a-nova-epoca,2026-07-17 22:39
Record,<![CDATA[ Joana Silva assina contrato profissional com Valadares Gaia ]]>,"<![CDATA[ Joana Silva, Valadares Gaia와 프로 계약 체결 ]]>",agreed,https://www.record.pt/futebol/futebol-feminino/detalhe/joana-silva-assina-contrato-profissional-com-valadares-gaia,2026-07-17 22:39
Record,<![CDATA[ As notas dos jogadores do Benfica: Rafa viu o amarelo e seguiu a fundo ]]>,<![CDATA[ 벤피카 선수들의 메모: 라파는 옐로카드를 보고 열심히 계속했습니다. ]]>,rumor,https://www.record.pt/futebol/futebol-nacional/liga-betclic/benfica/detalhe/as-notas-dos-jogadores-do-benfica-rafa-viu-o-amarelo-e-seguiu-a-fundo,2026-07-17 22:35
Record,<![CDATA[ Mercado a mexer: siga todos os rumores e confirmações ]]>,<![CDATA[ 시장 움직임: 모든 소문과 확인을 따르세요 ]]>,rumor,https://www.record.pt/mercado/detalhe/20260716-092927-mercado-a-mexer-siga-todos-os-rumores-e-confirmacoes,2026-07-17 22:33
