source,title_en,title_ko,tier,link,published
Football Italia,"Roma midfielder El Aynaoui liked by Manchester United, Liverpool and Fenerbahce","맨체스터 유나이티드, 리버풀, 페네르바체가 좋아하는 로마 미드필더 엘 아이나우이",rumor,https://football-italia.net/roma-el-aynaoui-man-utd-liverpool-fenerbahce/,2026-07-23 19:54
Football Italia,"Napoli warning for Zeballos: ‘At right conditions, otherwise we’ll wait’ for January 2027","제바요스에 대한 나폴리의 경고: '적절한 조건이라면, 그렇지 않으면 우리는 2027년 1월을 기다릴 것이다'",rumor,https://football-italia.net/napoli-warning-zeballos-right-conditions-wait/,2026-07-23 19:41
Football Italia,Frustrated Khalaili after failed Inter transfer: ‘I feel healthy and good’,인터 이적 실패 후 좌절한 칼라일리: '건강하고 좋은 기분',rumor,https://football-italia.net/frustrated-khalaili-failed-inter-feel-healthy/,2026-07-23 19:29
Football Italia,"Cairo: ‘Italy emergency cannot wait for long-term project, first 100 days crucial’",카이로: '이탈리아 비상사태는 장기 프로젝트를 기다릴 수 없으며 첫 100일이 중요합니다.',rumor,https://football-italia.net/cairo-italy-emergency-cannot-wait-long-term/,2026-07-23 19:06
Football Italia,Karetsas price set at €40m as Milan hope Borussia Dortmund back down,밀란은 보루시아 도르트문트가 물러나길 바라면서 Karetsas 가격은 €40m으로 설정,rumor,https://football-italia.net/karetsas-price-set-40m-milan-borussia-dortmund/,2026-07-23 18:48
Football Italia,Report Lucumi price tag set at €25m after Besiktas proposal rejected,베식타의 제안이 거부된 후 Lucumi 가격표가 €25m으로 설정됨 보고,rumor,https://football-italia.net/report-lucumi-price-tag-set-at-e25m-besiktas/,2026-07-23 18:25
Football Italia,Roma 6-0 friendly victory sees Malen and Dybala on target,로마의 6-0 친선 승리로 말렌과 디발라의 적중,rumor,https://football-italia.net/roma-6-0-friendly-victory-malen-dybala-target/,2026-07-23 17:56
Football Italia,"Transfer round-up: Milan done deal and double contract extension, Roma in Nusa talks","이적 요약: 밀란은 거래를 완료하고 이중 계약 연장을 완료했으며, 로마는 누사 회담에서",agreed,https://football-italia.net/transfer-round-up-roma-in-nusa-talks-milan/,2026-07-23 17:50
Football Italia,"Alajbegovic price tag boosted by Chelsea interest, now at €35m",Alajbegovic 가격표는 Chelsea의 관심으로 인해 현재 € 35m에 올랐습니다.,rumor,https://football-italia.net/alajbegovic-price-tag-boosted-chelsea-interest/,2026-07-23 17:43
Football Italia,"Monza secure Mangas from Sporting CP, fight for Asante too",Monza는 Sporting CP에서 망가를 확보하고 Asante도 위해 싸웁니다.,rumor,https://football-italia.net/monza-secure-mangas-from-sporting-cp-asante/,2026-07-23 17:28
Football Italia,Modric: ‘Milan desire to bounce back is immense’,"모드리치 ""밀란은 반등하려는 열망이 엄청나다""",rumor,https://football-italia.net/modric-milan-desire-to-bounce-back-is-immense/,2026-07-23 17:01
Football Italia,Done Deal: Bologna secure Amondarain despite Nottingham Forest interest,거래 완료: 볼로냐는 노팅엄 포레스트의 관심에도 불구하고 Amondarain을 확보했습니다.,agreed,https://football-italia.net/bologna-secure-amondarain-nottingham-forest/,2026-07-23 16:35
Football Italia,Official: Modric signs new contract with Milan to 2027,공식: 모드리치는 밀란과 2027년까지 재계약을 체결했습니다.,agreed,https://football-italia.net/official-modric-signs-new-contract-with-milan/,2026-07-23 16:17
Football Italia,"Done Deal: Udinese hand Iker Bravo, Zemura and Payero to Watford","거래 완료: 우디네세는 이케르 브라보, 제무라, 파예로를 왓포드로 이적시켰습니다.",agreed,https://football-italia.net/done-udinese-iker-bravo-zemura-payero-watford/,2026-07-23 16:01
Football Italia,Official: Napoli confirm successful Buongiorno surgery and Lucca injury,공식: 나폴리는 성공적인 Buongiorno 수술과 Lucca 부상을 확인했습니다.,agreed,https://football-italia.net/napoli-success-buongiorno-surgery-lucca-injury/,2026-07-23 15:36
Football Italia,"Glamorous Donnarumma wedding to include Haaland, Tonali and Guardiola","Haaland, Tonali 및 Guardiola가 포함된 화려한 Donnarumma 결혼식",rumor,https://football-italia.net/glamorous-donnarumma-wedding-haaland-tonali/,2026-07-23 15:25
Football Italia,"Video: Maldini breaks silence on next Italy coach, Tottenham stars wanted by Serie A giants","비디오: 말디니는 차기 이탈리아 감독에 대해 침묵을 깨고, 세리에 A 거인들이 원하는 토트넘 스타들",rumor,https://football-italia.net/video-maldini-breaks-silence-next-italy-coach/,2026-07-23 15:20
Football Italia,Fenerbahce book meetings for Leao but face uphill battle convincing unhappy Milan star,레아오를 위한 페네르바체 북미팅 그러나 불행한 밀란 스타를 설득하기 위한 힘든 싸움에 직면,rumor,https://football-italia.net/fenerbahce-book-meetings-for-leao/,2026-07-23 15:06
Football Italia,Maldini: ‘Economic aspect not relevant for Guardiola’ after €20m salary report,말디니: 2천만 유로 연봉 보고 후 '과르디올라와 경제적 측면은 관련이 없다',rumor,https://football-italia.net/maldini-economic-aspect-not-relevant-guardiola/,2026-07-23 15:01
Football Italia,"Napoli director: ‘De Bruyne part of project, even if we didn’t appreciate some words’",나폴리 감독 : '우리가 어떤 말에 감사하지 않더라도 데 브라이너는 프로젝트의 일부입니다',rumor,https://football-italia.net/napoli-director-de-bruyne-part-of-project/,2026-07-23 14:42
