target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Aston Villa,Pervis Estupiñán,Left-Back,28,AC Milan,12000000.0,,13/07/2026
Aston Villa,Noah Atubolu,Goalkeeper,24,SC Freiburg,25000000.0,,13/07/2026
Aston Villa,Johan Manzambi,Central Midfield,20,SC Freiburg,50000000.0,85,13/07/2026
Aston Villa,Julián Quiñones,Centre-Forward,29,Al-Qadsiah FC,14000000.0,,13/07/2026
Aston Villa,Roony Bardghji,Right Winger,20,FC Barcelona,15000000.0,,12/07/2026
Aston Villa,El Bilal Touré,Left Winger,24,Atalanta BC,13000000.0,,09/07/2026
Aston Villa,Antonio Nusa,Left Winger,21,RB Leipzig,32000000.0,,09/07/2026
Aston Villa,Anan Khalaili,Right Midfield,21,Union Saint-Gilloise,23000000.0,,07/07/2026
Aston Villa,Ibrahim Mbaye,Right Winger,18,Paris Saint-Germain,30000000.0,,06/07/2026
Aston Villa,James Maddison,Attacking Midfield,29,Tottenham Hotspur,20000000.0,,30/06/2026
Aston Villa,Anis Hadj Moussa,Right Winger,24,Feyenoord Rotterdam,23000000.0,,30/06/2026
Aston Villa,Zion Suzuki,Goalkeeper,23,Parma Calcio 1913,20000000.0,49,30/06/2026
Aston Villa,Guillaume Restes,Goalkeeper,21,FC Toulouse,18000000.0,,30/06/2026
Aston Villa,Lloyd Kelly,Centre-Back,27,Juventus FC,23000000.0,41,29/06/2026
Aston Villa,Femi Azeez,Right Midfield,25,Millwall FC,15000000.0,,29/06/2026
Aston Villa,Kacper Potulski,Centre-Back,18,1.FSV Mainz 05,18000000.0,21,28/06/2026
Aston Villa,Emerson Royal,Right-Back,27,CR Flamengo,5000000.0,89,23/06/2026
Aston Villa,Jarrod Bowen,Right Winger,29,West Ham United,30000000.0,,23/06/2026
Aston Villa,Matias Fernandez-Pardo,Centre-Forward,21,LOSC Lille,35000000.0,,17/06/2026
Aston Villa,Anatoliy Trubin,Goalkeeper,24,SL Benfica,25000000.0,,11/06/2026
Aston Villa,Nick Woltemade,Centre-Forward,24,Newcastle United,55000000.0,,11/06/2026
Aston Villa,Morgan Gibbs-White,Attacking Midfield,26,Nottingham Forest,70000000.0,,06/06/2026
Aston Villa,Serhou Guirassy,Centre-Forward,30,Borussia Dortmund,32000000.0,,04/06/2026
Aston Villa,Karim Adeyemi,Right Winger,24,Borussia Dortmund,40000000.0,,02/06/2026
Aston Villa,Ethan Ampadu,Defensive Midfield,25,Leeds United,30000000.0,,30/05/2026
Brighton,Luka Vuskovic,Centre-Back,19,Tottenham Hotspur,60000000.0,84,13/07/2026
Brighton,Maxloren Castro,Left Winger,18,Club Sporting Cristal,1200000.0,,13/07/2026
Brighton,Azzedine Ounahi,Central Midfield,26,Girona FC,10000000.0,,12/07/2026
Brighton,Rubén Vargas,Left Winger,27,Sevilla FC,12000000.0,,12/07/2026
Brighton,Said El Mala,Left Winger,19,1.FC Köln,45000000.0,4,08/07/2026
Brighton,Lamine Camara,Central Midfield,22,AS Monaco,40000000.0,,06/07/2026
Brighton,Andrea Natali,Centre-Back,18,Bayer 04 Leverkusen U19,400000.0,,04/07/2026
Brighton,Pape Gueye,Central Midfield,27,Villarreal CF,40000000.0,,01/07/2026
Brighton,Lassine Sinayoko,Centre-Forward,26,AJ Auxerre,10000000.0,,26/06/2026
Brighton,Honest Ahanor,Centre-Back,18,Atalanta BC,30000000.0,,26/06/2026
Brighton,Marvin Keller,Goalkeeper,24,BSC Young Boys,6000000.0,,08/06/2026
Brighton,Ibrahima Cissé,Centre-Forward,18,Jong KAA Gent,900000.0,,07/06/2026
Brighton,João Cruz,Central Midfield,20,Club Athletico Paranaense,2000000.0,,29/05/2026
Brighton,Kaishu Sano,Defensive Midfield,25,1.FSV Mainz 05,40000000.0,,20/05/2026
Brighton,Enzo Boyomo,Centre-Back,24,CA Osasuna,15000000.0,,04/05/2026
Brighton,Ladislav Krejci,Centre-Back,27,Wolverhampton Wanderers,22000000.0,,23/04/2026
Brighton,Vicente Pizarro,Defensive Midfield,23,CA Rosario Central,4500000.0,,23/04/2026
Brighton,Noah Atubolu,Goalkeeper,24,SC Freiburg,25000000.0,,22/04/2026
Brighton,Robin Risser,Goalkeeper,21,RC Lens,30000000.0,,21/04/2026
Brighton,James Trafford,Goalkeeper,23,Manchester City,25000000.0,,21/04/2026
Brighton,Aiden Hezarkhani,Right Winger,19,Real Salt Lake City,3000000.0,,19/04/2026
Brighton,Noel Aseko,Defensive Midfield,20,Bayern Munich,12000000.0,,17/04/2026
Brighton,Maicon,Left-Back,26,Levski Sofia,3500000.0,,16/04/2026
Brighton,Zan Vipotnik,Centre-Forward,24,Swansea City,22000000.0,,14/04/2026
Burnley,Patrick Berg,Defensive Midfield,28,FK Bodø/Glimt,8000000.0,,12/07/2026
Burnley,Sorriso,Left Winger,25,FC Famalicão,5000000.0,,05/06/2026
Burnley,Jordan James,Central Midfield,22,Stade Rennais FC,12000000.0,,20/04/2026
