target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Anderlecht,Mihai Lixandru,Central Midfield,25,FCSB,900000.0,,05/07/2026
Anderlecht,Thomas Meunier,Right-Back,34,Without ClubWithout Club,1500000.0,,01/07/2026
Anderlecht,Alieu Njie,Left Winger,21,Torino FC,3000000.0,24,30/06/2026
Anderlecht,Pierre Ekwah,Defensive Midfield,24,AS Saint-Étienne,2000000.0,,30/06/2026
Anderlecht,Michael Parker,Centre-Back,21,Örgryte IS,2000000.0,,30/06/2026
Anderlecht,Adam Karabec,Attacking Midfield,23,AC Sparta Prague,7000000.0,,20/06/2026
Anderlecht,Hugo Bayomog,Right-Back,17,LOSC Lille B,,,09/06/2026
Anderlecht,Tawanda Maswanhise,Centre-Forward,23,Motherwell FC,5000000.0,,28/05/2026
Anderlecht,Marin Soticek,Right Winger,21,FC Basel 1893,1500000.0,,26/05/2026
Anderlecht,Nikolaus Wurmbrand,Right Winger,20,Rapid Vienna,5000000.0,,21/05/2026
Anderlecht,Pape Moussa Fall,Centre-Forward,22,FC Metz,3500000.0,,11/05/2026
Anderlecht,Rúben Dantas Fernandes,Left-Back,23,FC Luzern,1000000.0,,04/05/2026
Anderlecht,Chancel Mbemba,Centre-Back,31,Without ClubWithout Club,2000000.0,,24/04/2026
Anderlecht,Hossam Abdelmaguid,Centre-Back,25,Zamalek SC,2000000.0,,19/04/2026
Anderlecht,Noel Futkeu,Centre-Forward,23,Eintracht Frankfurt,7500000.0,,16/04/2026
Anderlecht,Younes Taha,Right Winger,23,FC Twente Enschede,4000000.0,,10/04/2026
Antwerp,Calvin Stengs,Attacking Midfield,27,Feyenoord Rotterdam,4500000.0,,01/07/2026
Antwerp,Thomas Meunier,Right-Back,34,Without ClubWithout Club,1500000.0,,01/07/2026
Antwerp,Seid Korac,Centre-Back,24,Venezia FC,1300000.0,,18/06/2026
Antwerp,Snayder Porozo,Centre-Forward,19,SD Aucas,1000000.0,,01/06/2026
Antwerp,Couhaib Driouech,Left Winger,24,PSV Eindhoven,7500000.0,,30/05/2026
Antwerp,Teddy Teuma,Central Midfield,32,Without ClubWithout Club,1800000.0,,21/04/2026
Cercle Brugge,Augusto Owusu,Central Midfield,21,Juventus Next Gen,600000.0,,01/07/2026
Cercle Brugge,Nolan Binet,Defensive Midfield,22,US Boulogne,1200000.0,,18/06/2026
Cercle Brugge,Ian Kamga,Centre-Back,21,Without ClubWithout Club,,,17/06/2026
Cercle Brugge,Afimico Pululu,Centre-Forward,27,Without ClubWithout Club,4000000.0,,05/06/2026
Cercle Brugge,Amario Cozier-Duberry,Right Winger,21,Brighton & Hove Albion,5000000.0,,29/05/2026
Charleroi,Alex Opoku Sarfo,Defensive Midfield,21,Aris Limassol,1000000.0,,06/07/2026
Charleroi,Isaac Cissé,Defensive Midfield,19,Lamontville Golden Arrows,250000.0,,22/06/2026
Charleroi,Filip Antonic,Right-Back,19,Without ClubWithout Club,,,07/05/2026
Club Brugge,Dieguinho,Right Winger,18,Sport Club Corinthians Paulista,4000000.0,,02/07/2026
Club Brugge,Cheveyo Tsawa,Central Midfield,19,FC Zürich,6000000.0,,01/07/2026
Club Brugge,Augusto Owusu,Central Midfield,21,Juventus Next Gen,600000.0,,01/07/2026
Club Brugge,Kamil Grabara,Goalkeeper,27,VfL Wolfsburg,12000000.0,27,01/07/2026
Club Brugge,Noah Adedeji-Sternberg,Left Winger,21,KRC Genk,4000000.0,,28/06/2026
Club Brugge,Mert Kömür,Attacking Midfield,20,FC Augsburg,12000000.0,,27/06/2026
