target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Feyenoord,Ørjan Nyland,Goalkeeper,35,Without ClubWithout Club,800000.0,,09/07/2026
Feyenoord,Tjark Ernst,Goalkeeper,23,Hertha BSC,4000000.0,81,09/07/2026
Feyenoord,Sabil Hansen,Right-Back,20,Randers FC,600000.0,,05/07/2026
Feyenoord,Saël Kumbedi,Right-Back,21,VfL Wolfsburg,12000000.0,,03/07/2026
Feyenoord,Taylan Bulut,Right-Back,20,Besiktas JK,5000000.0,6,03/07/2026
Feyenoord,Ognjen Ugresic,Central Midfield,19,FK Partizan Belgrade,10000000.0,,17/06/2026
Feyenoord,Davis Opoku,Right-Back,18,Oud-Heverlee Leuven,800000.0,,16/06/2026
Feyenoord,Sami Ouaissa,Right Midfield,21,NEC Nijmegen,8000000.0,,12/06/2026
Feyenoord,Elia Caprile,Goalkeeper,24,Cagliari Calcio,15000000.0,,11/06/2026
Feyenoord,Tawfik Bentayeb,Centre-Forward,24,Union Touarga Sportif,8000000.0,,08/06/2026
Feyenoord,Joël Drommel,Goalkeeper,29,PSV Eindhoven,4000000.0,,31/05/2026
Feyenoord,Roggerio Nyakossi,Centre-Back,22,Oud-Heverlee Leuven,5000000.0,,28/05/2026
Feyenoord,Matheus Martins,Left Winger,22,Botafogo de Futebol e Regatas,6000000.0,,22/05/2026
Feyenoord,Bart van Rooij,Right-Back,25,FC Twente Enschede,10000000.0,,22/05/2026
Feyenoord,Ichem Ferrah,Right Winger,20,LOSC Lille B,2000000.0,,20/05/2026
Feyenoord,Dion Beljo,Centre-Forward,24,GNK Dinamo Zagreb,12000000.0,,06/05/2026
Feyenoord,Denzell García,Defensive Midfield,22,FC Juárez,6000000.0,,23/04/2026
Feyenoord,Emmanuel Fernandez,Centre-Back,24,Rangers FC,18000000.0,,19/04/2026
Fortuna Sittard,Shiloh 't Zand,Attacking Midfield,23,Feyenoord U21,300000.0,,10/07/2026
Go Ahead Eagles,Jakub Lewicki,Left-Back,20,Piast Gliwice,800000.0,,08/07/2026
Go Ahead Eagles,Lorenzo Cordaro,Goalkeeper,21,US Pergolettese 1932,350000.0,,08/05/2026
Go Ahead Eagles,Emmanuel Poku,Right Winger,20,Almere City FC,800000.0,,07/05/2026
Heerenveen,Alexandru Dobre,Right Winger,27,FC Rapid 1923,3000000.0,,28/06/2026
Heerenveen,Filip Djuricic,Attacking Midfield,34,Without ClubWithout Club,800000.0,,14/06/2026
Heerenveen,Dirk Proper,Defensive Midfield,24,NEC Nijmegen,1500000.0,,11/06/2026
Heerenveen,Cedric Hatenboer,Defensive Midfield,21,RSC Anderlecht,2000000.0,,03/06/2026
Heerenveen,Ádin Molnár,Right Midfield,22,Raków Częstochowa,800000.0,,30/04/2026
Heerenveen,Alen Dizdarevic,Central Midfield,22,Helmond Sport,350000.0,,21/04/2026
NAC Breda,Bobby Adekanye,Right Winger,27,Without ClubWithout Club,550000.0,,02/07/2026
Sparta R.,Maxime Delanghe,Goalkeeper,25,Cercle Brugge,1500000.0,,15/06/2026
Sparta R.,Dirk Proper,Defensive Midfield,24,NEC Nijmegen,1500000.0,,11/06/2026
Sparta R.,Cedric Hatenboer,Defensive Midfield,21,RSC Anderlecht,2000000.0,,03/06/2026
Sparta R.,Noah Makanza,Central Midfield,21,KV Mechelen,450000.0,,22/04/2026
Telstar,Fabiano Rust,Attacking Midfield,21,Without ClubWithout Club,,,24/06/2026
Telstar,Gabi Caschili,Right-Back,22,Without ClubWithout Club,200000.0,,24/06/2026
Telstar,Prince Aning,Left-Back,22,Without ClubWithout Club,175000.0,,24/06/2026
Telstar,Fofin Turay,Left Winger,22,Without ClubWithout Club,100000.0,,24/06/2026
Telstar,Cedric Hatenboer,Defensive Midfield,21,RSC Anderlecht,2000000.0,,03/06/2026
Twente,Kayne van Oevelen,Goalkeeper,22,FC Volendam,2000000.0,,01/07/2026
Twente,Michał Rosiak,Right Midfield,20,Slask Wroclaw,300000.0,,30/06/2026
Twente,Simun Hrgovic,Left-Back,22,HNK Hajduk Split,3000000.0,,09/06/2026
Twente,Cedric Hatenboer,Defensive Midfield,21,RSC Anderlecht,2000000.0,,03/06/2026
Twente,Gjivai Zechiël,Central Midfield,22,Feyenoord Rotterdam,10000000.0,,22/05/2026
Twente,Mees Laros,Central Midfield,21,FC Den Bosch,600000.0,,19/05/2026
Twente,Maas Willemsen,Centre-Back,23,SC Heerenveen,4500000.0,,16/05/2026
Twente,Luuk de Jong,Centre-Forward,35,Without ClubWithout Club,500000.0,,09/05/2026
Twente,Emmanuel Poku,Right Winger,20,Almere City FC,800000.0,,07/05/2026
Twente,Hans Hateboer,Right-Back,32,Without ClubWithout Club,1800000.0,,05/05/2026
Twente,Robert-Jan Vanwesemael,Right-Back,24,Sint-Truidense VV,3000000.0,,28/04/2026
Zwolle,Siad Gourville,Centre-Back,26,RAAL La Louvière,800000.0,,31/05/2026
