target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
AVS Futebol,Dani Rebollo,Goalkeeper,26,Avs Futebol,200000.0,,28/06/2026
AVS Futebol,Gabriel,Centre-Back,22,Cuiabá Esporte Clube (MT),700000.0,,19/06/2026
Alverca,Amadou Coundoul,Centre-Forward,24,Sporting Gijón,200000.0,,30/06/2026
Alverca,Thalys,Centre-Forward,21,UD Almería,4000000.0,,26/06/2026
Alverca,Diego Callai,Goalkeeper,21,Sporting CP B,1500000.0,,13/05/2026
Alverca,Filip Milojevic,Centre-Back,21,SCR Altach,1000000.0,,07/05/2026
Alverca,Adoniayah Aemiro,Goalkeeper,20,Orange County SC Academy,,,24/04/2026
Benfica,Darío Osorio,Right Winger,22,FC Midtjylland,15000000.0,,08/07/2026
Benfica,Equi Fernández,Defensive Midfield,23,Bayer 04 Leverkusen,20000000.0,35,08/07/2026
Benfica,Răzvan Marincean,Left Winger,17,FCV Farul U18,,,07/07/2026
Benfica,Konstantinos Koulierakis,Centre-Back,22,VfL Wolfsburg,25000000.0,34,06/07/2026
Benfica,Tiago Gabriel,Centre-Back,21,US Lecce,15000000.0,,05/07/2026
Benfica,Sergio Arribas,Attacking Midfield,24,UD Almería,20000000.0,,04/07/2026
Benfica,Luís Silva,Defensive Midfield,16,CD Feirense Sub-17,,,03/07/2026
Benfica,André Luiz,Right Winger,24,Olympiacos Piraeus,6000000.0,,29/06/2026
Benfica,Juan Jesus,Centre-Back,35,Without ClubWithout Club,1500000.0,,27/06/2026
Benfica,José María Giménez,Centre-Back,31,Atlético de Madrid,9000000.0,,27/06/2026
Benfica,Kaio Jorge,Centre-Forward,24,Cruzeiro Esporte Clube,25000000.0,,27/06/2026
Benfica,Akam Hashem,Centre-Back,27,Without ClubWithout Club,700000.0,50,24/06/2026
Benfica,Franco Mastantuono,Right Winger,18,Real Madrid,45000000.0,,24/06/2026
Benfica,Ibrahima Ba,Centre-Back,21,FC Famalicão,12000000.0,,23/06/2026
Benfica,Dzenan Pejcinovic,Centre-Forward,21,VfL Wolfsburg,15000000.0,,22/06/2026
Benfica,Enzo Boyomo,Centre-Back,24,CA Osasuna,15000000.0,,22/06/2026
Benfica,Gabriel Índio,Centre-Back,17,Athletic Club U20,50000.0,,22/06/2026
Benfica,Jan Virgili,Left Winger,19,RCD Mallorca,15000000.0,,19/06/2026
Benfica,Mauro Icardi,Centre-Forward,33,Without ClubWithout Club,4000000.0,66,19/06/2026
Benfica,Taras Mykhavko,Centre-Back,21,Dynamo Kyiv,10000000.0,,15/06/2026
Benfica,Abner,Left-Back,26,Olympique Lyon,10000000.0,,12/06/2026
Benfica,Ederson,Goalkeeper,32,Fenerbahce,10000000.0,,11/06/2026
Benfica,Harry Wilson,Right Winger,29,Leeds United,25000000.0,,08/06/2026
Benfica,Sebastián Osorio,Attacking Midfield,18,Universitario de Deportes II,25000.0,,05/06/2026
Benfica,Lukas Hornicek,Goalkeeper,23,SC Braga,18000000.0,,03/06/2026
Braga,Renato Sanches,Central Midfield,28,Paris Saint-Germain,2000000.0,,29/06/2026
Braga,Cédric Soares,Right-Back,34,São Paulo Futebol Clube,500000.0,,19/06/2026
Braga,Marcus Linday,Central Midfield,23,SC Heerenveen,5000000.0,,18/06/2026
Braga,Lucas Stassin,Centre-Forward,21,AS Saint-Étienne,15000000.0,,09/06/2026
Braga,Gabriel Silva,Left Winger,24,SC Braga,7000000.0,,09/06/2026
Braga,Sorriso,Left Winger,25,FC Famalicão,5000000.0,,05/06/2026
Braga,Metinho,Central Midfield,23,FC Basel 1893,8000000.0,,23/05/2026
Braga,Bernardo,Goalkeeper,23,SC Braga,5000000.0,,20/05/2026
Braga,Roberto Fernández,Centre-Forward,24,RCD Espanyol Barcelona,10000000.0,,18/05/2026
Braga,Diogo Travassos,Right-Back,22,SC Braga,6000000.0,,11/05/2026
Braga,Tiago Gouveia,Right Winger,25,SL Benfica,3500000.0,,06/05/2026
Braga,Chupe,Centre-Forward,21,Málaga CF,10000000.0,,25/04/2026
Casa Pia,Gabi,Central Midfield,26,FC Felgueiras 1932,550000.0,,02/07/2026
Estoril,Cédric Soares,Right-Back,34,São Paulo Futebol Clube,500000.0,,19/06/2026
Estoril,Elves Baldé,Right Winger,26,Radomiak Radom,500000.0,,09/06/2026
Estoril,Fernando Medrano,Left-Back,26,GD Estoril Praia,500000.0,,08/06/2026
Estrela,Augusto Owusu,Central Midfield,21,Juventus Next Gen,600000.0,,01/07/2026
Estrela,Guilherme Fernandes,Goalkeeper,25,Real Betis Balompié,800000.0,,30/06/2026
Estrela,Maximilian Hennig,Left-Back,19,FC Bayern Munich II,800000.0,,28/06/2026
Estrela,Bénito,Left Winger,22,CF Estrela Amadora,,,23/06/2026
Estrela,Diego Callai,Goalkeeper,21,Sporting CP B,1500000.0,,25/05/2026
Famalicão,Georgios Koutsias,Centre-Forward,22,FC Lugano,2000000.0,,03/06/2026
Famalicão,Naves,Centre-Back,24,Sociedade Esportiva Palmeiras,4000000.0,,23/05/2026
Famalicão,Michel Mboula,Centre-Back,23,FC Metz,900000.0,,14/05/2026
Gil Vicente FC,Diogo Prioste,Central Midfield,22,Gil Vicente FC,2000000.0,,30/06/2026
Gil Vicente FC,David Moreira,Centre-Back,22,Gil Vicente FC,1700000.0,,28/06/2026
Gil Vicente FC,José Silva,Right-Back,20,Gil Vicente FC,500000.0,,28/06/2026
Gil Vicente FC,Heinz Mörschel,Attacking Midfield,28,FC Vizela,1200000.0,,26/06/2026
Gil Vicente FC,Guilherme Fernandes,Goalkeeper,25,Real Betis Balompié,800000.0,,17/06/2026
Gil Vicente FC,Mikael,Centre-Forward,27,Clube de Regatas Brasil (AL),800000.0,,14/06/2026
