target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Angers,Branco van den Boomen,Central Midfield,30,Ajax Amsterdam,2500000.0,,02/07/2026
Angers,Florián Monzón,Centre-Forward,25,CA Vélez Sarsfield,2500000.0,,30/06/2026
Angers,Jacques Siwe,Centre-Forward,24,Rubin Kazan,2500000.0,,16/06/2026
Angers,Anthony Bermont,Left Winger,21,Angers SCO,1000000.0,,11/06/2026
Angers,Alexis Trouillet,Central Midfield,25,Rodez AF,800000.0,,06/06/2026
Auxerre,Mamadou Diop,Goalkeeper,26,AJ Auxerre,1500000.0,66,04/07/2026
Auxerre,Christ Makosso,Centre-Back,22,Luton Town,800000.0,,30/06/2026
Auxerre,Kylian Madi,Right Midfield,17,SC Aubagne Air Bel U17,50000.0,,24/06/2026
Auxerre,Arthur Piedfort,Defensive Midfield,21,AJ Auxerre,4000000.0,,17/06/2026
Auxerre,Taïryk Arconte,Centre-Forward,22,Millwall FC,3000000.0,,06/06/2026
Auxerre,Danny Namaso,Left Winger,25,AJ Auxerre,6000000.0,,18/05/2026
Brest,Mohamed Hany,Right-Back,30,Al Ahly FC,1500000.0,,19/06/2026
Brest,Alexis Trouillet,Central Midfield,25,Rodez AF,800000.0,,06/06/2026
Brest,Andy Pelmard,Centre-Back,26,Clermont Foot 63,2000000.0,,18/04/2026
Le Havre,Aïmen Moueffek,Central Midfield,25,AS Saint-Étienne,2000000.0,,01/07/2026
Le Havre,Mohamed Abdallah,Right Winger,20,Al Ahly FC,200000.0,,30/06/2026
Le Havre,Thierno Ballo,Left Winger,24,Wolfsberger AC,6000000.0,36,30/06/2026
Le Havre,Ugo Raghouber,Defensive Midfield,22,LOSC Lille,3000000.0,,29/06/2026
Lens,Gift Links,Left Midfield,27,Aarhus GF,2500000.0,,03/07/2026
Lens,Rick van Drongelen,Centre-Back,27,Samsunspor,6000000.0,36,21/06/2026
Lens,Thomas Jørgensen,Central Midfield,20,Viborg FF,5000000.0,,21/06/2026
Lens,Lucas Gourna-Douath,Defensive Midfield,22,Red Bull Salzburg,6000000.0,,20/06/2026
Lens,Youssef Belammari,Left-Back,27,Al Ahly FC,1200000.0,,19/06/2026
Lens,Cyriaque Irié,Right Winger,21,SC Freiburg,8000000.0,,17/06/2026
Lens,Cheveyo Tsawa,Central Midfield,19,FC Zürich,6000000.0,,14/06/2026
Lens,Ibrahim Karamoko,Centre-Back,24,Standard Liège,3000000.0,,11/06/2026
Lens,Eduard Spertsyan,Attacking Midfield,26,FC Krasnodar,25000000.0,,05/06/2026
Lens,Mohamed Alì Zoma,Second Striker,22,1.FC Nuremberg,8000000.0,,04/06/2026
Lens,Elye Wahi,Centre-Forward,23,Eintracht Frankfurt,18000000.0,,21/05/2026
Lens,Loïs Openda,Centre-Forward,26,Juventus FC,25000000.0,,18/05/2026
Lens,Martin Adeline,Attacking Midfield,22,ESTAC Troyes,10000000.0,,18/05/2026
Lens,Thomas Lemar,Attacking Midfield,30,Atlético de Madrid,1800000.0,,14/05/2026
Lens,Oussama Targhalline,Defensive Midfield,24,Feyenoord Rotterdam,16000000.0,,12/05/2026
Lens,Akram Bouras,Central Midfield,24,Levski Sofia,2000000.0,,09/05/2026
Lens,Tawfik Bentayeb,Centre-Forward,24,Union Touarga Sportif,8000000.0,,01/05/2026
