target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Atalanta,Kerim Alajbegovic,Left Winger,18,Bayer 04 Leverkusen,22000000.0,51,13/07/2026
Atalanta,Ardon Jashari,Defensive Midfield,23,AC Milan,25000000.0,,10/07/2026
Atalanta,Samuele Ricci,Defensive Midfield,24,AC Milan,22000000.0,,09/07/2026
Atalanta,Tino Kusanovic,Centre-Forward,18,1.FC Nuremberg II,300000.0,,08/07/2026
Atalanta,Albert Gudmundsson,Second Striker,29,ACF Fiorentina,12000000.0,,08/07/2026
Atalanta,Kamil Grabara,Goalkeeper,27,VfL Wolfsburg,12000000.0,36,07/07/2026
Atalanta,Breno Bidon,Central Midfield,21,Sport Club Corinthians Paulista,22000000.0,,01/07/2026
Atalanta,Mandela Keita,Defensive Midfield,24,Parma Calcio 1913,20000000.0,,30/06/2026
Atalanta,Gabriele Guarino,Centre-Back,22,FC Empoli,3500000.0,,29/06/2026
Atalanta,Thelo Aasgaard,Attacking Midfield,24,Rangers FC,2800000.0,,29/06/2026
Atalanta,Nicolas Raskin,Defensive Midfield,25,Rangers FC,12000000.0,,29/06/2026
Atalanta,Juanlu Sánchez,Right-Back,22,Sevilla FC,10000000.0,,28/06/2026
Atalanta,Mauricio,Attacking Midfield,25,Sociedade Esportiva Palmeiras,15000000.0,,27/06/2026
Atalanta,Gustavo Puerta,Central Midfield,22,Racing Santander,10000000.0,,27/06/2026
Atalanta,Nicolò Savona,Right-Back,23,Nottingham Forest,15000000.0,,26/06/2026
Atalanta,Pierre-Emile Højbjerg,Defensive Midfield,30,Olympique Marseille,15000000.0,,25/06/2026
Atalanta,Costantino Favasuli,Right Midfield,22,US Catanzaro,4000000.0,,17/06/2026
Atalanta,Nicolò Rovella,Defensive Midfield,24,SS Lazio,23000000.0,,16/06/2026
Atalanta,Andrea Natali,Centre-Back,18,Bayer 04 Leverkusen U19,400000.0,,16/06/2026
Atalanta,Antonio Vergara,Attacking Midfield,23,SSC Napoli,15000000.0,,09/06/2026
Atalanta,Jordan James,Central Midfield,22,Stade Rennais FC,12000000.0,,04/06/2026
Atalanta,Martinelli,Defensive Midfield,24,Fluminense Football Club,16000000.0,,03/06/2026
Atalanta,Danilo,Central Midfield,25,Botafogo de Futebol e Regatas,32000000.0,,28/05/2026
Atalanta,Léo Scienza,Attacking Midfield,27,Southampton FC,12000000.0,,18/05/2026
Atalanta,Nobel Mendy,Centre-Back,21,Rayo Vallecano,7500000.0,,30/04/2026
Bologna,Carlos Espí,Centre-Forward,20,Levante UD,20000000.0,,13/07/2026
Bologna,Andrej Vasovic,Centre-Forward,18,FC Luzern,1500000.0,28,11/07/2026
Bologna,Luka Stojkovic,Attacking Midfield,22,GNK Dinamo Zagreb,7000000.0,,10/07/2026
Bologna,Mikel Amondarain,Central Midfield,21,Club Estudiantes de La Plata,3500000.0,,09/07/2026
Bologna,Lasse Günther,Left-Back,23,SV 07 Elversberg,2500000.0,39,08/07/2026
Bologna,Rosen Bozhinov,Centre-Back,21,Pisa Sporting Club,4000000.0,,08/07/2026
Bologna,Jesús Vázquez,Left-Back,23,Valencia CF,4000000.0,,08/07/2026
Bologna,Ognjen Ugresic,Central Midfield,19,FK Partizan Belgrade,10000000.0,22,08/07/2026
Bologna,Michael Folorunsho,Central Midfield,28,SSC Napoli,5000000.0,,08/07/2026
Bologna,Yanis Massolin,Attacking Midfield,23,Inter Milan,4500000.0,,07/07/2026
Bologna,Petko Panayotov,Central Midfield,20,CSKA Sofia,750000.0,,07/07/2026
Bologna,Ivan Zhelizko,Defensive Midfield,25,Lechia Gdansk,4000000.0,,06/07/2026
Bologna,Connor Barron,Defensive Midfield,23,Rangers FC,2500000.0,,06/07/2026
Bologna,Peer Koopmeiners,Defensive Midfield,26,AZ Alkmaar,12000000.0,54,03/07/2026
Bologna,Víctor Valdepeñas,Centre-Back,19,Real Madrid Castilla,5000000.0,,03/07/2026
Bologna,Nikolas Sattlberger,Defensive Midfield,22,KRC Genk,2200000.0,,01/07/2026
Bologna,Fabio Miretti,Central Midfield,22,Juventus FC,15000000.0,58,29/06/2026
Bologna,Nicolas Raskin,Defensive Midfield,25,Rangers FC,12000000.0,,29/06/2026
Bologna,Robin Mirisola,Centre-Forward,19,KRC Genk,4000000.0,,28/06/2026
Bologna,Kevin Rodríguez,Centre-Forward,26,Union Saint-Gilloise,6000000.0,,28/06/2026
Bologna,Moritz Jenz,Centre-Back,27,VfL Wolfsburg,5000000.0,,24/06/2026
Bologna,Vasilije Adžić,Attacking Midfield,20,Juventus FC,8000000.0,,23/06/2026
Bologna,Ebenezer Akinsanmiro,Central Midfield,21,Inter Milan,7000000.0,,23/06/2026
Bologna,Kieron Bowie,Centre-Forward,23,Hellas Verona,7000000.0,,23/06/2026
Bologna,Yusuf Akçiçek,Centre-Back,20,Al-Hilal SFC,14000000.0,,22/06/2026
Cagliari,Raphael Kofler,Centre-Back,21,FC Südtirol,5500000.0,,14/07/2026
Cagliari,Harry Winks,Defensive Midfield,30,Leicester City,2500000.0,88,13/07/2026
Cagliari,Martin Palumbo,Attacking Midfield,24,US Avellino 1912,1500000.0,,10/07/2026
Cagliari,Daniel Maldini,Attacking Midfield,24,Atalanta BC,9000000.0,,09/07/2026
Cagliari,Mërgim Vojvoda,Right-Back,31,Como 1907,2500000.0,,08/07/2026
Cagliari,Kieron Bowie,Centre-Forward,23,Hellas Verona,7000000.0,,06/07/2026
Cagliari,Andrea Natali,Centre-Back,18,Bayer 04 Leverkusen U19,400000.0,,04/07/2026
Cagliari,Romano Floriani Mussolini,Right-Back,23,SS Lazio,2500000.0,,04/07/2026
Cagliari,Costantino Favasuli,Right Midfield,22,US Catanzaro,4000000.0,,01/07/2026
Cagliari,Michel Aebischer,Central Midfield,29,Pisa Sporting Club,4000000.0,,22/06/2026
Cagliari,Remus Guțea,Left Midfield,19,FC Voluntari,275000.0,,21/06/2026
Cagliari,Mattia Esposito,Second Striker,18,Sorrento 1945,500000.0,,20/06/2026
Cagliari,Armando Broja,Centre-Forward,24,Burnley FC,5000000.0,,20/06/2026
Cagliari,Francesco Camarda,Centre-Forward,18,AC Milan,15000000.0,,16/06/2026
Cagliari,Yanis Massolin,Attacking Midfield,23,Inter Milan,4500000.0,,16/06/2026
Cagliari,Filip Kostić,Left Midfield,33,Without ClubWithout Club,2000000.0,,16/06/2026
Cagliari,Mattia Liberali,Attacking Midfield,19,US Catanzaro,8500000.0,,10/06/2026
Cagliari,John Kennedy,Centre-Forward,24,Fluminense Football Club,9000000.0,,05/06/2026
Cagliari,David Romero,Centre-Forward,23,Club Atlético Tigre,5000000.0,,04/06/2026
Cagliari,Thomas Berenbruch,Central Midfield,21,Inter U23,1000000.0,,04/06/2026
Cagliari,Davide Calabria,Right-Back,29,Panathinaikos,4500000.0,,02/06/2026
Cagliari,Bogdan Popov,Centre-Forward,19,FC Empoli,2800000.0,,29/05/2026
Como,Davinson Sánchez,Centre-Back,30,Galatasaray,16000000.0,43,11/07/2026
Como,Franjo Ivanović,Centre-Forward,22,SL Benfica,15000000.0,,09/07/2026
Como,Yan Couto,Right-Back,24,Borussia Dortmund,17000000.0,61,08/07/2026
Como,Trevoh Chalobah,Centre-Back,27,Chelsea FC,40000000.0,39,08/07/2026
Como,Issa Diop,Centre-Back,29,Fulham FC,8000000.0,,06/07/2026
Como,Anan Khalaili,Right Midfield,21,Union Saint-Gilloise,23000000.0,,06/07/2026
Como,René Mitongo,Centre-Forward,18,Standard Liège,1000000.0,,05/07/2026
Como,İsmail Yüksek,Defensive Midfield,27,Fenerbahce,15000000.0,86,05/07/2026
Como,Gonçalo Inácio,Centre-Back,24,Sporting CP,40000000.0,,02/07/2026
Como,Oumar Solet,Centre-Back,26,Udinese Calcio,23000000.0,,02/07/2026
Como,Tosin Adarabioyo,Centre-Back,28,Chelsea FC,16000000.0,20,02/07/2026
Como,Mattia Liberali,Attacking Midfield,19,US Catanzaro,8500000.0,87,01/07/2026
Como,Ermin Mahmic,Attacking Midfield,21,FC Slovan Liberec,5000000.0,,29/06/2026
Como,Jerome Opoku,Centre-Back,27,Basaksehir FK,5000000.0,,29/06/2026
Como,Antonio Vergara,Attacking Midfield,23,SSC Napoli,15000000.0,,26/06/2026
Como,César Palacios,Attacking Midfield,21,Real Madrid,7500000.0,,25/06/2026
Como,Ali Camara,Right Winger,18,Jong Genk,350000.0,,25/06/2026
Como,Andreas Schjelderup,Left Winger,22,SL Benfica,30000000.0,,23/06/2026
Como,Nicolò Cambiaghi,Left Winger,25,Bologna FC 1909,14000000.0,,23/06/2026
Como,Agustín Giay,Right-Back,22,Sociedade Esportiva Palmeiras,10000000.0,,20/06/2026
Como,Pedro Gonçalves,Left Winger,28,Sporting CP,25000000.0,,20/06/2026
Como,Niccolò Pisilli,Central Midfield,21,AS Roma,30000000.0,,17/06/2026
Como,Jaouen Hadjam,Left-Back,23,BSC Young Boys,7000000.0,,17/06/2026
Como,Nicolò Tresoldi,Centre-Forward,21,Club Brugge KV,25000000.0,,12/06/2026
Como,Gonzalo García,Centre-Forward,22,Real Madrid,30000000.0,,10/06/2026
Cremonese,Fabio Gerli,Defensive Midfield,29,Modena FC,1000000.0,,10/07/2026
Cremonese,Argyris Darelas,Attacking Midfield,22,Without ClubWithout Club,325000.0,,09/07/2026
Cremonese,Fellipe Jack,Centre-Back,20,Como 1907,2500000.0,93,07/07/2026
Cremonese,Samuele Damiani,Defensive Midfield,28,Ascoli Calcio,500000.0,,06/07/2026
Cremonese,Simone Trimboli,Central Midfield,24,Mantova 1911,2000000.0,,28/06/2026
Cremonese,Dimitrios Nikolaou,Centre-Back,27,Palermo FC,700000.0,,29/05/2026
Lazio,Danilho Doekhi,Centre-Back,28,Without ClubWithout Club,13000000.0,90,14/07/2026
Lazio,Sergi Domínguez,Centre-Back,21,GNK Dinamo Zagreb,9000000.0,72,14/07/2026
Lazio,Connor Barron,Defensive Midfield,23,Rangers FC,2500000.0,,13/07/2026
Lazio,James Rodríguez,Attacking Midfield,35,Without ClubWithout Club,1500000.0,,12/07/2026
Lazio,Bruno Galassi,Central Midfield,19,Real Madrid C,100000.0,,11/07/2026
Lazio,Luka Stojkovic,Attacking Midfield,22,GNK Dinamo Zagreb,7000000.0,,11/07/2026
