detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-07T15:50:34,Club Brugge,Nordin Jackers,nordin jackers,250543,2024-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/250543-1705416091.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Axl De Corte,axl de corte,1073654,2025-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1073654-1692209584.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Joel Ordóñez,joel ordonez,893661,2023-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/893661-1666292051.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Jorne Spileers,jorne spileers,743381,2023-01-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/743381-1705658468.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Brandon Mechele,brandon mechele,236168,2013-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/236168-1704874625.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Vince Osuji,vince osuji,1285176,2025-01-23,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1285176-1753180351.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Joaquin Seys,joaquin seys,981196,2024-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/981196-1754511396.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Bjorn Meijer,bjorn meijer,594227,2022-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/594227-1673726046.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Kyriani Sabbe,kyriani sabbe,743122,2023-01-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/743122-1705056437.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Hugo Siquet,hugo siquet,578680,2024-07-23,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/578680-1754510812.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Raphael Onyedika,raphael onyedika,699783,2022-08-28,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/699783-1754511026.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Lynnt Audoor,lynnt audoor,623095,2025-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/623095-1704452328.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Hugo Vetlesen,hugo vetlesen,499758,2023-07-03,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/499758-1754511519.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Ludovit Reis,ludovit reis,490884,2025-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/490884-1728397902.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Alejandro Granados,alejandro granados,998205,2025-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/998205-1753180480.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Félix Lemaréchal,felix lemarechal,659518,2026-01-24,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/659518-1732576183.png?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Hans Vanaken,hans vanaken,137576,2015-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/137576-1705414489.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Cisse Sandra,cisse sandra,632088,2021-01-15,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/632088-1745075831.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Tian Nai Koren,tian nai koren,1191293,2026-07-01,2029-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/1191293-1777537484.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Christos Tzolis,christos tzolis,451677,2024-07-04,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/451677-1754510866.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Mamadou Diakhon,mamadou diakhon,1054839,2025-08-18,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1054839-1723837204.png?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Shandre Campbell,shandre campbell,1159786,2025-02-02,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1159786-1754511168.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Carlos Forbs,carlos forbs,742451,2025-07-17,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/742451-1721657852.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
2026-07-07T15:50:34,Club Brugge,Nicolò Tresoldi,nicolo tresoldi,717329,2025-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/717329-1754510555.jpg?lm=1,https://www.transfermarkt.com/fc-brugge/kader/verein/2282/plus/1
