detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-05T23:48:51,Augsburg,Finn Dahmen,finn dahmen,251299,2023-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/251299-1755200500.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Nediljko Labrovic,nediljko labrovic,610190,2024-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/610190-1755200567.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Chrislain Matsima,chrislain matsima,569383,2025-07-01,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/569383-1755200922.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Noahkai Banks,noahkai banks,923945,2024-07-10,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/923945-1755200998.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Keven Schlotterbeck,keven schlotterbeck,413843,2024-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/413843-1755201026.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Calvin Brackelmann,calvin brackelmann,358766,2026-07-01,2030-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/358766-1734014318.JPG?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Jeffrey Gouweleeuw,jeffrey gouweleeuw,106405,2016-01-09,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/106405-1755201296.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Felix Meiser,felix meiser,1069641,2025-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1069641-1755201345.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Dimitrios Giannoulis,dimitrios giannoulis,295630,2024-07-23,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/295630-1755201178.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Mads Pedersen,mads pedersen,288429,2019-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/288429-1755201256.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Oliver Sorg,oliver sorg,960444,2025-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/960444-1755200367.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Marius Wolf,marius wolf,193900,2024-08-08,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/193900-1755201094.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Kristijan Jakic,kristijan jakic,374954,2024-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/374954-1755201482.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Robin Fellhauer,robin fellhauer,264960,2025-07-01,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/264960-1755201733.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Yannik Keitel,yannik keitel,342039,2026-01-03,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/342039-1773661370.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Tim Breithaupt,tim breithaupt,569457,2023-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/569457-1755201662.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Mahmut Kücüksahin,mahmut kucuksahin,730486,2024-07-17,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/730486-1755201696.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
2026-07-05T23:48:51,Augsburg,Han-Noah Massengo,han-noah massengo,536508,2025-07-15,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/536508-1755200310.jpg?lm=1,https://www.transfermarkt.com/fc-augsburg/kader/verein/167/plus/1
