detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-03T08:31:07,Alavés,Antonio Sivera,antonio sivera,298197,2017-07-19,2017-07-19,,https://img.a.transfermarkt.technology/portrait/medium/298197-1713856039.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Grégoire Swiderski,gregoire swiderski,1063990,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Raúl Fernández,raul fernandez,54217,2025-07-14,2025-07-14,,https://img.a.transfermarkt.technology/portrait/medium/54217-1498749052.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Rubén Montero,ruben montero,948253,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Jon Pacheco,jon pacheco,580560,2025-08-25,2025-08-25,,https://img.a.transfermarkt.technology/portrait/medium/580560-1631178086.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Moussa Diarra,moussa diarra,694509,2024-07-18,2024-07-18,,https://img.a.transfermarkt.technology/portrait/medium/694509-1708555512.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Ville Koski,ville koski,581326,2026-07-01,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/581326-1768659999.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Nikola Maras,nikola maras,258475,2023-07-01,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/258475-1726303551.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Xanet Oláiz,xanet olaiz,941155,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
2026-07-03T08:31:07,Alavés,Álvaro García,alvaro garcia,1064403,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/deportivo-alaves/kader/verein/1108/saison_id/2025/plus/1
