squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Arsenal,Ben White,Right-Back,Knee injury,20/07/2026,30000000,335721,https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1,2026-07-03,true
Arsenal,Jurriën Timber,Right-Back,Groin injury,,70000000,420243,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1,2026-07-03,true
Aston Villa,Boubacar Kamara,Defensive Midfield,Knee injury,24/10/2026,40000000,394327,https://img.a.transfermarkt.technology/portrait/medium/394327-1736160460.jpg?lm=1,2026-07-03,true
Bournemouth,Matai Akinmboni,Centre-Back,Muscle injury,,1000000,994604,https://img.a.transfermarkt.technology/portrait/medium/994604-1709490110.jpg?lm=1,2026-07-03,true
Bournemouth,Romain Faivre,Attacking Midfield,Knock,,4000000,555076,https://img.a.transfermarkt.technology/portrait/medium/555076-1672831296.jpg?lm=1,2026-07-03,true
Bournemouth,Will Dennis,Goalkeeper,Ankle injury,,325000,582078,https://img.a.transfermarkt.technology/portrait/medium/582078-1651653108.jpg?lm=1,2026-07-03,true
Brentford,Antoni Milambo,Attacking Midfield,Cruciate ligament tear,01/08/2026,15000000,683620,https://img.a.transfermarkt.technology/portrait/medium/683620-1691146656.jpg?lm=1,2026-07-03,true
Brentford,Fábio Carvalho,Attacking Midfield,Cruciate ligament tear,01/09/2026,8000000,559263,https://img.a.transfermarkt.technology/portrait/medium/559263-1687517452.jpg?lm=1,2026-07-03,true
Brentford,Jannik Schuster,Centre-Back,Hip flexor problems,,18000000,915418,https://img.a.transfermarkt.technology/portrait/medium/915418-1754993245.png?lm=1,2026-07-03,true
Brentford,Yegor Yarmolyuk,Central Midfield,unknown injury,,32000000,717411,https://img.a.transfermarkt.technology/portrait/medium/717411-1740606151.jpg?lm=1,2026-07-03,true
Brighton,Stefanos Tzimas,Centre-Forward,Cruciate ligament tear,01/09/2026,18000000,950091,https://img.a.transfermarkt.technology/portrait/medium/950091-1722955946.jpg?lm=1,2026-07-03,true
Chelsea,Caleb Wiley,Left-Back,Adductor injury,,8000000,746833,https://img.a.transfermarkt.technology/portrait/medium/746833-1732575786.png?lm=1,2026-07-03,true
Chelsea,Emmanuel Emegha,Centre-Forward,Dead leg,,25000000,559328,https://img.a.transfermarkt.technology/portrait/medium/559328-1732575392.png?lm=1,2026-07-03,true
Chelsea,Estêvão,Right Winger,Hamstring injury,27/07/2026,80000000,1056993,https://img.a.transfermarkt.technology/portrait/medium/1056993-1766148652.jpg?lm=1,2026-07-03,true
Coventry City,Miguel Ángel Brau,Left-Back,unknown injury,,1000000,713649,https://img.a.transfermarkt.technology/portrait/medium/713649-1733831034.jpg?lm=1,2026-07-03,true
Coventry City,Oliver Dovin,Goalkeeper,Cruciate ligament tear,,2000000,527329,https://img.a.transfermarkt.technology/portrait/medium/527329-1637671679.jpg?lm=1,2026-07-03,true
Crystal Palace,Caleb Kporha,Right-Back,Back injury,,1000000,1047261,https://img.a.transfermarkt.technology/portrait/medium/1047261-1736159500.jpg?lm=1,2026-07-03,true
Everton,Hayden Hackney,Defensive Midfield,unknown injury,,32000000,538216,https://img.a.transfermarkt.technology/portrait/medium/538216-1679665183.jpg?lm=1,2026-07-03,true
Hull City,Darko Gyabi,Central Midfield,Groin injury,,2000000,663264,https://img.a.transfermarkt.technology/portrait/medium/663264-1656928941.jpg?lm=1,2026-07-03,true
Hull City,Eliot Matazo,Central Midfield,Cruciate ligament tear,30/11/2026,1500000,535834,https://img.a.transfermarkt.technology/portrait/medium/535834-1706869303.jpg?lm=1,2026-07-03,true
Ipswich Town,Kasey McAteer,Right Midfield,unknown injury,,10000000,621193,https://img.a.transfermarkt.technology/portrait/medium/621193-1731659829.jpg?lm=1,2026-07-03,true
Leeds United,Ilia Gruev,Defensive Midfield,Knee injury,13/07/2026,12000000,381753,https://img.a.transfermarkt.technology/portrait/medium/381753-1724940121.jpg?lm=1,2026-07-03,true
Leeds United,Mateo Joseph,Centre-Forward,Cruciate ligament tear,01/02/2027,3500000,834742,https://img.a.transfermarkt.technology/portrait/medium/834742-1749739164.jpg?lm=1,2026-07-03,true
Leeds United,Sean Longstaff,Central Midfield,Groin injury,27/07/2026,15000000,346707,https://img.a.transfermarkt.technology/portrait/medium/346707-1682341336.jpg?lm=1,2026-07-03,true
Liverpool,Hugo Ekitiké,Centre-Forward,Achilles tendon rupture,31/12/2026,80000000,709726,https://img.a.transfermarkt.technology/portrait/medium/709726-1758714741.jpg?lm=1,2026-07-03,true
Liverpool,Wataru Endo,Defensive Midfield,Foot injury,,4000000,146310,https://img.a.transfermarkt.technology/portrait/medium/146310-1657181542.jpg?lm=1,2026-07-03,true
Manchester Utd,Manuel Ugarte,Defensive Midfield,Cruciate ligament tear,,25000000,476701,https://img.a.transfermarkt.technology/portrait/medium/476701-1715107512.jpg?lm=1,2026-07-03,true
Newcastle United,Lewis Miley,Central Midfield,Broken fibula,13/07/2026,25000000,922769,https://img.a.transfermarkt.technology/portrait/medium/922769-1696453881.jpg?lm=1,2026-07-03,true
Newcastle United,Tino Livramento,Right-Back,Knee injury,,45000000,503981,https://img.a.transfermarkt.technology/portrait/medium/503981-1699383321.jpg?lm=1,2026-07-03,true
Nottingham Forest,Callum Hudson-Odoi,Left Winger,Leg injury,20/07/2026,30000000,392768,https://img.a.transfermarkt.technology/portrait/medium/392768-1659969850.png?lm=1,2026-07-03,true
Sunderland,Alan Browne,Central Midfield,unknown injury,,2000000,277697,https://img.a.transfermarkt.technology/portrait/medium/277697-1724771465.jpg?lm=1,2026-07-03,true
Sunderland,Jenson Seelt,Centre-Back,Knee injury,,5000000,617755,https://img.a.transfermarkt.technology/portrait/medium/617755-1756751142.jpg?lm=1,2026-07-03,true
Tottenham Hotspur,Dejan Kulusevski,Attacking Midfield,Knee surgery,27/07/2026,17000000,431755,https://img.a.transfermarkt.technology/portrait/medium/431755-1684943454.jpg?lm=1,2026-07-03,true
Tottenham Hotspur,Wilson Odobert,Left Winger,Cruciate ligament tear,28/11/2026,18000000,743498,https://img.a.transfermarkt.technology/portrait/medium/743498-1740605858.jpg?lm=1,2026-07-03,true
Tottenham Hotspur,Xavi Simons,Attacking Midfield,Cruciate ligament tear,20/02/2027,40000000,566931,https://img.a.transfermarkt.technology/portrait/medium/566931-1729778226.jpg?lm=1,2026-07-03,true
