squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Anderlecht,Ilay Camara,Right-Back,fracture,,3500000,570781,https://img.a.transfermarkt.technology/portrait/medium/570781-1779366722.jpg?lm=1,2026-07-07,true
Anderlecht,Lucas Hey,Centre-Back,fracture,,2500000,728924,https://img.a.transfermarkt.technology/portrait/medium/728924-1684943150.jpg?lm=1,2026-07-07,true
Cercle Brugge,Abdoul Kader Ouattara,Centre-Forward,Broken foot,,400000,1176433,https://img.a.transfermarkt.technology/portrait/medium/1176433-1753175523.jpg?lm=1,2026-07-07,true
Charleroi,Massamba Sow,Centre-Back,minor knock,,400000,959576,https://img.a.transfermarkt.technology/portrait/medium/959576-1734938201.jpg?lm=1,2026-07-07,true
Gent,Matisse Samoise,Right Midfield,Cruciate ligament tear,01/10/2026,2500000,705991,https://img.a.transfermarkt.technology/portrait/medium/705991-1706020225.jpg?lm=1,2026-07-07,true
KV Kortrijk,Suf Podgoreanu,Left Winger,unknown injury,,650000,540827,https://img.a.transfermarkt.technology/portrait/medium/540827-1745226640.jpg?lm=1,2026-07-07,true
Lommel SK,Filip Krastev,Attacking Midfield,Achilles tendon surgery,,3000000,486814,https://img.a.transfermarkt.technology/portrait/medium/486814-1773996434.png?lm=1,2026-07-07,true
Lommel SK,Jhon Banguera,Centre-Back,Cruciate ligament tear,,400000,975201,https://img.a.transfermarkt.technology/portrait/medium/975201-1713870227.png?lm=1,2026-07-07,true
SK Beveren,Ilyes Najim,Left Winger,Knee injury,,300000,796862,https://img.a.transfermarkt.technology/portrait/medium/796862-1669303507.png?lm=1,2026-07-07,true
Standard Liège,Josué Homawoo,Centre-Back,Achilles tendon rupture,,2000000,655143,https://img.a.transfermarkt.technology/portrait/medium/655143-1732263537.png?lm=1,2026-07-07,true
