squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Augsburg,Alexis Claude-Maurice,Attacking Midfield,Ankle problems,,15000000,384593,https://img.a.transfermarkt.technology/portrait/medium/384593-1755201378.jpg?lm=1,2026-07-03,true
Augsburg,Dimitrios Giannoulis,Left-Back,unknown injury,,3000000,295630,https://img.a.transfermarkt.technology/portrait/medium/295630-1755201178.jpg?lm=1,2026-07-03,true
Bayern Munich,Bryan Zaragoza,Left Winger,Inflammation in the knee,,8000000,713644,https://img.a.transfermarkt.technology/portrait/medium/713644-1714503809.jpg?lm=1,2026-07-03,true
Bayern Munich,David Santos Daiber,Defensive Midfield,Hamstring injury,04/08/2026,3000000,1118495,https://img.a.transfermarkt.technology/portrait/medium/1118495-1726492665.png?lm=1,2026-07-03,true
Bayern Munich,Lennart Karl,Attacking Midfield,Muscle tear,,60000000,1075147,https://img.a.transfermarkt.technology/portrait/medium/1075147-1759417800.jpg?lm=1,2026-07-03,true
Bayern Munich,Serge Gnabry,Second Striker,Adductor injury,20/07/2026,18000000,159471,https://img.a.transfermarkt.technology/portrait/medium/159471-1759909173.jpg?lm=1,2026-07-03,true
Dortmund,Emre Can,Centre-Back,Cruciate ligament tear,,3000000,119296,https://img.a.transfermarkt.technology/portrait/medium/119296-1709561046.jpg?lm=1,2026-07-03,true
Dortmund,Joane Gadou,Centre-Back,Knock,,20000000,1075577,https://img.a.transfermarkt.technology/portrait/medium/1075577-1754993513.png?lm=1,2026-07-03,true
Dortmund,Nico Schlotterbeck,Centre-Back,Inner ligament tear in ankle joint,,55000000,388198,https://img.a.transfermarkt.technology/portrait/medium/388198-1709560457.jpg?lm=1,2026-07-03,true
FC Schalke 04,Tomas Kalas,Centre-Back,Fitness,,250000,148657,https://img.a.transfermarkt.technology/portrait/medium/148657-1730797826.jpg?lm=1,2026-07-03,true
Frankfurt,Jessic Ngankam,Centre-Forward,Hamstring injury,,700000,448177,https://img.a.transfermarkt.technology/portrait/medium/448177-1770980028.png?lm=1,2026-07-03,true
Frankfurt,Nnamdi Collins,Centre-Back,Ankle injury,,20000000,684315,https://img.a.transfermarkt.technology/portrait/medium/684315-1724772257.jpg?lm=1,2026-07-03,true
Frankfurt,Oscar Højlund,Central Midfield,Knock,,15000000,846310,https://img.a.transfermarkt.technology/portrait/medium/846310-1724771793.jpg?lm=1,2026-07-03,true
Gladbach,Nathan Ngoumou,Right Winger,muscular problems,,3500000,629588,https://img.a.transfermarkt.technology/portrait/medium/629588-1760967137.jpg?lm=1,2026-07-03,true
Hamburger SV,Alexander Røssing-Lelesiit,Left Winger,Ankle injury,,5000000,1213681,https://img.a.transfermarkt.technology/portrait/medium/1213681-1758188019.jpg?lm=1,2026-07-03,true
Hamburger SV,Fernando Dickes,Goalkeeper,Shoulder injury,,300000,1048715,https://img.a.transfermarkt.technology/portrait/medium/1048715-1758187968.jpg?lm=1,2026-07-03,true
Hamburger SV,Miro Muheim,Left-Back,Calf injury,,5000000,298603,https://img.a.transfermarkt.technology/portrait/medium/298603-1728395082.jpg?lm=1,2026-07-03,true
Hoffenheim,Koki Machida,Centre-Back,Cruciate ligament tear,,6000000,415035,https://img.a.transfermarkt.technology/portrait/medium/415035-1755090800.jpg?lm=1,2026-07-03,true
Hoffenheim,Valentin Gendrey,Right-Back,Ankle injury,,6000000,569387,https://img.a.transfermarkt.technology/portrait/medium/569387-1663745931.jpg?lm=1,2026-07-03,true
Köln,Timo Hübers,Centre-Back,Knee injury,,1500000,236981,https://img.a.transfermarkt.technology/portrait/medium/236981-1721140491.jpg?lm=1,2026-07-03,true
Leverkusen,Christian Kofane,Centre-Forward,Shoulder injury,,40000000,1364454,https://img.a.transfermarkt.technology/portrait/medium/1364454-1758702715.jpg?lm=1,2026-07-03,true
Leverkusen,Martin Terrier,Left Winger,Hamstring injury,,8000000,442891,https://img.a.transfermarkt.technology/portrait/medium/442891-1727378397.jpg?lm=1,2026-07-03,true
Leverkusen,Nathan Tella,Right Winger,muscular problems,,15000000,340322,https://img.a.transfermarkt.technology/portrait/medium/340322-1727377772.jpg?lm=1,2026-07-03,true
Mainz 05,Benedict Hollerbach,Centre-Forward,Achilles tendon rupture,,8000000,453870,https://img.a.transfermarkt.technology/portrait/medium/453870-1752587912.jpg?lm=1,2026-07-03,true
Mainz 05,Silas,Right Winger,Tibia and fibula fracture,,2000000,612826,https://img.a.transfermarkt.technology/portrait/medium/612826-1657181986.png?lm=1,2026-07-03,true
RB Leipzig,Christoph Baumgartner,Attacking Midfield,Hamstring injury,31/10/2026,40000000,324278,https://img.a.transfermarkt.technology/portrait/medium/324278-1716315718.jpg?lm=1,2026-07-03,true
RB Leipzig,Leopold Zingerle,Goalkeeper,Hand injury,,300000,160971,https://img.a.transfermarkt.technology/portrait/medium/160971-1770713811.jpg?lm=1,2026-07-03,true
RB Leipzig,Viggo Gebel,Attacking Midfield,Cruciate ligament tear,,350000,1074526,https://img.a.transfermarkt.technology/portrait/medium/1074526-1723447785.jpg?lm=1,2026-07-03,true
SC Paderborn 07,Timur Gayret,Central Midfield,Cruciate ligament tear,,450000,421323,https://img.a.transfermarkt.technology/portrait/medium/421323-1752746135.jpg?lm=1,2026-07-03,true
Stuttgart,Lorenz Assignon,Right-Back,Shoulder injury,,9000000,711969,https://img.a.transfermarkt.technology/portrait/medium/711969-1753307527.jpg?lm=1,2026-07-03,true
