squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Atlético Madrid,Johnny Cardoso,Central Midfield,Ankle surgery,,20000000,689505,https://img.a.transfermarkt.technology/portrait/medium/689505-1742036970.jpg?lm=1,2026-07-07,true
Barcelona,Fermín López,Attacking Midfield,Metatarsal fracture,31/07/2026,100000000,636703,https://img.a.transfermarkt.technology/portrait/medium/636703-1698086824.jpg?lm=1,2026-07-07,true
Barcelona,Marc-André ter Stegen,Goalkeeper,Hamstring injury,13/07/2026,3000000,74857,https://img.a.transfermarkt.technology/portrait/medium/74857-1674465246.jpg?lm=1,2026-07-07,true
Celta Vigo,Ionuț Radu,Goalkeeper,muscular problems,,9000000,303657,https://img.a.transfermarkt.technology/portrait/medium/303657-1699432718.jpg?lm=1,2026-07-07,true
Deportivo A Coruña,David Mella,Right Winger,Tear of the lateral meniscus,,5000000,741256,https://img.a.transfermarkt.technology/portrait/medium/741256-1733934484.jpg?lm=1,2026-07-07,true
Elche,Abiel Osorio,Centre-Forward,Hamstring injury,,1500000,991773,https://img.a.transfermarkt.technology/portrait/medium/991773-1770650623.jpg?lm=1,2026-07-07,true
Espanyol,Javi Puado,Left Winger,Cruciate ligament tear,01/09/2026,7500000,408471,https://img.a.transfermarkt.technology/portrait/medium/408471-1698158226.jpg?lm=1,2026-07-07,true
Málaga CF,Juanpe Jiménez,Central Midfield,Muscle injury,31/07/2026,300000,455066,https://img.a.transfermarkt.technology/portrait/medium/455066-1643299266.png?lm=1,2026-07-07,true
Racing Santander,Giorgi Guliashvili,Centre-Forward,Fracture of fibula shaft,16/07/2026,3500000,502682,https://img.a.transfermarkt.technology/portrait/medium/502682-1759082949.jpg?lm=1,2026-07-07,true
Rayo Vallecano,Andrei Rațiu,Right-Back,muscular problems,,18000000,527966,https://img.a.transfermarkt.technology/portrait/medium/527966-1765462531.jpg?lm=1,2026-07-07,true
Rayo Vallecano,Raúl de Tomás,Centre-Forward,unknown injury,,400000,162038,https://img.a.transfermarkt.technology/portrait/medium/162038-1761864724.jpg?lm=1,2026-07-07,true
Real Betis,Ángel Ortiz,Right-Back,Shoulder injury,,4000000,933908,https://img.a.transfermarkt.technology/portrait/medium/933908-1758782759.jpg?lm=1,2026-07-07,true
Real Madrid,Ferland Mendy,Left-Back,Tendon rupture,30/04/2027,4000000,291417,https://img.a.transfermarkt.technology/portrait/medium/291417-1701294025.jpg?lm=1,2026-07-07,true
Real Madrid,Rodrygo,Right Winger,Cruciate ligament tear,30/09/2026,45000000,412363,https://img.a.transfermarkt.technology/portrait/medium/412363-1763041611.jpg?lm=1,2026-07-07,true
Real Madrid,Éder Militão,Centre-Back,Muscle injury,01/09/2026,20000000,401530,https://img.a.transfermarkt.technology/portrait/medium/401530-1719653438.jpg?lm=1,2026-07-07,true
Real Sociedad,Álvaro Odriozola,Right-Back,Cruciate ligament tear,30/11/2026,800000,280730,https://img.a.transfermarkt.technology/portrait/medium/280730-1579598607.jpg?lm=1,2026-07-07,true
Sevilla,Alfon González,Left Winger,Torn thigh muscle,,3000000,357628,https://img.a.transfermarkt.technology/portrait/medium/357628-1734950388.jpg?lm=1,2026-07-07,true
Sevilla,Manu Bueno,Central Midfield,Edema in the knee,,1500000,766723,https://img.a.transfermarkt.technology/portrait/medium/766723-1702412015.jpg?lm=1,2026-07-07,true
Sevilla,Patrik Mercado,Attacking Midfield,Cruciate ligament tear,,5500000,981674,https://img.a.transfermarkt.technology/portrait/medium/981674-1739215138.png?lm=1,2026-07-07,true
Valencia,Diego López,Right Winger,Cruciate ligament tear,01/03/2027,9000000,617081,https://img.a.transfermarkt.technology/portrait/medium/617081-1683211924.jpg?lm=1,2026-07-07,true
Valencia,Dimitri Foulquier,Right-Back,Knee injury,,900000,170472,https://img.a.transfermarkt.technology/portrait/medium/170472-1447230887.jpg?lm=1,2026-07-07,true
Valencia,Sergi Canós,Left Winger,Cruciate ligament tear,01/01/2027,600000,251845,https://img.a.transfermarkt.technology/portrait/medium/251845-1538466933.jpg?lm=1,2026-07-07,true
Villarreal,Juan Foyth,Centre-Back,Achilles tendon rupture,31/08/2026,8000000,480763,https://img.a.transfermarkt.technology/portrait/medium/480763-1662668281.jpg?lm=1,2026-07-07,true
