squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Angers,Harouna Djibirin,Right Winger,Ankle injury,,1500000,1133929,https://img.a.transfermarkt.technology/portrait/medium/1133929-1770737612.jpg?lm=1,2026-07-09,true
Angers,Louis Mouton,Attacking Midfield,Meniscus injury,,4000000,904662,https://img.a.transfermarkt.technology/portrait/medium/904662-1727722197.jpg?lm=1,2026-07-09,true
Angers,Prosper Peter,Centre-Forward,Hamstring injury,,15000000,1103958,https://img.a.transfermarkt.technology/portrait/medium/1103958-1758210995.jpg?lm=1,2026-07-09,true
Angers,Yassin Belkhdim,Central Midfield,Arm injury,,7000000,807688,https://img.a.transfermarkt.technology/portrait/medium/807688-1750956388.png?lm=1,2026-07-09,true
Auxerre,Bryan Okoh,Centre-Back,Cruciate ligament tear,,4000000,539795,https://img.a.transfermarkt.technology/portrait/medium/539795-1722523891.png?lm=1,2026-07-09,true
Auxerre,Fredrik Oppegård,Left-Back,Ankle sprain,,1500000,539665,https://img.a.transfermarkt.technology/portrait/medium/539665-1621853412.jpg?lm=1,2026-07-09,true
Brest,Mama Baldé,Centre-Forward,Dead leg,,3000000,325223,https://img.a.transfermarkt.technology/portrait/medium/325223-1702991373.jpg?lm=1,2026-07-09,true
Le Havre,Noam Obougou,Centre-Forward,Groin injury,,1000000,1162654,https://img.a.transfermarkt.technology/portrait/medium/1162654-1777327814.jpg?lm=1,2026-07-09,true
Le Havre,Stephan Zagadou,Centre-Back,Cruciate ligament tear,,4000000,1228317,https://img.a.transfermarkt.technology/portrait/medium/1228317-1770734950.jpg?lm=1,2026-07-09,true
Lens,Jhoanner Chávez,Left-Back,Thigh problems,,2200000,713787,https://img.a.transfermarkt.technology/portrait/medium/713787-1656676313.JPG?lm=1,2026-07-09,true
Lens,Jonathan Gradit,Centre-Back,Lower leg fracture,,2500000,126557,https://img.a.transfermarkt.technology/portrait/medium/126557-1738580496.jpg?lm=1,2026-07-09,true
Lens,Nidal Celik,Centre-Back,Meniscus injury,,7000000,819566,https://img.a.transfermarkt.technology/portrait/medium/819566-1726634830.jpg?lm=1,2026-07-09,true
Lens,Samson Baidoo,Centre-Back,Hamstring injury,,25000000,655217,https://img.a.transfermarkt.technology/portrait/medium/655217-1722523870.png?lm=1,2026-07-09,true
Lille,Hamza Igamane,Centre-Forward,Cruciate ligament tear,,18000000,885445,https://img.a.transfermarkt.technology/portrait/medium/885445-1756290289.jpg?lm=1,2026-07-09,true
Lille,Ousmane Touré,Centre-Back,Cruciate ligament tear,,500000,990732,https://img.a.transfermarkt.technology/portrait/medium/990732-1711305319.jpg?lm=1,2026-07-09,true
Lorient,Bingourou Kamara,Goalkeeper,Knee injury,,600000,333175,https://img.a.transfermarkt.technology/portrait/medium/333175-1525697908.jpg?lm=1,2026-07-09,true
Lorient,Jérémy Hatchi,Left Winger,Adductor pain,,700000,981760,https://img.a.transfermarkt.technology/portrait/medium/981760-1770738661.jpg?lm=1,2026-07-09,true
Lyon,Mads Bidstrup,Central Midfield,Calf injury,,13000000,462832,https://img.a.transfermarkt.technology/portrait/medium/462832-1754993672.png?lm=1,2026-07-09,true
Lyon,Tanner Tessmann,Defensive Midfield,Muscle injury,,10000000,670096,https://img.a.transfermarkt.technology/portrait/medium/670096-1722196121.jpg?lm=1,2026-07-09,true
Lyon,Tyler Morton,Defensive Midfield,Pubalgia,,30000000,618494,https://img.a.transfermarkt.technology/portrait/medium/618494-1719220555.jpg?lm=1,2026-07-09,true
Marseille,CJ Egan-Riley,Centre-Back,Dead leg,,9000000,581669,https://img.a.transfermarkt.technology/portrait/medium/581669-1751272190.jpg?lm=1,2026-07-09,true
Marseille,Faris Moumbagna,Centre-Forward,Adductor injury,,3500000,599663,https://img.a.transfermarkt.technology/portrait/medium/599663-1767803513.jpg?lm=1,2026-07-09,true
Marseille,Geoffrey Kondogbia,Defensive Midfield,Dead leg,,3000000,127189,https://img.a.transfermarkt.technology/portrait/medium/127189-1703066053.jpg?lm=1,2026-07-09,true
Marseille,Hamed Traoré,Left Winger,Adductor pain,,15000000,391065,https://img.a.transfermarkt.technology/portrait/medium/391065-1754900884.jpg?lm=1,2026-07-09,true
Marseille,Leonardo Balerdi,Centre-Back,Calf injury,,18000000,575998,https://img.a.transfermarkt.technology/portrait/medium/575998-1640777749.jpg?lm=1,2026-07-09,true
Marseille,Nayef Aguerd,Centre-Back,Groin injury,,15000000,361914,https://img.a.transfermarkt.technology/portrait/medium/361914-1659355782.jpg?lm=1,2026-07-09,true
