squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Atalanta,Isak Hien,Centre-Back,Thigh problems,30/09/2026,22000000,503075,https://img.a.transfermarkt.technology/portrait/medium/503075-1725531359.jpg?lm=1,2026-07-08,true
Bologna,Emil Holm,Right-Back,Muscle injury,,10000000,496745,https://img.a.transfermarkt.technology/portrait/medium/496745-1688450376.jpg?lm=1,2026-07-08,true
Bologna,Oussama El Azzouzi,Defensive Midfield,Hamstring injury,,1800000,531065,https://img.a.transfermarkt.technology/portrait/medium/531065-1707127581.jpg?lm=1,2026-07-08,true
Bologna,Riccardo Orsolini,Right Winger,Adductor pain,,15000000,368482,https://img.a.transfermarkt.technology/portrait/medium/368482-1724827463.jpg?lm=1,2026-07-08,true
Cagliari,Riyad Idrissi,Left-Back,Cruciate ligament tear,01/09/2026,4000000,885226,https://img.a.transfermarkt.technology/portrait/medium/885226-1730128832.jpg?lm=1,2026-07-08,true
Fiorentina,Fabiano Parisi,Left-Back,Cruciate ligament injury,19/10/2026,6000000,547985,https://img.a.transfermarkt.technology/portrait/medium/547985-1663677780.jpg?lm=1,2026-07-08,true
Fiorentina,Riccardo Sottil,Left Winger,Lumbago,,3000000,386455,https://img.a.transfermarkt.technology/portrait/medium/386455-1663591627.jpg?lm=1,2026-07-08,true
Lazio,Alessio Furlanetto,Goalkeeper,Cruciate ligament surgery,,350000,538079,https://img.a.transfermarkt.technology/portrait/medium/538079-1757604115.jpg?lm=1,2026-07-08,true
Lazio,Danilo Cataldi,Defensive Midfield,Inflammation of pubic bone,,3500000,199733,https://img.a.transfermarkt.technology/portrait/medium/199733-1661513736.jpg?lm=1,2026-07-08,true
Lazio,Filipe Bordon,Centre-Back,Metatarsal fracture,,750000,1110645,https://img.a.transfermarkt.technology/portrait/medium/1110645-1715640507.jpg?lm=1,2026-07-08,true
Lazio,Gustav Isaksen,Right Winger,Inflammation of pubic bone,,15000000,462823,https://img.a.transfermarkt.technology/portrait/medium/462823-1695026324.jpg?lm=1,2026-07-08,true
Lazio,Ivan Provedel,Goalkeeper,Shoulder injury,31/08/2026,3000000,197929,https://img.a.transfermarkt.technology/portrait/medium/197929-1695160944.jpg?lm=1,2026-07-08,true
Napoli,Billy Gilmour,Defensive Midfield,Knee injury,,20000000,423744,https://img.a.transfermarkt.technology/portrait/medium/423744-1701544195.jpg?lm=1,2026-07-08,true
Napoli,Luca Marianucci,Centre-Back,Bruised knee,,7000000,814446,https://img.a.transfermarkt.technology/portrait/medium/814446-1721740329.jpg?lm=1,2026-07-08,true
Parma,Adrián Bernabé,Central Midfield,Muscle injury,,15000000,466802,https://img.a.transfermarkt.technology/portrait/medium/466802-1714503707.jpg?lm=1,2026-07-08,true
Roma,Luigi Cherubini,Left Winger,Muscle fatigue,,3000000,721227,https://img.a.transfermarkt.technology/portrait/medium/721227-1698056763.jpg?lm=1,2026-07-08,true
Roma,Wesley,Right-Back,Hamstring injury,,40000000,964580,https://img.a.transfermarkt.technology/portrait/medium/964580-1743167536.jpg?lm=1,2026-07-08,true
Sassuolo,Darryl Bakola,Attacking Midfield,Knee problems,,8000000,1170286,https://img.a.transfermarkt.technology/portrait/medium/1170286-1736792764.jpg?lm=1,2026-07-08,true
Sassuolo,Ismaël Koné,Central Midfield,Tibia and fibula fracture,03/01/2027,25000000,921655,https://img.a.transfermarkt.technology/portrait/medium/921655-1757604633.jpg?lm=1,2026-07-08,true
Sassuolo,Sebastian Walukiewicz,Right-Back,Dead leg,,5000000,345458,https://img.a.transfermarkt.technology/portrait/medium/345458-1716985042.jpg?lm=1,2026-07-08,true
Sassuolo,Yeferson Paz,Right-Back,Cruciate ligament injury,31/07/2026,400000,655525,https://img.a.transfermarkt.technology/portrait/medium/655525-1692882887.jpg?lm=1,2026-07-08,true
Torino,Côme Bianay Balcot,Right-Back,Muscle injury,,200000,1059298,https://img.a.transfermarkt.technology/portrait/medium/1059298-1726135841.jpg?lm=1,2026-07-08,true
Torino,Franco Israel,Goalkeeper,Shoulder injury,,2500000,492319,https://img.a.transfermarkt.technology/portrait/medium/492319-1753680657.jpg?lm=1,2026-07-08,true
Torino,Pietro Pellegri,Centre-Forward,Cruciate ligament tear,,500000,364133,https://img.a.transfermarkt.technology/portrait/medium/364133-1663596740.jpg?lm=1,2026-07-08,true
Udinese,Alessandro Zanoli,Right-Back,Cruciate ligament tear,28/07/2026,4500000,397225,https://img.a.transfermarkt.technology/portrait/medium/397225-1673603620.jpg?lm=1,2026-07-08,true
Udinese,Juan Arizala,Left Midfield,unknown injury,,3500000,1118347,https://img.a.transfermarkt.technology/portrait/medium/1118347-1777961114.jpg?lm=1,2026-07-08,true
Udinese,Simone Pafundi,Attacking Midfield,muscular problems,,4500000,876400,https://img.a.transfermarkt.technology/portrait/medium/876400-1660805372.jpg?lm=1,2026-07-08,true
Venezia FC,Gaetano Oristanio,Attacking Midfield,Knee problems,,5000000,613393,https://img.a.transfermarkt.technology/portrait/medium/613393-1692963581.jpg?lm=1,2026-07-08,true
