run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-06-25,recovered_or_removed,Brighton,Kaoru Mitoma,Hamstring injury,,22/06/2026,
2026-06-29,new_injury,Manchester Utd,Manuel Ugarte,,Cruciate ligament tear,,
2026-06-29,new_injury,West Ham United,Tomáš Souček,,Ankle injury,,
2026-06-29,recovered_or_removed,Chelsea,Jamie Gittens,Hamstring injury,,29/06/2026,
2026-06-29,recovered_or_removed,Manchester Utd,Matthijs de Ligt,Back injury,,29/06/2026,
2026-06-29,recovered_or_removed,Newcastle United,Emil Krafth,Knee surgery,,29/06/2026,
2026-06-29,recovered_or_removed,Nottingham Forest,Nicolò Savona,Knee injury,,29/06/2026,
2026-06-29,recovered_or_removed,Tottenham Hotspur,Mohammed Kudus,Hamstring injury,,29/06/2026,
2026-06-30,new_injury,Bournemouth,Hamed Traoré,,Adductor pain,,
2026-06-30,new_injury,Bournemouth,Romain Faivre,,Knock,,
2026-06-30,new_injury,Bournemouth,Will Dennis,,Ankle injury,,
2026-06-30,new_injury,Leeds United,Mateo Joseph,,Cruciate ligament tear,,01/02/2027
2026-06-30,new_injury,Liverpool,Vitezslav Jaros,,Knee injury,,01/07/2026
2026-06-30,new_injury,Sunderland,Alan Browne,,unknown injury,,
2026-06-30,new_injury,Sunderland,Jenson Seelt,,Knee injury,,
2026-06-30,new_injury,West Ham United,Maxwel Cornet,,Muscle fatigue,,
2026-06-30,new_injury,Wolves,Boubacar Traoré,,Calf injury,,
2026-06-30,recovered_or_removed,Burnley,Michael Obafemi,Ankle surgery,,30/06/2026,
2026-06-30,recovered_or_removed,Liverpool,Conor Bradley,Knee surgery,,30/06/2026,
2026-07-01,new_injury,Chelsea,Emmanuel Emegha,,Dead leg,,
2026-07-01,new_injury,Coventry City,Miguel Ángel Brau,,unknown injury,,
2026-07-01,new_injury,Coventry City,Oliver Dovin,,Cruciate ligament tear,,
2026-07-01,new_injury,Hull City,Darko Gyabi,,Groin injury,,
2026-07-01,new_injury,Hull City,Eliot Matazo,,Cruciate ligament tear,,30/11/2026
2026-07-01,new_injury,Ipswich Town,Ashley Young,,Hip flexor problems,,
2026-07-01,new_injury,Ipswich Town,Conor Townsend,,Cruciate ligament tear,,
2026-07-01,new_injury,Ipswich Town,Kasey McAteer,,unknown injury,,
2026-07-01,recovered_or_removed,Burnley,Jordan Beyer,Hamstring injury,,03/08/2026,
2026-07-01,recovered_or_removed,Burnley,Josh Cullen,Cruciate ligament tear,,01/10/2026,
2026-07-01,recovered_or_removed,Liverpool,Vitezslav Jaros,Knee injury,,01/07/2026,
2026-07-01,recovered_or_removed,West Ham United,Lukasz Fabianski,Back injury,,,
2026-07-01,recovered_or_removed,West Ham United,Maxwel Cornet,Muscle fatigue,,,
2026-07-01,recovered_or_removed,West Ham United,Tomáš Souček,Ankle injury,,,
2026-07-01,recovered_or_removed,Wolves,Boubacar Traoré,Calf injury,,,
2026-07-01,recovered_or_removed,Wolves,Enso González,Knee injury,,,
