run_date,event_type,squad,player,old_injury,new_injury,old_until,new_until
2026-07-07,new_injury,Anderlecht,Ilay Camara,,fracture,,
2026-07-07,new_injury,Anderlecht,Lucas Hey,,fracture,,
2026-07-07,new_injury,Cercle Brugge,Abdoul Kader Ouattara,,Broken foot,,
2026-07-07,new_injury,Charleroi,Massamba Sow,,minor knock,,
2026-07-07,new_injury,Gent,Matisse Samoise,,Cruciate ligament tear,,01/10/2026
2026-07-07,new_injury,KV Kortrijk,Suf Podgoreanu,,unknown injury,,
2026-07-07,new_injury,Lommel SK,Filip Krastev,,Achilles tendon surgery,,
2026-07-07,new_injury,Lommel SK,Jhon Banguera,,Cruciate ligament tear,,
2026-07-07,new_injury,SK Beveren,Ilyes Najim,,Knee injury,,
2026-07-07,new_injury,Standard Liège,Josué Homawoo,,Achilles tendon rupture,,
